,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2014-11-14-ucla.html,"Fri, Nov 14, 2014",11:59p,REG,/cbb/schools/montana-state/men/2015.html,Montana State,/cbb/conferences/big-sky/men/2015.html,Big Sky,-12.91,W,113,78,1,0,W 1,Pauley Pavilion,/cbb/schools/ucla/men/2015.html,,
1,/cbb/boxscores/2014-11-16-ucla.html,"Sun, Nov 16, 2014",10:00p,REG,/cbb/schools/coastal-carolina/men/2015.html,Coastal Carolina,/cbb/conferences/big-south/men/2015.html,Big South,-1.02,W,84,71,2,0,W 2,Pauley Pavilion,/cbb/schools/ucla/men/2015.html,,
2,/cbb/boxscores/2014-11-20-ucla.html,"Thu, Nov 20, 2014",11:00p,REG,/cbb/schools/nicholls-state/men/2015.html,Nicholls State,/cbb/conferences/southland/men/2015.html,Southland,-15.84,W,107,74,3,0,W 3,Pauley Pavilion,/cbb/schools/ucla/men/2015.html,,
3,/cbb/boxscores/2014-11-23-ucla.html,"Sun, Nov 23, 2014",10:00p,REG,/cbb/schools/long-beach-state/men/2015.html,Long Beach State,/cbb/conferences/big-west/men/2015.html,Big West,1.64,W,77,63,4,0,W 4,Pauley Pavilion,/cbb/schools/ucla/men/2015.html,,
4,/cbb/boxscores/2014-11-26-oklahoma.html,"Wed, Nov 26, 2014",2:45p,REG,/cbb/schools/oklahoma/men/2015.html,Oklahoma,/cbb/conferences/big-12/men/2015.html,Big 12,18.65,L,65,75,4,1,L 1,Imperial Arena at Atlantis Resort,/cbb/schools/ucla/men/2015.html,N,
5,/cbb/boxscores/2014-11-27-north-carolina.html,"Thu, Nov 27, 2014",7:00p,REG,/cbb/schools/north-carolina/men/2015.html,North Carolina,/cbb/conferences/acc/men/2015.html,ACC,20.63,L,56,78,4,2,L 2,Imperial Arena at Atlantis Resort,/cbb/schools/ucla/men/2015.html,N,
6,/cbb/boxscores/2014-11-28-alabama-birmingham.html,"Fri, Nov 28, 2014",10:30p,REG,/cbb/schools/alabama-birmingham/men/2015.html,UAB,/cbb/conferences/cusa/men/2015.html,CUSA,1.94,W,88,76,5,2,W 1,Imperial Arena at Atlantis Resort,/cbb/schools/ucla/men/2015.html,N,
7,/cbb/boxscores/2014-12-03-ucla.html,"Wed, Dec 3, 2014",11:59p,REG,/cbb/schools/cal-state-fullerton/men/2015.html,Cal State Fullerton,/cbb/conferences/big-west/men/2015.html,Big West,-8.58,W,73,45,6,2,W 2,Pauley Pavilion,/cbb/schools/ucla/men/2015.html,,
8,/cbb/boxscores/2014-12-07-ucla.html,"Sun, Dec 7, 2014",7:00p,REG,/cbb/schools/san-diego/men/2015.html,San Diego,/cbb/conferences/wcc/men/2015.html,WCC,5.03,W,75,68,7,2,W 3,Pauley Pavilion,/cbb/schools/ucla/men/2015.html,,
9,/cbb/boxscores/2014-12-10-ucla.html,"Wed, Dec 10, 2014",11:00p,REG,/cbb/schools/california-riverside/men/2015.html,UC Riverside,/cbb/conferences/big-west/men/2015.html,Big West,-4.65,W,77,66,8,2,W 4,Pauley Pavilion,/cbb/schools/ucla/men/2015.html,,
10,/cbb/boxscores/2014-12-13-ucla.html,"Sat, Dec 13, 2014",10:00p,REG,/cbb/schools/gonzaga/men/2015.html,Gonzaga,/cbb/conferences/wcc/men/2015.html,WCC,21.12,L,74,87,8,3,L 1,Pauley Pavilion,/cbb/schools/ucla/men/2015.html,,
11,/cbb/boxscores/2014-12-20-kentucky.html,"Sat, Dec 20, 2014",3:30p,REG,/cbb/schools/kentucky/men/2015.html,Kentucky,/cbb/conferences/sec/men/2015.html,SEC,28.72,L,44,83,8,4,L 2,United Center,/cbb/schools/ucla/men/2015.html,N,
