,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2014-11-14-utah.html,"Fri, Nov 14, 2014",10:00p,REG,/cbb/schools/ball-state/men/2015.html,Ball State,/cbb/conferences/mac/men/2015.html,MAC,-5.06,W,90,72,1,0,W 1,Jon M. Huntsman Center,/cbb/schools/utah/men/2015.html,,
1,/cbb/boxscores/2014-11-18-san-diego-state.html,"Tue, Nov 18, 2014",4:00p,REG,/cbb/schools/san-diego-state/men/2015.html,San Diego State,/cbb/conferences/mwc/men/2015.html,MWC,11.81,L,49,53,1,1,L 1,Viejas Arena,/cbb/schools/utah/men/2015.html,@,
2,/cbb/boxscores/2014-11-21-utah.html,"Fri, Nov 21, 2014",9:00p,REG,/cbb/schools/california-riverside/men/2015.html,UC Riverside,/cbb/conferences/big-west/men/2015.html,Big West,-4.65,W,88,42,2,1,W 1,Jon M. Huntsman Center,/cbb/schools/utah/men/2015.html,,
3,/cbb/boxscores/2014-11-26-utah.html,"Wed, Nov 26, 2014",8:00p,REG,/cbb/schools/texas-pan-american/men/2015.html,Texas-Rio Grande Valley,/cbb/conferences/wac/men/2015.html,WAC,-14.46,W,85,48,3,1,W 2,Jon M. Huntsman Center,/cbb/schools/utah/men/2015.html,,
4,/cbb/boxscores/2014-11-28-utah.html,"Fri, Nov 28, 2014",10:00p,REG,/cbb/schools/north-dakota/men/2015.html,North Dakota,/cbb/conferences/big-sky/men/2015.html,Big Sky,-12.16,W,90,53,4,1,W 3,Jon M. Huntsman Center,/cbb/schools/utah/men/2015.html,,
5,/cbb/boxscores/2014-11-29-utah.html,"Sat, Nov 29, 2014",9:00p,REG,/cbb/schools/alabama-state/men/2015.html,Alabama State,/cbb/conferences/swac/men/2015.html,SWAC,-8.97,W,93,62,5,1,W 4,Jon M. Huntsman Center,/cbb/schools/utah/men/2015.html,,
6,/cbb/boxscores/2014-12-03-utah.html,"Wed, Dec 3, 2014",11:15p,REG,/cbb/schools/wichita-state/men/2015.html,Wichita State,/cbb/conferences/mvc/men/2015.html,MVC,15.56,W,69,68,6,1,W 5,Jon M. Huntsman Center,/cbb/schools/utah/men/2015.html,,OT
7,/cbb/boxscores/2014-12-10-brigham-young.html,"Wed, Dec 10, 2014",9:00p,REG,/cbb/schools/brigham-young/men/2015.html,Brigham Young,/cbb/conferences/wcc/men/2015.html,WCC,13.53,W,65,61,7,1,W 6,Marriott Center,/cbb/schools/utah/men/2015.html,@,
8,/cbb/boxscores/2014-12-13-kansas.html,"Sat, Dec 13, 2014",3:15p,REG,/cbb/schools/kansas/men/2015.html,Kansas,/cbb/conferences/big-12/men/2015.html,Big 12,18.47,L,60,63,7,2,L 1,Sprint Center,/cbb/schools/utah/men/2015.html,N,
9,/cbb/boxscores/2014-12-20-nevada-las-vegas.html,"Sat, Dec 20, 2014",11:30p,REG,/cbb/schools/nevada-las-vegas/men/2015.html,Nevada-Las Vegas,/cbb/conferences/mwc/men/2015.html,MWC,5.41,W,59,46,8,2,W 1,MGM Grand Garden Arena,/cbb/schools/utah/men/2015.html,N,
10,/cbb/boxscores/2014-12-23-utah.html,"Tue, Dec 23, 2014",9:00p,REG,/cbb/schools/south-dakota-state/men/2015.html,South Dakota State,/cbb/conferences/summit/men/2015.html,Summit,3.32,W,80,66,9,2,W 2,Jon M. Huntsman Center,/cbb/schools/utah/men/2015.html,,
11,/cbb/boxscores/2014-12-30-utah.html,"Tue, Dec 30, 2014",9:30p,REG,,Carroll (MT),,,,W,85,49,10,2,W 3,Jon M. Huntsman Center,/cbb/schools/utah/men/2015.html,,
12,/cbb/boxscores/2015-01-02-utah.html,"Fri, Jan 2, 2015",10:00p,REG,/cbb/schools/southern-california/men/2015.html,Southern California,/cbb/conferences/pac-12/men/2015.html,Pac-12,2.15,W,79,55,11,2,W 4,Jon M. Huntsman Center,/cbb/schools/utah/men/2015.html,,
13,/cbb/boxscores/2015-01-04-utah.html,"Sun, Jan 4, 2015",4:00p,REG,/cbb/schools/ucla/men/2015.html,UCLA,/cbb/conferences/pac-12/men/2015.html,Pac-12,12.07,W,71,39,12,2,W 5,Jon M. Huntsman Center,/cbb/schools/utah/men/2015.html,,
