,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2014-11-14-valparaiso.html,"Fri, Nov 14, 2014",8:30p,REG,/cbb/schools/east-tennessee-state/men/2015.html,East Tennessee State,/cbb/conferences/southern/men/2015.html,Southern,-4.80,W,90,76,1,0,W 1,Athletics-Recreation Center,/cbb/schools/valparaiso/men/2015.html,,
1,/cbb/boxscores/2014-11-16-missouri.html,"Sun, Nov 16, 2014",6:00p,REG,/cbb/schools/missouri/men/2015.html,Missouri,/cbb/conferences/sec/men/2015.html,SEC,1.13,L,41,56,1,1,L 1,Mizzou Arena,/cbb/schools/valparaiso/men/2015.html,@,
2,/cbb/boxscores/2014-11-19-valparaiso.html,"Wed, Nov 19, 2014",8:05p,REG,,Indiana-South Bend,,,,W,91,55,2,1,W 1,Athletics-Recreation Center,/cbb/schools/valparaiso/men/2015.html,,
3,/cbb/boxscores/2014-11-21-arkansas-pine-bluff.html,"Fri, Nov 21, 2014",4:30p,REG,/cbb/schools/arkansas-pine-bluff/men/2015.html,Arkansas-Pine Bluff,/cbb/conferences/swac/men/2015.html,SWAC,-15.65,W,59,46,3,1,W 2,McGuirk Arena,/cbb/schools/valparaiso/men/2015.html,N,
4,/cbb/boxscores/2014-11-23-maine.html,"Sun, Nov 23, 2014",9:30a,REG,/cbb/schools/maine/men/2015.html,Maine,/cbb/conferences/america-east/men/2015.html,AEC,-17.80,W,93,70,4,1,W 3,McGuirk Arena,/cbb/schools/valparaiso/men/2015.html,N,
5,/cbb/boxscores/2014-11-28-drake.html,"Fri, Nov 28, 2014",6:00p,REG,/cbb/schools/drake/men/2015.html,Drake,/cbb/conferences/mvc/men/2015.html,MVC,-6.04,W,66,46,5,1,W 4,Nashville Municipal Auditorium,/cbb/schools/valparaiso/men/2015.html,N,
6,/cbb/boxscores/2014-11-29-murray-state.html,"Sat, Nov 29, 2014",8:30p,REG,/cbb/schools/murray-state/men/2015.html,Murray State,/cbb/conferences/ovc/men/2015.html,OVC,7.13,W,93,58,6,1,W 5,Nashville Municipal Auditorium,/cbb/schools/valparaiso/men/2015.html,N,
7,/cbb/boxscores/2014-11-30-portland.html,"Sun, Nov 30, 2014",2:00p,REG,/cbb/schools/portland/men/2015.html,Portland,/cbb/conferences/wcc/men/2015.html,WCC,3.06,W,70,55,7,1,W 6,Nashville Municipal Auditorium,/cbb/schools/valparaiso/men/2015.html,N,
8,/cbb/boxscores/2014-12-03-eastern-kentucky.html,"Wed, Dec 3, 2014",7:00p,REG,/cbb/schools/eastern-kentucky/men/2015.html,Eastern Kentucky,/cbb/conferences/ovc/men/2015.html,OVC,-0.03,W,72,66,8,1,W 7,McBrayer Arena,/cbb/schools/valparaiso/men/2015.html,@,
9,/cbb/boxscores/2014-12-06-valparaiso.html,"Sat, Dec 6, 2014",8:05p,REG,/cbb/schools/new-mexico/men/2015.html,New Mexico,/cbb/conferences/mwc/men/2015.html,MWC,2.80,L,46,63,8,2,L 1,Athletics-Recreation Center,/cbb/schools/valparaiso/men/2015.html,,
