,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2014-11-14-tennessee.html,"Fri, Nov 14, 2014",6:30p,REG,N,/cbb/schools/tennessee/men/2015.html,Tennessee,/cbb/conferences/sec/men/2015.html,SEC,7.23,W,85,69,1,0,W 1,Alumni Hall,/cbb/schools/virginia-commonwealth/men/2015.html,
1,/cbb/boxscores/2014-11-18-virginia-commonwealth.html,"Tue, Nov 18, 2014",6:00p,REG,,/cbb/schools/toledo/men/2015.html,Toledo,/cbb/conferences/mac/men/2015.html,MAC,4.86,W,87,78,2,0,W 2,Stuart Siegel Center,/cbb/schools/virginia-commonwealth/men/2015.html,
2,/cbb/boxscores/2014-11-20-virginia-commonwealth.html,"Thu, Nov 20, 2014",7:00p,REG,,/cbb/schools/maryland-eastern-shore/men/2015.html,Maryland-Eastern Shore,/cbb/conferences/meac/men/2015.html,MEAC,-6.55,W,106,66,3,0,W 3,Stuart Siegel Center,/cbb/schools/virginia-commonwealth/men/2015.html,
3,/cbb/boxscores/2014-11-24-villanova.html,"Mon, Nov 24, 2014",7:15p,REG,N,/cbb/schools/villanova/men/2015.html,Villanova,/cbb/conferences/big-east/men/2015.html,Big East,23.13,L,53,77,3,1,L 1,Barclays Center,/cbb/schools/virginia-commonwealth/men/2015.html,
4,/cbb/boxscores/2014-11-25-oregon.html,"Tue, Nov 25, 2014",7:30p,REG,N,/cbb/schools/oregon/men/2015.html,Oregon,/cbb/conferences/pac-12/men/2015.html,Pac-12,11.43,W,77,63,4,1,W 1,Barclays Center,/cbb/schools/virginia-commonwealth/men/2015.html,
5,/cbb/boxscores/2014-11-29-old-dominion.html,"Sat, Nov 29, 2014",2:00p,REG,@,/cbb/schools/old-dominion/men/2015.html,Old Dominion,/cbb/conferences/cusa/men/2015.html,CUSA,7.68,L,67,73,4,2,L 1,Ted Constant Convocaation Center,/cbb/schools/virginia-commonwealth/men/2015.html,
6,/cbb/boxscores/2014-12-02-illinois-state.html,"Tue, Dec 2, 2014",8:00p,REG,@,/cbb/schools/illinois-state/men/2015.html,Illinois State,/cbb/conferences/mvc/men/2015.html,MVC,7.96,W,66,62,5,2,W 1,Redbird Arena,/cbb/schools/virginia-commonwealth/men/2015.html,
7,/cbb/boxscores/2014-12-06-virginia-commonwealth.html,"Sat, Dec 6, 2014",2:00p,REG,,/cbb/schools/virginia/men/2015.html,Virginia,/cbb/conferences/acc/men/2015.html,ACC,21.73,L,57,74,5,3,L 1,Stuart Siegel Center,/cbb/schools/virginia-commonwealth/men/2015.html,
8,/cbb/boxscores/2014-12-13-virginia-commonwealth.html,"Sat, Dec 13, 2014",7:00p,REG,,/cbb/schools/northern-iowa/men/2015.html,Northern Iowa,/cbb/conferences/mvc/men/2015.html,MVC,12.54,W,93,87,6,3,W 1,Stuart Siegel Center,/cbb/schools/virginia-commonwealth/men/2015.html,2OT
9,/cbb/boxscores/2014-12-16-virginia-commonwealth.html,"Tue, Dec 16, 2014",7:00p,REG,,/cbb/schools/belmont/men/2015.html,Belmont,/cbb/conferences/ovc/men/2015.html,OVC,0.35,W,78,51,7,3,W 2,Stuart Siegel Center,/cbb/schools/virginia-commonwealth/men/2015.html,
