,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2014-11-14-wichita-state.html,"Fri, Nov 14, 2014",9:00p,REG,/cbb/schools/new-mexico-state/men/2015.html,New Mexico State,/cbb/conferences/wac/men/2015.html,WAC,3.71,W,71,54,1,0,W 1,Charles Koch Arena,/cbb/schools/wichita-state/men/2015.html,,
1,/cbb/boxscores/2014-11-18-memphis.html,"Tue, Nov 18, 2014",2:00p,REG,/cbb/schools/memphis/men/2015.html,Memphis,/cbb/conferences/aac/men/2015.html,AAC,7.15,W,71,56,2,0,W 2,Sanford Pentagon,/cbb/schools/wichita-state/men/2015.html,N,
2,/cbb/boxscores/2014-11-23-wichita-state.html,"Sun, Nov 23, 2014",3:00p,REG,,Newman,,,,W,105,57,3,0,W 3,Charles Koch Arena,/cbb/schools/wichita-state/men/2015.html,,
3,/cbb/boxscores/2014-11-29-wichita-state.html,"Sat, Nov 29, 2014",3:00p,REG,/cbb/schools/tulsa/men/2015.html,Tulsa,/cbb/conferences/aac/men/2015.html,AAC,6.66,W,75,55,4,0,W 4,Charles Koch Arena,/cbb/schools/wichita-state/men/2015.html,,
4,/cbb/boxscores/2014-12-03-utah.html,"Wed, Dec 3, 2014",11:15p,REG,/cbb/schools/utah/men/2015.html,Utah,/cbb/conferences/pac-12/men/2015.html,Pac-12,20.98,L,68,69,4,1,L 1,Jon M. Huntsman Center,/cbb/schools/wichita-state/men/2015.html,@,OT
5,/cbb/boxscores/2014-12-06-wichita-state.html,"Sat, Dec 6, 2014",6:00p,REG,/cbb/schools/saint-louis/men/2015.html,Saint Louis,/cbb/conferences/atlantic-10/men/2015.html,A-10,-5.38,W,81,52,5,1,W 1,Charles Koch Arena,/cbb/schools/wichita-state/men/2015.html,,
6,/cbb/boxscores/2014-12-09-wichita-state.html,"Tue, Dec 9, 2014",7:00p,REG,/cbb/schools/seton-hall/men/2015.html,Seton Hall,/cbb/conferences/big-east/men/2015.html,Big East,7.95,W,77,68,6,1,W 2,Charles Koch Arena,/cbb/schools/wichita-state/men/2015.html,,
7,/cbb/boxscores/2014-12-13-detroit-mercy.html,"Sat, Dec 13, 2014",12:00p,REG,/cbb/schools/detroit-mercy/men/2015.html,Detroit Mercy,/cbb/conferences/horizon/men/2015.html,Horizon,-2.25,W,77,68,7,1,W 3,Calihan Hall,/cbb/schools/wichita-state/men/2015.html,@,
8,/cbb/boxscores/2014-12-16-wichita-state.html,"Tue, Dec 16, 2014",9:00p,REG,/cbb/schools/alabama/men/2015.html,Alabama,/cbb/conferences/sec/men/2015.html,SEC,10.52,W,53,52,8,1,W 4,Charles Koch Arena,/cbb/schools/wichita-state/men/2015.html,,
9,/cbb/boxscores/2014-12-22-loyola-marymount.html,"Mon, Dec 22, 2014",11:00p,REG,/cbb/schools/loyola-marymount/men/2015.html,Loyola Marymount,/cbb/conferences/wcc/men/2015.html,WCC,-4.13,W,80,53,9,1,W 5,Stan Sheriff Center,/cbb/schools/wichita-state/men/2015.html,N,
