,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2014-11-14-xavier.html,"Fri, Nov 14, 2014",7:00p,REG,/cbb/schools/northern-arizona/men/2015.html,Northern Arizona,/cbb/conferences/big-sky/men/2015.html,Big Sky,-3.48,W,93,60,1,0,W 1,Cintas Center,/cbb/schools/xavier/men/2015.html,,
1,/cbb/boxscores/2014-11-18-xavier.html,"Tue, Nov 18, 2014",7:00p,REG,/cbb/schools/long-beach-state/men/2015.html,Long Beach State,/cbb/conferences/big-west/men/2015.html,Big West,1.64,W,97,74,2,0,W 2,Cintas Center,/cbb/schools/xavier/men/2015.html,,
2,/cbb/boxscores/2014-11-21-xavier.html,"Fri, Nov 21, 2014",8:00p,REG,/cbb/schools/stephen-f-austin/men/2015.html,Stephen F. Austin,/cbb/conferences/southland/men/2015.html,Southland,8.61,W,81,63,3,0,W 3,Cintas Center,/cbb/schools/xavier/men/2015.html,,
3,/cbb/boxscores/2014-11-24-xavier.html,"Mon, Nov 24, 2014",7:00p,REG,/cbb/schools/murray-state/men/2015.html,Murray State,/cbb/conferences/ovc/men/2015.html,OVC,7.13,W,89,62,4,0,W 4,Cintas Center,/cbb/schools/xavier/men/2015.html,,
4,/cbb/boxscores/2014-11-27-san-diego.html,"Thu, Nov 27, 2014",4:30p,REG,/cbb/schools/san-diego/men/2015.html,San Diego,/cbb/conferences/wcc/men/2015.html,WCC,5.03,W,82,71,5,0,W 5,Titan Gym,/cbb/schools/xavier/men/2015.html,N,
5,/cbb/boxscores/2014-11-28-texas-el-paso.html,"Fri, Nov 28, 2014",3:30p,REG,/cbb/schools/texas-el-paso/men/2015.html,UTEP,/cbb/conferences/cusa/men/2015.html,CUSA,4.89,L,73,77,5,1,L 1,Honda Center,/cbb/schools/xavier/men/2015.html,N,
6,/cbb/boxscores/2014-11-30-long-beach-state.html,"Sun, Nov 30, 2014",4:30p,REG,/cbb/schools/long-beach-state/men/2015.html,Long Beach State,/cbb/conferences/big-west/men/2015.html,Big West,1.64,L,70,73,5,2,L 2,Honda Center,/cbb/schools/xavier/men/2015.html,N,
7,/cbb/boxscores/2014-12-06-xavier.html,"Sat, Dec 6, 2014",8:00p,REG,/cbb/schools/alabama/men/2015.html,Alabama,/cbb/conferences/sec/men/2015.html,SEC,10.52,W,97,84,6,2,W 1,Cintas Center,/cbb/schools/xavier/men/2015.html,,
8,/cbb/boxscores/2014-12-09-xavier.html,"Tue, Dec 9, 2014",7:00p,REG,/cbb/schools/iupui/men/2015.html,IUPUI,/cbb/conferences/summit/men/2015.html,Summit,-8.28,W,66,43,7,2,W 2,Cintas Center,/cbb/schools/xavier/men/2015.html,,
9,/cbb/boxscores/2014-12-13-missouri.html,"Sat, Dec 13, 2014",4:00p,REG,/cbb/schools/missouri/men/2015.html,Missouri,/cbb/conferences/sec/men/2015.html,SEC,1.13,W,74,58,8,2,W 3,Mizzou Arena,/cbb/schools/xavier/men/2015.html,@,
10,/cbb/boxscores/2014-12-20-auburn.html,"Sat, Dec 20, 2014",6:00p,REG,/cbb/schools/auburn/men/2015.html,Auburn,/cbb/conferences/sec/men/2015.html,SEC,3.27,L,88,89,8,3,L 1,Auburn Arena,/cbb/schools/xavier/men/2015.html,@,2OT
11,/cbb/boxscores/2014-12-28-xavier.html,"Sun, Dec 28, 2014",4:00p,REG,/cbb/schools/florida-gulf-coast/men/2015.html,Florida Gulf Coast,/cbb/conferences/atlantic-sun/men/2015.html,A-Sun,-1.81,W,71,57,9,3,W 1,Cintas Center,/cbb/schools/xavier/men/2015.html,,
12,/cbb/boxscores/2014-12-31-xavier.html,"Wed, Dec 31, 2014",10:00p,REG,/cbb/schools/georgetown/men/2015.html,Georgetown,/cbb/conferences/big-east/men/2015.html,Big East,15.48,W,70,53,10,3,W 2,Cintas Center,/cbb/schools/xavier/men/2015.html,,
13,/cbb/boxscores/2015-01-03-depaul.html,"Sat, Jan 3, 2015",2:00p,REG,/cbb/schools/depaul/men/2015.html,DePaul,/cbb/conferences/big-east/men/2015.html,Big East,3.30,L,68,71,10,4,L 1,Allstate Arena,/cbb/schools/xavier/men/2015.html,@,
14,/cbb/boxscores/2015-01-07-xavier.html,"Wed, Jan 7, 2015",7:00p,REG,/cbb/schools/seton-hall/men/2015.html,Seton Hall,/cbb/conferences/big-east/men/2015.html,Big East,7.95,W,69,58,11,4,W 1,Cintas Center,/cbb/schools/xavier/men/2015.html,,
15,/cbb/boxscores/2015-01-10-butler.html,"Sat, Jan 10, 2015",4:30p,REG,/cbb/schools/butler/men/2015.html,Butler,/cbb/conferences/big-east/men/2015.html,Big East,16.64,L,76,88,11,5,L 1,Hinkle Fieldhouse,/cbb/schools/xavier/men/2015.html,@,
16,/cbb/boxscores/2015-01-14-villanova.html,"Wed, Jan 14, 2015",9:00p,REG,/cbb/schools/villanova/men/2015.html,Villanova,/cbb/conferences/big-east/men/2015.html,Big East,23.13,L,75,88,11,6,L 2,The Pavilion,/cbb/schools/xavier/men/2015.html,@,
