,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2016-03-17-arizona.html,"Thu, Mar 17, 2016",9:20p,NCAA,/cbb/schools/wichita-state/men/2016.html,Wichita State,/cbb/conferences/mvc/men/2016.html,MVC,17.39,L,55,65,25,9,L 2,Dunkin Donuts Center,/cbb/schools/arizona/men/2016.html,N,
1,/cbb/boxscores/2016-03-17-kansas.html,"Thu, Mar 17, 2016",4:00p,NCAA,/cbb/schools/kansas/men/2016.html,Kansas,/cbb/conferences/big-12/men/2016.html,Big 12,23.87,L,79,105,18,18,L 1,Wells Fargo Arena,/cbb/schools/austin-peay/men/2016.html,N,
2,/cbb/boxscores/2016-03-17-baylor.html,"Thu, Mar 17, 2016",2:45p,NCAA,/cbb/schools/yale/men/2016.html,Yale,/cbb/conferences/ivy/men/2016.html,Ivy,9.08,L,75,79,22,12,L 2,Dunkin Donuts Center,/cbb/schools/baylor/men/2016.html,N,
3,/cbb/boxscores/2016-03-17-miami-fl.html,"Thu, Mar 17, 2016",6:50p,NCAA,/cbb/schools/miami-fl/men/2016.html,Miami (FL),/cbb/conferences/acc/men/2016.html,ACC,18.52,L,72,79,20,15,L 1,Dunkin Donuts Center,/cbb/schools/buffalo/men/2016.html,N,
4,/cbb/boxscores/2016-03-17-texas-tech.html,"Thu, Mar 17, 2016",12:40p,NCAA,/cbb/schools/texas-tech/men/2016.html,Texas Tech,/cbb/conferences/big-12/men/2016.html,Big 12,12.41,W,71,61,22,10,W 1,PNC Arena,/cbb/schools/butler/men/2016.html,N,
5,/cbb/boxscores/2016-03-19-virginia.html,"Sat, Mar 19, 2016",7:10p,NCAA,/cbb/schools/virginia/men/2016.html,Virginia,/cbb/conferences/acc/men/2016.html,ACC,22.04,L,69,77,22,11,L 1,PNC Arena,/cbb/schools/butler/men/2016.html,N,
6,/cbb/boxscores/2016-03-18-oklahoma.html,"Fri, Mar 18, 2016",4:00p,NCAA,/cbb/schools/oklahoma/men/2016.html,Oklahoma,/cbb/conferences/big-12/men/2016.html,Big 12,19.76,L,68,82,24,9,L 1,,/cbb/schools/cal-state-bakersfield/men/2016.html,N,
7,/cbb/boxscores/2016-03-18-california.html,"Fri, Mar 18, 2016",2:00p,NCAA,/cbb/schools/hawaii/men/2016.html,Hawaii,/cbb/conferences/big-west/men/2016.html,Big West,9.03,L,66,77,23,11,L 2,,/cbb/schools/california/men/2016.html,N,
8,/cbb/boxscores/2016-03-17-indiana.html,"Thu, Mar 17, 2016",7:10p,NCAA,/cbb/schools/indiana/men/2016.html,Indiana,/cbb/conferences/big-ten/men/2016.html,Big Ten,19.59,L,74,99,29,6,L 1,Wells Fargo Arena,/cbb/schools/chattanooga/men/2016.html,N,
9,/cbb/boxscores/2016-03-18-saint-josephs.html,"Fri, Mar 18, 2016",10:15p,NCAA,/cbb/schools/saint-josephs/men/2016.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2016.html,A-10,12.1,L,76,78,22,11,L 2,,/cbb/schools/cincinnati/men/2016.html,N,
