,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2015-11-14-arkansas-little-rock.html,"Sat, Nov 14, 2015",4:00p,REG,Central Baptist,,W,76,57,1,0,W 1,Jack Stephens Center,/cbb/schools/arkansas-little-rock/men/2016.html,,,,,
1,/cbb/boxscores/2015-11-18-arkansas-little-rock.html,"Wed, Nov 18, 2015",6:15p,REG,Centenary (LA),,W,95,49,2,0,W 2,Jack Stephens Center,/cbb/schools/arkansas-little-rock/men/2016.html,,,,,
2,/cbb/boxscores/2015-11-21-san-diego-state.html,"Sat, Nov 21, 2015",4:00p,REG,San Diego State,MWC,W,49,43,3,0,W 3,Viejas Arena,/cbb/schools/arkansas-little-rock/men/2016.html,@,/cbb/schools/san-diego-state/men/2016.html,/cbb/conferences/mwc/men/2016.html,11.89,
3,/cbb/boxscores/2015-11-26-east-carolina.html,"Thu, Nov 26, 2015",2:00p,REG,East Carolina,AAC,W,54,46,4,0,W 4,Orleans Arena,/cbb/schools/arkansas-little-rock/men/2016.html,N,/cbb/schools/east-carolina/men/2016.html,/cbb/conferences/aac/men/2016.html,-0.38,
4,/cbb/boxscores/2015-11-28-tulsa.html,"Sat, Nov 28, 2015",4:00p,REG,Tulsa,AAC,W,64,60,5,0,W 5,Donald W. Reynolds Center,/cbb/schools/arkansas-little-rock/men/2016.html,@,/cbb/schools/tulsa/men/2016.html,/cbb/conferences/aac/men/2016.html,9.79,
5,/cbb/boxscores/2015-12-01-arkansas-little-rock.html,"Tue, Dec 1, 2015",8:00p,REG,Central Arkansas,Southland,W,79,73,6,0,W 6,Jack Stephens Center,/cbb/schools/arkansas-little-rock/men/2016.html,,/cbb/schools/central-arkansas/men/2016.html,/cbb/conferences/southland/men/2016.html,-15.17,
6,/cbb/boxscores/2015-12-05-idaho.html,"Sat, Dec 5, 2015",8:00p,REG,Idaho,Big Sky,W,64,54,7,0,W 7,Cowan Spectrum,/cbb/schools/arkansas-little-rock/men/2016.html,@,/cbb/schools/idaho/men/2016.html,/cbb/conferences/big-sky/men/2016.html,-5.19,
7,/cbb/boxscores/2015-12-12-depaul.html,"Sat, Dec 12, 2015",10:00p,REG,DePaul,Big East,W,66,44,8,0,W 8,Allstate Arena,/cbb/schools/arkansas-little-rock/men/2016.html,@,/cbb/schools/depaul/men/2016.html,/cbb/conferences/big-east/men/2016.html,0.83,
8,/cbb/boxscores/2015-12-16-central-arkansas.html,"Wed, Dec 16, 2015",8:00p,REG,Central Arkansas,Southland,W,77,54,9,0,W 9,Farris Center,/cbb/schools/arkansas-little-rock/men/2016.html,@,/cbb/schools/central-arkansas/men/2016.html,/cbb/conferences/southland/men/2016.html,-15.17,
9,/cbb/boxscores/2015-12-20-arkansas-little-rock.html,"Sun, Dec 20, 2015",2:00p,REG,Northern Arizona,Big Sky,W,84,57,10,0,W 10,Jack Stephens Center,/cbb/schools/arkansas-little-rock/men/2016.html,,/cbb/schools/northern-arizona/men/2016.html,/cbb/conferences/big-sky/men/2016.html,-18.29,
10,/cbb/boxscores/2015-12-22-texas-tech.html,"Tue, Dec 22, 2015",3:00p,REG,Texas Tech,Big 12,L,53,65,10,1,L 1,United Supermarkets Arena,/cbb/schools/arkansas-little-rock/men/2016.html,@,/cbb/schools/texas-tech/men/2016.html,/cbb/conferences/big-12/men/2016.html,12.41,
11,/cbb/boxscores/2015-12-30-south-alabama.html,"Wed, Dec 30, 2015",8:05p,REG,South Alabama,Sun Belt,W,69,60,11,1,W 1,Mitchell Center,/cbb/schools/arkansas-little-rock/men/2016.html,@,/cbb/schools/south-alabama/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,-8.18,
12,/cbb/boxscores/2016-01-02-troy.html,"Sat, Jan 2, 2016",5:15p,REG,Troy,Sun Belt,W,67,61,12,1,W 2,Trojan Arena,/cbb/schools/arkansas-little-rock/men/2016.html,@,/cbb/schools/troy/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,-9.21,
13,/cbb/boxscores/2016-01-07-arkansas-little-rock.html,"Thu, Jan 7, 2016",8:15p,REG,Louisiana,Sun Belt,W,77,57,13,1,W 3,Jack Stephens Center,/cbb/schools/arkansas-little-rock/men/2016.html,,/cbb/schools/louisiana-lafayette/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,2.62,
14,/cbb/boxscores/2016-01-09-arkansas-little-rock.html,"Sat, Jan 9, 2016",7:00p,REG,Louisiana-Monroe,Sun Belt,W,58,57,14,1,W 4,Jack Stephens Center,/cbb/schools/arkansas-little-rock/men/2016.html,,/cbb/schools/louisiana-monroe/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,-0.18,
15,/cbb/boxscores/2016-01-14-arkansas-little-rock.html,"Thu, Jan 14, 2016",8:15p,REG,Appalachian State,Sun Belt,W,81,55,15,1,W 5,Jack Stephens Center,/cbb/schools/arkansas-little-rock/men/2016.html,,/cbb/schools/appalachian-state/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,-7.91,
16,/cbb/boxscores/2016-01-18-arkansas-state.html,"Mon, Jan 18, 2016",8:30p,REG,Arkansas State,Sun Belt,L,73,76,15,2,L 1,Convocation Center,/cbb/schools/arkansas-little-rock/men/2016.html,@,/cbb/schools/arkansas-state/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,-7.48,
17,/cbb/boxscores/2016-01-21-texas-state.html,"Thu, Jan 21, 2016",8:30p,REG,Texas State,Sun Belt,W,77,74,16,2,W 1,Strahan Arena,/cbb/schools/arkansas-little-rock/men/2016.html,@,/cbb/schools/texas-state/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,-5.36,OT
18,/cbb/boxscores/2016-01-23-texas-arlington.html,"Sat, Jan 23, 2016",8:15p,REG,UT Arlington,Sun Belt,W,68,62,17,2,W 2,College Park Center,/cbb/schools/arkansas-little-rock/men/2016.html,@,/cbb/schools/texas-arlington/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,5.02,
19,/cbb/boxscores/2016-01-28-arkansas-little-rock.html,"Thu, Jan 28, 2016",8:15p,REG,Georgia Southern,Sun Belt,W,80,67,18,2,W 3,Jack Stephens Center,/cbb/schools/arkansas-little-rock/men/2016.html,,/cbb/schools/georgia-southern/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,-5.65,
20,/cbb/boxscores/2016-01-30-arkansas-little-rock.html,"Sat, Jan 30, 2016",7:00p,REG,Georgia State,Sun Belt,W,63,53,19,2,W 4,Jack Stephens Center,/cbb/schools/arkansas-little-rock/men/2016.html,,/cbb/schools/georgia-state/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,-2.80,
21,/cbb/boxscores/2016-02-04-arkansas-little-rock.html,"Thu, Feb 4, 2016",8:15p,REG,Troy,Sun Belt,W,72,49,20,2,W 5,Jack Stephens Center,/cbb/schools/arkansas-little-rock/men/2016.html,,/cbb/schools/troy/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,-9.21,
22,/cbb/boxscores/2016-02-06-arkansas-little-rock.html,"Sat, Feb 6, 2016",7:00p,REG,South Alabama,Sun Belt,W,74,43,21,2,W 6,Jack Stephens Center,/cbb/schools/arkansas-little-rock/men/2016.html,,/cbb/schools/south-alabama/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,-8.18,
23,/cbb/boxscores/2016-02-11-louisiana-monroe.html,"Thu, Feb 11, 2016",8:00p,REG,Louisiana-Monroe,Sun Belt,L,82,86,21,3,L 1,Fant-Ewing Coliseum,/cbb/schools/arkansas-little-rock/men/2016.html,@,/cbb/schools/louisiana-monroe/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,-0.18,
24,/cbb/boxscores/2016-02-13-louisiana-lafayette.html,"Sat, Feb 13, 2016",5:15p,REG,Louisiana,Sun Belt,W,68,64,22,3,W 1,Cajundome,/cbb/schools/arkansas-little-rock/men/2016.html,@,/cbb/schools/louisiana-lafayette/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,2.62,
25,/cbb/boxscores/2016-02-18-georgia-state.html,"Thu, Feb 18, 2016",7:30p,REG,Georgia State,Sun Belt,W,57,49,23,3,W 2,GSU Sports Arena,/cbb/schools/arkansas-little-rock/men/2016.html,@,/cbb/schools/georgia-state/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,-2.80,
26,/cbb/boxscores/2016-02-20-georgia-southern.html,"Sat, Feb 20, 2016",7:00p,REG,Georgia Southern,Sun Belt,W,75,61,24,3,W 3,Hanner Fieldhouse,/cbb/schools/arkansas-little-rock/men/2016.html,@,/cbb/schools/georgia-southern/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,-5.65,
27,/cbb/boxscores/2016-02-25-arkansas-little-rock.html,"Thu, Feb 25, 2016",8:15p,REG,UT Arlington,Sun Belt,W,72,60,25,3,W 4,Jack Stephens Center,/cbb/schools/arkansas-little-rock/men/2016.html,,/cbb/schools/texas-arlington/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,5.02,
28,/cbb/boxscores/2016-02-27-arkansas-little-rock.html,"Sat, Feb 27, 2016",7:00p,REG,Texas State,Sun Belt,W,73,68,26,3,W 5,Jack Stephens Center,/cbb/schools/arkansas-little-rock/men/2016.html,,/cbb/schools/texas-state/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,-5.36,
29,/cbb/boxscores/2016-03-01-arkansas-little-rock.html,"Tue, Mar 1, 2016",8:15p,REG,Arkansas State,Sun Belt,W,89,80,27,3,W 6,Jack Stephens Center,/cbb/schools/arkansas-little-rock/men/2016.html,,/cbb/schools/arkansas-state/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,-7.48,
30,/cbb/boxscores/2016-03-03-appalachian-state.html,"Thu, Mar 3, 2016",7:30p,REG,Appalachian State,Sun Belt,L,63,69,27,4,L 1,George M. Holmes Convocation Center,/cbb/schools/arkansas-little-rock/men/2016.html,@,/cbb/schools/appalachian-state/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,-7.91,
31,/cbb/boxscores/2016-03-12-arkansas-little-rock.html,"Sat, Mar 12, 2016",2:00p,CTOURN,Louisiana,Sun Belt,W,72,65,28,4,W 1,Kiefer Lakefront Arena,/cbb/schools/arkansas-little-rock/men/2016.html,N,/cbb/schools/louisiana-lafayette/men/2016.html,/cbb/conferences/sun-belt/men/2016.html,2.62,
