,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2015-11-13-montana.html,"Fri, Nov 13, 2015",9:00p,REG,@,/cbb/schools/montana/men/2016.html,Montana,/cbb/conferences/big-sky/men/2016.html,Big Sky,-0.72,L,72,74,0,1,L 1,Dahlberg Arena,/cbb/schools/boise-state/men/2016.html,
1,/cbb/boxscores/2015-11-16-boise-state.html,"Mon, Nov 16, 2015",9:00p,REG,,/cbb/schools/northern-arizona/men/2016.html,Northern Arizona,/cbb/conferences/big-sky/men/2016.html,Big Sky,-18.29,W,101,81,1,1,W 1,Taco Bell Arena,/cbb/schools/boise-state/men/2016.html,
2,/cbb/boxscores/2015-11-19-arizona.html,"Thu, Nov 19, 2015",8:30p,REG,@,/cbb/schools/arizona/men/2016.html,Arizona,/cbb/conferences/pac-12/men/2016.html,Pac-12,18.79,L,76,88,1,2,L 1,McKale Center,/cbb/schools/boise-state/men/2016.html,
3,/cbb/boxscores/2015-11-23-boise-state.html,"Mon, Nov 23, 2015",9:00p,REG,,,Concordia (OR),,,,W,100,53,2,2,W 1,Taco Bell Arena,/cbb/schools/boise-state/men/2016.html,
4,/cbb/boxscores/2015-11-26-boise-state.html,"Thu, Nov 26, 2015",4:00p,REG,N,/cbb/schools/california-irvine/men/2016.html,UC Irvine,/cbb/conferences/big-west/men/2016.html,Big West,5.33,W,71,64,3,2,W 2,Titan Gym,/cbb/schools/boise-state/men/2016.html,
5,/cbb/boxscores/2015-11-27-michigan-state.html,"Fri, Nov 27, 2015",5:30p,REG,N,/cbb/schools/michigan-state/men/2016.html,Michigan State,/cbb/conferences/big-ten/men/2016.html,Big Ten,22.59,L,67,77,3,3,L 1,Titan Gym,/cbb/schools/boise-state/men/2016.html,
6,/cbb/boxscores/2015-11-29-arizona.html,"Sun, Nov 29, 2015",5:00p,REG,N,/cbb/schools/arizona/men/2016.html,Arizona,/cbb/conferences/pac-12/men/2016.html,Pac-12,18.79,L,59,68,3,4,L 2,Honda Center,/cbb/schools/boise-state/men/2016.html,
7,/cbb/boxscores/2015-12-02-boise-state.html,"Wed, Dec 2, 2015",9:00p,REG,,,Willamette,,,,W,100,36,4,4,W 1,Taco Bell Arena,/cbb/schools/boise-state/men/2016.html,
8,/cbb/boxscores/2015-12-05-portland.html,"Sat, Dec 5, 2015",10:00p,REG,@,/cbb/schools/portland/men/2016.html,Portland,/cbb/conferences/wcc/men/2016.html,WCC,-2.21,W,81,71,5,4,W 2,Chiles Center,/cbb/schools/boise-state/men/2016.html,
9,/cbb/boxscores/2015-12-09-boise-state.html,"Wed, Dec 9, 2015",9:00p,REG,,/cbb/schools/loyola-marymount/men/2016.html,Loyola Marymount,/cbb/conferences/wcc/men/2016.html,WCC,-3.63,W,67,66,6,4,W 3,Taco Bell Arena,/cbb/schools/boise-state/men/2016.html,
