,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2015-11-13-buffalo.html,"Fri, Nov 13, 2015",9:00p,REG,Pittsburgh-Bradford,,W,109,49,1,0,W 1,Alumni Arena,/cbb/schools/buffalo/men/2016.html,,,,,
1,/cbb/boxscores/2015-11-16-old-dominion.html,"Mon, Nov 16, 2015",7:00p,REG,Old Dominion,CUSA,L,58,77,1,1,L 1,Ted Constant Convocaation Center,/cbb/schools/buffalo/men/2016.html,@,/cbb/schools/old-dominion/men/2016.html,/cbb/conferences/cusa/men/2016.html,4.66,
2,/cbb/boxscores/2015-11-18-saint-josephs.html,"Wed, Nov 18, 2015",7:00p,REG,Saint Joseph's,A-10,L,67,89,1,2,L 2,Hagan Arena,/cbb/schools/buffalo/men/2016.html,@,/cbb/schools/saint-josephs/men/2016.html,/cbb/conferences/atlantic-10/men/2016.html,12.10,
3,/cbb/boxscores/2015-11-21-north-carolina-at.html,"Sat, Nov 21, 2015",7:30p,REG,North Carolina A&T,MEAC,W,86,68,2,2,W 1,Mohegan Sun Arena,/cbb/schools/buffalo/men/2016.html,N,/cbb/schools/north-carolina-at/men/2016.html,/cbb/conferences/meac/men/2016.html,-16.78,
4,/cbb/boxscores/2015-11-22-vermont.html,"Sun, Nov 22, 2015",8:00p,REG,Vermont,AEC,W,77,71,3,2,W 2,Mohegan Sun Arena,/cbb/schools/buffalo/men/2016.html,N,/cbb/schools/vermont/men/2016.html,/cbb/conferences/america-east/men/2016.html,-1.51,
5,/cbb/boxscores/2015-11-28-buffalo.html,"Sat, Nov 28, 2015",2:00p,REG,Canisius,MAAC,W,98,96,4,2,W 3,Alumni Arena,/cbb/schools/buffalo/men/2016.html,,/cbb/schools/canisius/men/2016.html,/cbb/conferences/maac/men/2016.html,-5.62,OT
6,/cbb/boxscores/2015-12-02-buffalo.html,"Wed, Dec 2, 2015",7:00p,REG,St. Bonaventure,A-10,L,58,60,4,3,L 1,Alumni Arena,/cbb/schools/buffalo/men/2016.html,,/cbb/schools/st-bonaventure/men/2016.html,/cbb/conferences/atlantic-10/men/2016.html,6.55,
7,/cbb/boxscores/2015-12-05-duke.html,"Sat, Dec 5, 2015",5:15p,REG,Duke,ACC,L,59,82,4,4,L 2,Cameron Indoor Stadium,/cbb/schools/buffalo/men/2016.html,@,/cbb/schools/duke/men/2016.html,/cbb/conferences/acc/men/2016.html,19.23,
8,/cbb/boxscores/2015-12-07-iowa-state.html,"Mon, Dec 7, 2015",9:00p,REG,Iowa State,Big 12,L,63,84,4,5,L 3,James H. Hilton Coliseum,/cbb/schools/buffalo/men/2016.html,@,/cbb/schools/iowa-state/men/2016.html,/cbb/conferences/big-12/men/2016.html,16.93,
9,/cbb/boxscores/2015-12-12-buffalo.html,"Sat, Dec 12, 2015",2:00p,REG,Binghamton,AEC,W,80,64,5,5,W 1,Alumni Arena,/cbb/schools/buffalo/men/2016.html,,/cbb/schools/binghamton/men/2016.html,/cbb/conferences/america-east/men/2016.html,-14.08,
10,/cbb/boxscores/2015-12-19-buffalo.html,"Sat, Dec 19, 2015",2:00p,REG,Montana State,Big Sky,W,80,73,6,5,W 2,Alumni Arena,/cbb/schools/buffalo/men/2016.html,,/cbb/schools/montana-state/men/2016.html,/cbb/conferences/big-sky/men/2016.html,-6.91,
11,/cbb/boxscores/2015-12-22-virginia-commonwealth.html,"Tue, Dec 22, 2015",7:00p,REG,Virginia Commonwealth,A-10,L,69,90,6,6,L 1,Stuart Siegel Center,/cbb/schools/buffalo/men/2016.html,@,/cbb/schools/virginia-commonwealth/men/2016.html,/cbb/conferences/atlantic-10/men/2016.html,13.83,
12,/cbb/boxscores/2015-12-29-buffalo.html,"Tue, Dec 29, 2015",7:00p,REG,Delaware,CAA,W,99,79,7,6,W 1,Alumni Arena,/cbb/schools/buffalo/men/2016.html,,/cbb/schools/delaware/men/2016.html,/cbb/conferences/colonial/men/2016.html,-8.62,
13,/cbb/boxscores/2016-01-05-buffalo.html,"Tue, Jan 5, 2016",7:00p,REG,Akron,MAC,L,71,75,7,7,L 1,Alumni Arena,/cbb/schools/buffalo/men/2016.html,,/cbb/schools/akron/men/2016.html,/cbb/conferences/mac/men/2016.html,5.55,
14,/cbb/boxscores/2016-01-08-kent-state.html,"Fri, Jan 8, 2016",6:30p,REG,Kent State,MAC,W,76,67,8,7,W 1,Memorial Athletic & Convocation Center,/cbb/schools/buffalo/men/2016.html,@,/cbb/schools/kent-state/men/2016.html,/cbb/conferences/mac/men/2016.html,-1.53,
15,/cbb/boxscores/2016-01-12-eastern-michigan.html,"Tue, Jan 12, 2016",7:00p,REG,Eastern Michigan,MAC,L,69,81,8,8,L 1,Convocation Center,/cbb/schools/buffalo/men/2016.html,@,/cbb/schools/eastern-michigan/men/2016.html,/cbb/conferences/mac/men/2016.html,-0.14,
16,/cbb/boxscores/2016-01-16-buffalo.html,"Sat, Jan 16, 2016",3:30p,REG,Central Michigan,MAC,W,74,61,9,8,W 1,Alumni Arena,/cbb/schools/buffalo/men/2016.html,,/cbb/schools/central-michigan/men/2016.html,/cbb/conferences/mac/men/2016.html,-0.67,
17,/cbb/boxscores/2016-01-19-miami-oh.html,"Tue, Jan 19, 2016",7:00p,REG,Miami (OH),MAC,W,77,60,10,8,W 2,Millett Hall,/cbb/schools/buffalo/men/2016.html,@,/cbb/schools/miami-oh/men/2016.html,/cbb/conferences/mac/men/2016.html,-5.91,
18,/cbb/boxscores/2016-01-23-western-michigan.html,"Sat, Jan 23, 2016",4:30p,REG,Western Michigan,MAC,L,71,91,10,9,L 1,University Arena,/cbb/schools/buffalo/men/2016.html,@,/cbb/schools/western-michigan/men/2016.html,/cbb/conferences/mac/men/2016.html,-2.07,
19,/cbb/boxscores/2016-01-26-buffalo.html,"Tue, Jan 26, 2016",7:00p,REG,Ball State,MAC,W,76,64,11,9,W 1,Alumni Arena,/cbb/schools/buffalo/men/2016.html,,/cbb/schools/ball-state/men/2016.html,/cbb/conferences/mac/men/2016.html,0.11,
20,/cbb/boxscores/2016-01-30-toledo.html,"Sat, Jan 30, 2016",7:00p,REG,Toledo,MAC,W,73,68,12,9,W 2,Savage Arena,/cbb/schools/buffalo/men/2016.html,@,/cbb/schools/toledo/men/2016.html,/cbb/conferences/mac/men/2016.html,2.96,
