,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2015-11-14-butler.html,"Sat, Nov 14, 2015",7:30p,REG,/cbb/schools/citadel/men/2016.html,The Citadel,/cbb/conferences/southern/men/2016.html,Southern,-15.95,W,144,71,1,0,W 1,Hinkle Fieldhouse,/cbb/schools/butler/men/2016.html,,
1,/cbb/boxscores/2015-11-19-missouri-state.html,"Thu, Nov 19, 2015",2:00p,REG,/cbb/schools/missouri-state/men/2016.html,Missouri State,/cbb/conferences/mvc/men/2016.html,MVC,-3.52,W,93,59,2,0,W 2,Roberto Clemente Coliseum,/cbb/schools/butler/men/2016.html,N,
2,/cbb/boxscores/2015-11-20-butler.html,"Fri, Nov 20, 2015",1:00p,REG,/cbb/schools/temple/men/2016.html,Temple,/cbb/conferences/aac/men/2016.html,AAC,7.69,W,74,69,3,0,W 3,Roberto Clemente Coliseum,/cbb/schools/butler/men/2016.html,N,
3,/cbb/boxscores/2015-11-22-miami-fl.html,"Sun, Nov 22, 2015",7:30p,REG,/cbb/schools/miami-fl/men/2016.html,Miami (FL),/cbb/conferences/acc/men/2016.html,ACC,18.52,L,75,85,3,1,L 1,Roberto Clemente Coliseum,/cbb/schools/butler/men/2016.html,N,
4,/cbb/boxscores/2015-11-28-butler.html,"Sat, Nov 28, 2015",5:00p,REG,/cbb/schools/southern-illinois-edwardsville/men/2016.html,Southern Illinois-Edwardsville,/cbb/conferences/ovc/men/2016.html,OVC,-10.78,W,89,73,4,1,W 1,Hinkle Fieldhouse,/cbb/schools/butler/men/2016.html,,
5,/cbb/boxscores/2015-12-02-cincinnati.html,"Wed, Dec 2, 2015",7:00p,REG,/cbb/schools/cincinnati/men/2016.html,Cincinnati,/cbb/conferences/aac/men/2016.html,AAC,15.19,W,78,76,5,1,W 2,Fifth Third Arena,/cbb/schools/butler/men/2016.html,@,
6,/cbb/boxscores/2015-12-05-butler.html,"Sat, Dec 5, 2015",12:00p,REG,/cbb/schools/indiana-state/men/2016.html,Indiana State,/cbb/conferences/mvc/men/2016.html,MVC,0.04,W,85,71,6,1,W 3,Hinkle Fieldhouse,/cbb/schools/butler/men/2016.html,,
7,/cbb/boxscores/2015-12-07-butler.html,"Mon, Dec 7, 2015",7:00p,REG,/cbb/schools/virginia-military-institute/men/2016.html,Virginia Military Institute,/cbb/conferences/southern/men/2016.html,Southern,-12.96,W,93,66,7,1,W 4,Hinkle Fieldhouse,/cbb/schools/butler/men/2016.html,,
8,/cbb/boxscores/2015-12-12-butler.html,"Sat, Dec 12, 2015",2:30p,REG,/cbb/schools/tennessee/men/2016.html,Tennessee,/cbb/conferences/sec/men/2016.html,SEC,7.80,W,94,86,8,1,W 5,Hinkle Fieldhouse,/cbb/schools/butler/men/2016.html,,
9,/cbb/boxscores/2015-12-19-purdue.html,"Sat, Dec 19, 2015",5:00p,REG,/cbb/schools/purdue/men/2016.html,Purdue,/cbb/conferences/big-ten/men/2016.html,Big Ten,20.17,W,74,68,9,1,W 6,Bankers Life Fieldhouse,/cbb/schools/butler/men/2016.html,N,
10,/cbb/boxscores/2015-12-22-butler.html,"Tue, Dec 22, 2015",8:30p,REG,/cbb/schools/southern-utah/men/2016.html,Southern Utah,/cbb/conferences/big-sky/men/2016.html,Big Sky,-17.36,W,88,52,10,1,W 7,Hinkle Fieldhouse,/cbb/schools/butler/men/2016.html,,
11,/cbb/boxscores/2015-12-28-butler.html,"Mon, Dec 28, 2015",7:00p,REG,/cbb/schools/iupui/men/2016.html,IUPUI,/cbb/conferences/summit/men/2016.html,Summit,-5.86,W,92,54,11,1,W 8,Hinkle Fieldhouse,/cbb/schools/butler/men/2016.html,,
12,/cbb/boxscores/2015-12-31-butler.html,"Thu, Dec 31, 2015",2:30p,REG,/cbb/schools/providence/men/2016.html,Providence,/cbb/conferences/big-east/men/2016.html,Big East,11.94,L,73,81,11,2,L 1,Hinkle Fieldhouse,/cbb/schools/butler/men/2016.html,,
13,/cbb/boxscores/2016-01-02-xavier.html,"Sat, Jan 2, 2016",1:00p,REG,/cbb/schools/xavier/men/2016.html,Xavier,/cbb/conferences/big-east/men/2016.html,Big East,18.58,L,69,88,11,3,L 2,Cintas Center,/cbb/schools/butler/men/2016.html,@,
14,/cbb/boxscores/2016-01-05-depaul.html,"Tue, Jan 5, 2016",8:00p,REG,/cbb/schools/depaul/men/2016.html,DePaul,/cbb/conferences/big-east/men/2016.html,Big East,0.83,W,77,72,12,3,W 1,Allstate Arena,/cbb/schools/butler/men/2016.html,@,
15,/cbb/boxscores/2016-01-10-butler.html,"Sun, Jan 10, 2016",7:30p,REG,/cbb/schools/villanova/men/2016.html,Villanova,/cbb/conferences/big-east/men/2016.html,Big East,24.08,L,55,60,12,4,L 1,Hinkle Fieldhouse,/cbb/schools/butler/men/2016.html,,
16,/cbb/boxscores/2016-01-16-butler.html,"Sat, Jan 16, 2016",12:00p,REG,/cbb/schools/st-johns-ny/men/2016.html,St. John's (NY),/cbb/conferences/big-east/men/2016.html,Big East,-1.90,W,78,58,13,4,W 1,Hinkle Fieldhouse,/cbb/schools/butler/men/2016.html,,
17,/cbb/boxscores/2016-01-19-providence.html,"Tue, Jan 19, 2016",6:30p,REG,/cbb/schools/providence/men/2016.html,Providence,/cbb/conferences/big-east/men/2016.html,Big East,11.94,L,68,71,13,5,L 1,Dunkin Donuts Center,/cbb/schools/butler/men/2016.html,@,
18,/cbb/boxscores/2016-01-23-creighton.html,"Sat, Jan 23, 2016",7:37p,REG,/cbb/schools/creighton/men/2016.html,Creighton,/cbb/conferences/big-east/men/2016.html,Big East,13.69,L,64,72,13,6,L 2,CenturyLink Center Omaha,/cbb/schools/butler/men/2016.html,@,
19,/cbb/boxscores/2016-01-27-butler.html,"Wed, Jan 27, 2016",7:00p,REG,/cbb/schools/depaul/men/2016.html,DePaul,/cbb/conferences/big-east/men/2016.html,Big East,0.83,W,67,53,14,6,W 1,Hinkle Fieldhouse,/cbb/schools/butler/men/2016.html,,
20,/cbb/boxscores/2016-01-30-marquette.html,"Sat, Jan 30, 2016",12:00p,REG,/cbb/schools/marquette/men/2016.html,Marquette,/cbb/conferences/big-east/men/2016.html,Big East,7.66,L,69,75,14,7,L 1,BMO Harris Bradley Center,/cbb/schools/butler/men/2016.html,@,
21,/cbb/boxscores/2016-02-02-butler.html,"Tue, Feb 2, 2016",7:00p,REG,/cbb/schools/georgetown/men/2016.html,Georgetown,/cbb/conferences/big-east/men/2016.html,Big East,10.31,W,87,76,15,7,W 1,Hinkle Fieldhouse,/cbb/schools/butler/men/2016.html,,
22,/cbb/boxscores/2016-02-06-st-johns-ny.html,"Sat, Feb 6, 2016",4:30p,REG,/cbb/schools/st-johns-ny/men/2016.html,St. John's (NY),/cbb/conferences/big-east/men/2016.html,Big East,-1.90,W,89,56,16,7,W 2,Carnesecca Arena,/cbb/schools/butler/men/2016.html,@,
23,/cbb/boxscores/2016-02-10-seton-hall.html,"Wed, Feb 10, 2016",6:30p,REG,/cbb/schools/seton-hall/men/2016.html,Seton Hall,/cbb/conferences/big-east/men/2016.html,Big East,14.66,W,81,75,17,7,W 3,Prudential Center,/cbb/schools/butler/men/2016.html,@,
24,/cbb/boxscores/2016-02-13-butler.html,"Sat, Feb 13, 2016",2:30p,REG,/cbb/schools/xavier/men/2016.html,Xavier,/cbb/conferences/big-east/men/2016.html,Big East,18.58,L,57,74,17,8,L 1,Hinkle Fieldhouse,/cbb/schools/butler/men/2016.html,,
25,/cbb/boxscores/2016-02-16-butler.html,"Tue, Feb 16, 2016",7:00p,REG,/cbb/schools/creighton/men/2016.html,Creighton,/cbb/conferences/big-east/men/2016.html,Big East,13.69,W,88,75,18,8,W 1,Hinkle Fieldhouse,/cbb/schools/butler/men/2016.html,,
26,/cbb/boxscores/2016-02-20-villanova.html,"Sat, Feb 20, 2016",2:30p,REG,/cbb/schools/villanova/men/2016.html,Villanova,/cbb/conferences/big-east/men/2016.html,Big East,24.08,L,67,77,18,9,L 1,The Pavilion,/cbb/schools/butler/men/2016.html,@,
27,/cbb/boxscores/2016-02-27-georgetown.html,"Sat, Feb 27, 2016",12:00p,REG,/cbb/schools/georgetown/men/2016.html,Georgetown,/cbb/conferences/big-east/men/2016.html,Big East,10.31,W,90,87,19,9,W 1,Verizon Center,/cbb/schools/butler/men/2016.html,@,OT
28,/cbb/boxscores/2016-03-02-butler.html,"Wed, Mar 2, 2016",8:30p,REG,/cbb/schools/seton-hall/men/2016.html,Seton Hall,/cbb/conferences/big-east/men/2016.html,Big East,14.66,W,85,78,20,9,W 2,Hinkle Fieldhouse,/cbb/schools/butler/men/2016.html,,
29,/cbb/boxscores/2016-03-05-butler.html,"Sat, Mar 5, 2016",2:30p,REG,/cbb/schools/marquette/men/2016.html,Marquette,/cbb/conferences/big-east/men/2016.html,Big East,7.66,W,95,74,21,9,W 3,Hinkle Fieldhouse,/cbb/schools/butler/men/2016.html,,
