,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2015-11-13-villanova.html,"Fri, Nov 13, 2015",7:00p,REG,@,/cbb/schools/villanova/men/2016.html,Villanova,/cbb/conferences/big-east/men/2016.html,Big East,24.08,L,54,91,0,1,L 1,The Pavilion,/cbb/schools/fairleigh-dickinson/men/2016.html,
1,/cbb/boxscores/2015-11-16-fairleigh-dickinson.html,"Mon, Nov 16, 2015",7:00p,REG,,,Fairleigh Dickinson-Florham,,,,W,111,70,1,1,W 1,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
2,/cbb/boxscores/2015-11-18-fairleigh-dickinson.html,"Wed, Nov 18, 2015",7:00p,REG,,/cbb/schools/army/men/2016.html,Army,/cbb/conferences/patriot/men/2016.html,Patriot,-7.32,L,85,96,1,2,L 1,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
3,/cbb/boxscores/2015-11-21-fordham.html,"Sat, Nov 21, 2015",2:00p,REG,@,/cbb/schools/fordham/men/2016.html,Fordham,/cbb/conferences/atlantic-10/men/2016.html,A-10,1.87,L,62,85,1,3,L 2,Rose Hill Gymnasium,/cbb/schools/fairleigh-dickinson/men/2016.html,
4,/cbb/boxscores/2015-11-24-delaware.html,"Tue, Nov 24, 2015",7:00p,REG,@,/cbb/schools/delaware/men/2016.html,Delaware,/cbb/conferences/colonial/men/2016.html,CAA,-8.62,L,72,73,1,4,L 3,Bob Carpenter Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
5,/cbb/boxscores/2015-11-28-fairleigh-dickinson.html,"Sat, Nov 28, 2015",2:00p,REG,,/cbb/schools/saint-peters/men/2016.html,Saint Peter's,/cbb/conferences/maac/men/2016.html,MAAC,-5.00,W,77,62,2,4,W 1,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
6,/cbb/boxscores/2015-11-30-princeton.html,"Mon, Nov 30, 2015",7:00p,REG,@,/cbb/schools/princeton/men/2016.html,Princeton,/cbb/conferences/ivy/men/2016.html,Ivy,7.17,L,61,91,2,5,L 1,Jadwin Gymnasium,/cbb/schools/fairleigh-dickinson/men/2016.html,
7,/cbb/boxscores/2015-12-02-temple.html,"Wed, Dec 2, 2015",7:00p,REG,@,/cbb/schools/temple/men/2016.html,Temple,/cbb/conferences/aac/men/2016.html,AAC,7.69,L,70,79,2,6,L 2,Liacouras Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
8,/cbb/boxscores/2015-12-09-lafayette.html,"Wed, Dec 9, 2015",7:00p,REG,@,/cbb/schools/lafayette/men/2016.html,Lafayette,/cbb/conferences/patriot/men/2016.html,Patriot,-15.00,W,91,89,3,6,W 1,Kirby Sports Center,/cbb/schools/fairleigh-dickinson/men/2016.html,OT
9,/cbb/boxscores/2015-12-18-fairleigh-dickinson.html,"Fri, Dec 18, 2015",8:00p,REG,,/cbb/schools/towson/men/2016.html,Towson,/cbb/conferences/colonial/men/2016.html,CAA,-0.06,W,69,68,4,6,W 2,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
10,/cbb/boxscores/2015-12-23-rutgers.html,"Wed, Dec 23, 2015",7:00p,REG,@,/cbb/schools/rutgers/men/2016.html,Rutgers,/cbb/conferences/big-ten/men/2016.html,Big Ten,-7.06,L,64,72,4,7,L 1,Louis Brown Athletic Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
11,/cbb/boxscores/2016-01-02-fairleigh-dickinson.html,"Sat, Jan 2, 2016",4:30p,REG,,/cbb/schools/st-francis-ny/men/2016.html,St. Francis (NY),/cbb/conferences/northeast/men/2016.html,NEC,-11.24,W,86,77,5,7,W 1,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
12,/cbb/boxscores/2016-01-04-fairleigh-dickinson.html,"Mon, Jan 4, 2016",7:30p,REG,,/cbb/schools/bryant/men/2016.html,Bryant,/cbb/conferences/northeast/men/2016.html,NEC,-18.58,L,80,85,5,8,L 1,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
13,/cbb/boxscores/2016-01-07-sacred-heart.html,"Thu, Jan 7, 2016",7:00p,REG,@,/cbb/schools/sacred-heart/men/2016.html,Sacred Heart,/cbb/conferences/northeast/men/2016.html,NEC,-13.01,W,80,68,6,8,W 1,William H. Pitt Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
14,/cbb/boxscores/2016-01-09-fairleigh-dickinson.html,"Sat, Jan 9, 2016",2:00p,REG,,/cbb/schools/central-connecticut-state/men/2016.html,Central Connecticut State,/cbb/conferences/northeast/men/2016.html,NEC,-22.35,W,92,73,7,8,W 2,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
15,/cbb/boxscores/2016-01-14-saint-francis-pa.html,"Thu, Jan 14, 2016",7:00p,REG,@,/cbb/schools/saint-francis-pa/men/2016.html,Saint Francis (PA),/cbb/conferences/northeast/men/2016.html,NEC,-12.57,W,71,59,8,8,W 3,DeGol Arena,/cbb/schools/fairleigh-dickinson/men/2016.html,
16,/cbb/boxscores/2016-01-16-robert-morris.html,"Sat, Jan 16, 2016",4:00p,REG,@,/cbb/schools/robert-morris/men/2016.html,Robert Morris,/cbb/conferences/northeast/men/2016.html,NEC,-13.53,L,58,64,8,9,L 1,Charles L. Sewall Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
17,/cbb/boxscores/2016-01-21-fairleigh-dickinson.html,"Thu, Jan 21, 2016",7:00p,REG,,/cbb/schools/long-island-university/men/2016.html,Long Island University,/cbb/conferences/northeast/men/2016.html,NEC,-11.79,W,101,95,9,9,W 1,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
18,/cbb/boxscores/2016-01-24-fairleigh-dickinson.html,"Sun, Jan 24, 2016",2:00p,REG,,/cbb/schools/mount-st-marys/men/2016.html,Mount St. Mary's,/cbb/conferences/northeast/men/2016.html,NEC,-9.93,L,72,87,9,10,L 1,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
19,/cbb/boxscores/2016-01-28-fairleigh-dickinson.html,"Thu, Jan 28, 2016",7:00p,REG,,/cbb/schools/saint-francis-pa/men/2016.html,Saint Francis (PA),/cbb/conferences/northeast/men/2016.html,NEC,-12.57,W,86,82,10,10,W 1,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2016.html,OT
20,/cbb/boxscores/2016-01-30-long-island-university.html,"Sat, Jan 30, 2016",3:00p,REG,@,/cbb/schools/long-island-university/men/2016.html,Long Island University,/cbb/conferences/northeast/men/2016.html,NEC,-11.79,W,88,85,11,10,W 2,Steinberg Wellness Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
21,/cbb/boxscores/2016-02-04-wagner.html,"Thu, Feb 4, 2016",7:00p,REG,@,/cbb/schools/wagner/men/2016.html,Wagner,/cbb/conferences/northeast/men/2016.html,NEC,-4.79,W,82,79,12,10,W 3,Spiro Sports Center,/cbb/schools/fairleigh-dickinson/men/2016.html,OT
22,/cbb/boxscores/2016-02-06-st-francis-ny.html,"Sat, Feb 6, 2016",4:00p,REG,@,/cbb/schools/st-francis-ny/men/2016.html,St. Francis (NY),/cbb/conferences/northeast/men/2016.html,NEC,-11.24,L,71,85,12,11,L 1,Generoso Pope Athletic Complex,/cbb/schools/fairleigh-dickinson/men/2016.html,
23,/cbb/boxscores/2016-02-11-bryant.html,"Thu, Feb 11, 2016",9:00p,REG,@,/cbb/schools/bryant/men/2016.html,Bryant,/cbb/conferences/northeast/men/2016.html,NEC,-18.58,W,91,77,13,11,W 1,Chase Athletic Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
24,/cbb/boxscores/2016-02-13-fairleigh-dickinson.html,"Sat, Feb 13, 2016",6:00p,REG,,/cbb/schools/robert-morris/men/2016.html,Robert Morris,/cbb/conferences/northeast/men/2016.html,NEC,-13.53,L,70,72,13,12,L 1,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
25,/cbb/boxscores/2016-02-18-fairleigh-dickinson.html,"Thu, Feb 18, 2016",7:00p,REG,,/cbb/schools/wagner/men/2016.html,Wagner,/cbb/conferences/northeast/men/2016.html,NEC,-4.79,L,74,94,13,13,L 2,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
26,/cbb/boxscores/2016-02-20-fairleigh-dickinson.html,"Sat, Feb 20, 2016",7:00p,REG,,/cbb/schools/sacred-heart/men/2016.html,Sacred Heart,/cbb/conferences/northeast/men/2016.html,NEC,-13.01,L,86,91,13,14,L 3,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
27,/cbb/boxscores/2016-02-25-mount-st-marys.html,"Thu, Feb 25, 2016",7:00p,REG,@,/cbb/schools/mount-st-marys/men/2016.html,Mount St. Mary's,/cbb/conferences/northeast/men/2016.html,NEC,-9.93,W,67,54,14,14,W 1,Knott Arena,/cbb/schools/fairleigh-dickinson/men/2016.html,
28,/cbb/boxscores/2016-02-27-central-connecticut-state.html,"Sat, Feb 27, 2016",3:30p,REG,@,/cbb/schools/central-connecticut-state/men/2016.html,Central Connecticut State,/cbb/conferences/northeast/men/2016.html,NEC,-22.35,W,81,75,15,14,W 2,Detrick Gymnasium,/cbb/schools/fairleigh-dickinson/men/2016.html,
29,/cbb/boxscores/2016-03-02-fairleigh-dickinson.html,"Wed, Mar 2, 2016",7:00p,CTOURN,,/cbb/schools/saint-francis-pa/men/2016.html,Saint Francis (PA),/cbb/conferences/northeast/men/2016.html,NEC,-12.57,W,74,72,16,14,W 3,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
30,/cbb/boxscores/2016-03-05-fairleigh-dickinson.html,"Sat, Mar 5, 2016",2:00p,CTOURN,,/cbb/schools/mount-st-marys/men/2016.html,Mount St. Mary's,/cbb/conferences/northeast/men/2016.html,NEC,-9.93,W,80,75,17,14,W 4,Rothman Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
31,/cbb/boxscores/2016-03-08-wagner.html,"Tue, Mar 8, 2016",7:00p,CTOURN,@,/cbb/schools/wagner/men/2016.html,Wagner,/cbb/conferences/northeast/men/2016.html,NEC,-4.79,W,87,79,18,14,W 5,Spiro Sports Center,/cbb/schools/fairleigh-dickinson/men/2016.html,
32,/cbb/boxscores/2016-03-15-florida-gulf-coast.html,"Tue, Mar 15, 2016",6:40p,NCAA,N,/cbb/schools/florida-gulf-coast/men/2016.html,Florida Gulf Coast,/cbb/conferences/atlantic-sun/men/2016.html,A-Sun,-0.79,L,65,96,18,15,L 1,University of Dayton Arena,/cbb/schools/fairleigh-dickinson/men/2016.html,
