,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2015-11-13-fresno-state.html,"Fri, Nov 13, 2015",10:00p,REG,/cbb/schools/pepperdine/men/2016.html,Pepperdine,/cbb/conferences/wcc/men/2016.html,WCC,2.33,W,69,66,1,0,W 1,Save Mart Center,/cbb/schools/fresno-state/men/2016.html,,
1,/cbb/boxscores/2015-11-16-fresno-state.html,"Mon, Nov 16, 2015",10:00p,REG,/cbb/schools/lamar/men/2016.html,Lamar,/cbb/conferences/southland/men/2016.html,Southland,-14.69,W,80,72,2,0,W 2,Save Mart Center,/cbb/schools/fresno-state/men/2016.html,,
2,/cbb/boxscores/2015-11-19-fresno-state.html,"Thu, Nov 19, 2015",10:00p,REG,/cbb/schools/san-francisco/men/2016.html,San Francisco,/cbb/conferences/wcc/men/2016.html,WCC,-2.92,W,78,71,3,0,W 3,Save Mart Center,/cbb/schools/fresno-state/men/2016.html,,
3,/cbb/boxscores/2015-11-22-rice.html,"Sun, Nov 22, 2015",6:00p,REG,/cbb/schools/rice/men/2016.html,Rice,/cbb/conferences/cusa/men/2016.html,CUSA,-8.80,W,82,65,4,0,W 4,Tudor Fieldhouse,/cbb/schools/fresno-state/men/2016.html,@,
4,/cbb/boxscores/2015-11-27-fresno-state.html,"Fri, Nov 27, 2015",10:00p,REG,/cbb/schools/delaware-state/men/2016.html,Delaware State,/cbb/conferences/meac/men/2016.html,MEAC,-20.88,W,80,59,5,0,W 5,Save Mart Center,/cbb/schools/fresno-state/men/2016.html,,
5,/cbb/boxscores/2015-11-30-oregon.html,"Mon, Nov 30, 2015",8:00p,REG,/cbb/schools/oregon/men/2016.html,Oregon,/cbb/conferences/pac-12/men/2016.html,Pac-12,18.05,L,73,78,5,1,L 1,Matthew Knight Arena,/cbb/schools/fresno-state/men/2016.html,@,
6,/cbb/boxscores/2015-12-03-fresno-state.html,"Thu, Dec 3, 2015",10:00p,REG,,Master's,,,,W,84,72,6,1,W 1,Save Mart Center,/cbb/schools/fresno-state/men/2016.html,,
7,/cbb/boxscores/2015-12-05-cal-poly.html,"Sat, Dec 5, 2015",10:00p,REG,/cbb/schools/cal-poly/men/2016.html,Cal Poly,/cbb/conferences/big-west/men/2016.html,Big West,-3.49,L,65,77,6,2,L 1,Robert A. Mott Athletics Center,/cbb/schools/fresno-state/men/2016.html,@,
8,/cbb/boxscores/2015-12-09-arizona.html,"Wed, Dec 9, 2015",9:00p,REG,/cbb/schools/arizona/men/2016.html,Arizona,/cbb/conferences/pac-12/men/2016.html,Pac-12,18.79,L,72,85,6,3,L 2,McKale Center,/cbb/schools/fresno-state/men/2016.html,@,
9,/cbb/boxscores/2015-12-12-fresno-state.html,"Sat, Dec 12, 2015",7:00p,REG,/cbb/schools/pacific/men/2016.html,Pacific,/cbb/conferences/wcc/men/2016.html,WCC,-3.57,W,71,52,7,3,W 1,Save Mart Center,/cbb/schools/fresno-state/men/2016.html,,
10,/cbb/boxscores/2015-12-16-fresno-state.html,"Wed, Dec 16, 2015",10:00p,REG,/cbb/schools/cal-state-bakersfield/men/2016.html,Cal State Bakersfield,/cbb/conferences/wac/men/2016.html,WAC,2.58,W,76,68,8,3,W 2,Save Mart Center,/cbb/schools/fresno-state/men/2016.html,,
11,/cbb/boxscores/2015-12-20-fresno-state.html,"Sun, Dec 20, 2015",4:00p,REG,/cbb/schools/evansville/men/2016.html,Evansville,/cbb/conferences/mvc/men/2016.html,MVC,8.10,L,77,85,8,4,L 1,Save Mart Center,/cbb/schools/fresno-state/men/2016.html,,
12,/cbb/boxscores/2015-12-27-fresno-state.html,"Sun, Dec 27, 2015",4:00p,REG,,Pacific Union,,,,W,89,46,9,4,W 1,Save Mart Center,/cbb/schools/fresno-state/men/2016.html,,
13,/cbb/boxscores/2015-12-30-nevada-las-vegas.html,"Wed, Dec 30, 2015",11:00p,REG,/cbb/schools/nevada-las-vegas/men/2016.html,Nevada-Las Vegas,/cbb/conferences/mwc/men/2016.html,MWC,5.50,W,69,66,10,4,W 2,Thomas & Mack Center,/cbb/schools/fresno-state/men/2016.html,@,
