,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2015-11-13-hawaii.html,"Fri, Nov 13, 2015",11:59p,REG,/cbb/schools/montana-state/men/2016.html,Montana State,/cbb/conferences/big-sky/men/2016.html,Big Sky,-6.91,W,87,76,1,0,W 1,Stan Sheriff Center,/cbb/schools/hawaii/men/2016.html,,
1,/cbb/boxscores/2015-11-15-hawaii.html,"Sun, Nov 15, 2015",9:30p,REG,/cbb/schools/coastal-carolina/men/2016.html,Coastal Carolina,/cbb/conferences/big-south/men/2016.html,Big South,-1.85,W,74,63,2,0,W 2,Stan Sheriff Center,/cbb/schools/hawaii/men/2016.html,N,
2,/cbb/boxscores/2015-11-16-hawaii.html,"Mon, Nov 16, 2015",11:59p,REG,/cbb/schools/nevada/men/2016.html,Nevada,/cbb/conferences/mwc/men/2016.html,MWC,2.85,W,76,75,3,0,W 3,Stan Sheriff Center,/cbb/schools/hawaii/men/2016.html,,
3,/cbb/boxscores/2015-11-22-hawaii.html,"Sun, Nov 22, 2015",11:59p,REG,/cbb/schools/nicholls-state/men/2016.html,Nicholls State,/cbb/conferences/southland/men/2016.html,Southland,-16.68,W,99,74,4,0,W 4,Stan Sheriff Center,/cbb/schools/hawaii/men/2016.html,,
4,/cbb/boxscores/2015-11-28-texas-tech.html,"Sat, Nov 28, 2015",4:00p,REG,/cbb/schools/texas-tech/men/2016.html,Texas Tech,/cbb/conferences/big-12/men/2016.html,Big 12,12.41,L,74,82,4,1,L 1,United Supermarkets Arena,/cbb/schools/hawaii/men/2016.html,@,
5,/cbb/boxscores/2015-12-02-hawaii.html,"Wed, Dec 2, 2015",11:59p,REG,/cbb/schools/arkansas-pine-bluff/men/2016.html,Arkansas-Pine Bluff,/cbb/conferences/swac/men/2016.html,SWAC,-19.31,W,75,47,5,1,W 1,Stan Sheriff Center,/cbb/schools/hawaii/men/2016.html,,
6,/cbb/boxscores/2015-12-08-hawaii.html,"Tue, Dec 8, 2015",11:59p,REG,,Hawaii-Hilo,,,,W,86,67,6,1,W 2,Stan Sheriff Center,/cbb/schools/hawaii/men/2016.html,,
7,/cbb/boxscores/2015-12-12-hawaii.html,"Sat, Dec 12, 2015",11:59p,REG,,Hawaii Pacific,,,,W,83,71,7,1,W 3,Stan Sheriff Center,/cbb/schools/hawaii/men/2016.html,,
8,/cbb/boxscores/2015-12-22-hawaii.html,"Tue, Dec 22, 2015",11:59p,REG,/cbb/schools/northern-iowa/men/2016.html,Northern Iowa,/cbb/conferences/mvc/men/2016.html,MVC,8.78,W,68,52,8,1,W 4,Stan Sheriff Center,/cbb/schools/hawaii/men/2016.html,,
9,/cbb/boxscores/2015-12-23-hawaii.html,"Wed, Dec 23, 2015",9:00p,REG,/cbb/schools/oklahoma/men/2016.html,Oklahoma,/cbb/conferences/big-12/men/2016.html,Big 12,19.76,L,81,84,8,2,L 1,Stan Sheriff Center,/cbb/schools/hawaii/men/2016.html,,
