,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2015-11-13-indiana.html,"Fri, Nov 13, 2015",7:00p,REG,/cbb/schools/eastern-illinois/men/2016.html,Eastern Illinois,/cbb/conferences/ovc/men/2016.html,OVC,-8.35,W,88,49,1,0,W 1,Assembly Hall,/cbb/schools/indiana/men/2016.html,,
1,/cbb/boxscores/2015-11-16-indiana.html,"Mon, Nov 16, 2015",7:00p,REG,/cbb/schools/austin-peay/men/2016.html,Austin Peay,/cbb/conferences/ovc/men/2016.html,OVC,-6.04,W,102,76,2,0,W 2,Assembly Hall,/cbb/schools/indiana/men/2016.html,,
2,/cbb/boxscores/2015-11-19-indiana.html,"Thu, Nov 19, 2015",7:00p,REG,/cbb/schools/creighton/men/2016.html,Creighton,/cbb/conferences/big-east/men/2016.html,Big East,13.69,W,86,65,3,0,W 3,Assembly Hall,/cbb/schools/indiana/men/2016.html,,
3,/cbb/boxscores/2015-11-23-indiana.html,"Mon, Nov 23, 2015",5:00p,REG,/cbb/schools/wake-forest/men/2016.html,Wake Forest,/cbb/conferences/acc/men/2016.html,ACC,5.53,L,78,82,3,1,L 1,Lahaina Civic Center,/cbb/schools/indiana/men/2016.html,N,
4,/cbb/boxscores/2015-11-24-indiana.html,"Tue, Nov 24, 2015",2:00p,REG,/cbb/schools/st-johns-ny/men/2016.html,St. John's (NY),/cbb/conferences/big-east/men/2016.html,Big East,-1.90,W,83,73,4,1,W 1,Lahaina Civic Center,/cbb/schools/indiana/men/2016.html,N,
5,/cbb/boxscores/2015-11-25-indiana.html,"Wed, Nov 25, 2015",5:00p,REG,/cbb/schools/nevada-las-vegas/men/2016.html,Nevada-Las Vegas,/cbb/conferences/mwc/men/2016.html,MWC,5.50,L,69,72,4,2,L 1,Lahaina Civic Center,/cbb/schools/indiana/men/2016.html,N,
6,/cbb/boxscores/2015-11-30-indiana.html,"Mon, Nov 30, 2015",7:00p,REG,/cbb/schools/alcorn-state/men/2016.html,Alcorn State,/cbb/conferences/swac/men/2016.html,SWAC,-16.01,W,112,70,5,2,W 1,Assembly Hall,/cbb/schools/indiana/men/2016.html,,
7,/cbb/boxscores/2015-12-02-duke.html,"Wed, Dec 2, 2015",9:15p,REG,/cbb/schools/duke/men/2016.html,Duke,/cbb/conferences/acc/men/2016.html,ACC,19.23,L,74,94,5,3,L 1,Cameron Indoor Stadium,/cbb/schools/indiana/men/2016.html,@,
8,/cbb/boxscores/2015-12-05-indiana.html,"Sat, Dec 5, 2015",7:00p,REG,/cbb/schools/morehead-state/men/2016.html,Morehead State,/cbb/conferences/ovc/men/2016.html,OVC,1.04,W,92,59,6,3,W 1,Assembly Hall,/cbb/schools/indiana/men/2016.html,,
9,/cbb/boxscores/2015-12-09-indiana.html,"Wed, Dec 9, 2015",7:00p,REG,/cbb/schools/ipfw/men/2016.html,Purdue Fort Wayne,/cbb/conferences/summit/men/2016.html,Summit,0.00,W,90,65,7,3,W 2,Assembly Hall,/cbb/schools/indiana/men/2016.html,,
10,/cbb/boxscores/2015-12-12-indiana.html,"Sat, Dec 12, 2015",6:30p,REG,/cbb/schools/mcneese-state/men/2016.html,McNeese State,/cbb/conferences/southland/men/2016.html,Southland,-15.24,W,105,60,8,3,W 3,Assembly Hall,/cbb/schools/indiana/men/2016.html,,
11,/cbb/boxscores/2015-12-19-notre-dame.html,"Sat, Dec 19, 2015",2:00p,REG,/cbb/schools/notre-dame/men/2016.html,Notre Dame,/cbb/conferences/acc/men/2016.html,ACC,14.10,W,80,73,9,3,W 4,Bankers Life Fieldhouse,/cbb/schools/indiana/men/2016.html,N,
12,/cbb/boxscores/2015-12-22-indiana.html,"Tue, Dec 22, 2015",6:00p,REG,/cbb/schools/kennesaw-state/men/2016.html,Kennesaw State,/cbb/conferences/atlantic-sun/men/2016.html,A-Sun,-8.58,W,99,72,10,3,W 5,Assembly Hall,/cbb/schools/indiana/men/2016.html,,
13,/cbb/boxscores/2015-12-30-rutgers.html,"Wed, Dec 30, 2015",1:00p,REG,/cbb/schools/rutgers/men/2016.html,Rutgers,/cbb/conferences/big-ten/men/2016.html,Big Ten,-7.06,W,79,72,11,3,W 6,Louis Brown Athletic Center,/cbb/schools/indiana/men/2016.html,@,
14,/cbb/boxscores/2016-01-02-nebraska.html,"Sat, Jan 2, 2016",4:00p,REG,/cbb/schools/nebraska/men/2016.html,Nebraska,/cbb/conferences/big-ten/men/2016.html,Big Ten,8.84,W,79,69,12,3,W 7,Pinnacle Bank Arena,/cbb/schools/indiana/men/2016.html,@,
