,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location,overtimes
0,/cbb/boxscores/2015-11-13-north-carolina-wilmington.html,"Fri, Nov 13, 2015",7:00p,REG,Milligan,,W,100,62,1,0,W 1,Trask Coliseum,/cbb/schools/north-carolina-wilmington/men/2016.html,,,,,
1,/cbb/boxscores/2015-11-16-north-carolina-wilmington.html,"Mon, Nov 16, 2015",7:00p,REG,Eastern Kentucky,OVC,W,78,59,2,0,W 2,Trask Coliseum,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/eastern-kentucky/men/2016.html,/cbb/conferences/ovc/men/2016.html,-3.53,,
2,/cbb/boxscores/2015-11-21-north-carolina-wilmington.html,"Sat, Nov 21, 2015",7:00p,REG,Western Michigan,MAC,W,80,76,3,0,W 3,Trask Coliseum,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/western-michigan/men/2016.html,/cbb/conferences/mac/men/2016.html,-2.07,,
3,/cbb/boxscores/2015-11-28-east-tennessee-state.html,"Sat, Nov 28, 2015",4:00p,REG,East Tennessee State,Southern,W,94,73,4,0,W 4,Freedom Hall Civic Center,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/east-tennessee-state/men/2016.html,/cbb/conferences/southern/men/2016.html,-1.49,@,
4,/cbb/boxscores/2015-12-02-north-carolina-wilmington.html,"Wed, Dec 2, 2015",7:00p,REG,Coker,,W,93,73,5,0,W 5,Trask Coliseum,/cbb/schools/north-carolina-wilmington/men/2016.html,,,,,
5,/cbb/boxscores/2015-12-12-georgetown.html,"Sat, Dec 12, 2015",2:30p,REG,Georgetown,Big East,L,82,87,5,1,L 1,Verizon Center,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/georgetown/men/2016.html,/cbb/conferences/big-east/men/2016.html,10.31,@,
6,/cbb/boxscores/2015-12-16-east-carolina.html,"Wed, Dec 16, 2015",7:00p,REG,East Carolina,AAC,L,73,78,5,2,L 2,Williams Arena at Minges Coliseum,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/east-carolina/men/2016.html,/cbb/conferences/aac/men/2016.html,-0.38,@,
7,/cbb/boxscores/2015-12-19-radford.html,"Sat, Dec 19, 2015",4:00p,REG,Radford,Big South,L,67,69,5,3,L 3,Donald N. Dedmon Center,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/radford/men/2016.html,/cbb/conferences/big-south/men/2016.html,-5.17,@,
8,/cbb/boxscores/2015-12-22-north-carolina-wilmington.html,"Tue, Dec 22, 2015",6:15p,REG,Utah Valley,WAC,W,102,77,6,3,W 1,KFC Yum! Center,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/utah-valley/men/2016.html,/cbb/conferences/wac/men/2016.html,-9.58,N,
9,/cbb/boxscores/2015-12-23-north-carolina-wilmington.html,"Wed, Dec 23, 2015",4:15p,REG,Kansas City,WAC,W,76,56,7,3,W 2,KFC Yum! Center,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/missouri-kansas-city/men/2016.html,/cbb/conferences/wac/men/2016.html,-6.31,N,
10,/cbb/boxscores/2015-12-28-north-carolina-wilmington.html,"Mon, Dec 28, 2015",8:00p,REG,Campbell,Big South,W,106,83,8,3,W 3,Trask Coliseum,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/campbell/men/2016.html,/cbb/conferences/big-south/men/2016.html,-11.07,,
11,/cbb/boxscores/2015-12-31-north-carolina-wilmington.html,"Thu, Dec 31, 2015",1:00p,REG,Drexel,CAA,W,75,63,9,3,W 4,Trask Coliseum,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/drexel/men/2016.html,/cbb/conferences/colonial/men/2016.html,-5.42,,
12,/cbb/boxscores/2016-01-02-north-carolina-wilmington.html,"Sat, Jan 2, 2016",6:00p,REG,Northeastern,CAA,L,63,65,9,4,L 1,Trask Coliseum,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/northeastern/men/2016.html,/cbb/conferences/colonial/men/2016.html,1.60,,
13,/cbb/boxscores/2016-01-07-towson.html,"Thu, Jan 7, 2016",7:00p,REG,Towson,CAA,L,60,76,9,5,L 2,SECU Arena,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/towson/men/2016.html,/cbb/conferences/colonial/men/2016.html,-0.06,@,
14,/cbb/boxscores/2016-01-09-delaware.html,"Sat, Jan 9, 2016",7:00p,REG,Delaware,CAA,W,85,67,10,5,W 1,Bob Carpenter Center,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/delaware/men/2016.html,/cbb/conferences/colonial/men/2016.html,-8.62,@,
15,/cbb/boxscores/2016-01-14-elon.html,"Thu, Jan 14, 2016",7:00p,REG,Elon,CAA,W,91,82,11,5,W 2,Alumni Gym,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/elon/men/2016.html,/cbb/conferences/colonial/men/2016.html,-0.67,@,
16,/cbb/boxscores/2016-01-16-north-carolina-wilmington.html,"Sat, Jan 16, 2016",2:00p,REG,William & Mary,CAA,W,97,94,12,5,W 3,Trask Coliseum,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/william-mary/men/2016.html,/cbb/conferences/colonial/men/2016.html,5.57,,OT
17,/cbb/boxscores/2016-01-21-north-carolina-wilmington.html,"Thu, Jan 21, 2016",7:00p,REG,Delaware,CAA,W,79,70,13,5,W 4,Trask Coliseum,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/delaware/men/2016.html,/cbb/conferences/colonial/men/2016.html,-8.62,,
18,/cbb/boxscores/2016-01-24-drexel.html,"Sun, Jan 24, 2016",12:00p,REG,Drexel,CAA,W,77,71,14,5,W 5,Daskalakis Athletic Center,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/drexel/men/2016.html,/cbb/conferences/colonial/men/2016.html,-5.42,@,
19,/cbb/boxscores/2016-01-28-james-madison.html,"Thu, Jan 28, 2016",7:00p,REG,James Madison,CAA,W,78,73,15,5,W 6,JMU Convocation Center,/cbb/schools/north-carolina-wilmington/men/2016.html,/cbb/schools/james-madison/men/2016.html,/cbb/conferences/colonial/men/2016.html,6.17,@,
