,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2015-11-13-notre-dame.html,"Fri, Nov 13, 2015",7:30p,REG,/cbb/schools/saint-francis-pa/men/2016.html,Saint Francis (PA),/cbb/conferences/northeast/men/2016.html,NEC,-12.57,W,87,56,1,0,W 1,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2016.html,,
1,/cbb/boxscores/2015-11-17-notre-dame.html,"Tue, Nov 17, 2015",7:00p,REG,/cbb/schools/milwaukee/men/2016.html,Milwaukee,/cbb/conferences/horizon/men/2016.html,Horizon,2.89,W,86,78,2,0,W 2,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2016.html,,
2,/cbb/boxscores/2015-11-21-notre-dame.html,"Sat, Nov 21, 2015",2:00p,REG,/cbb/schools/massachusetts-lowell/men/2016.html,Massachusetts-Lowell,/cbb/conferences/america-east/men/2016.html,AEC,-13.59,W,83,57,3,0,W 3,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2016.html,,
3,/cbb/boxscores/2015-11-26-monmouth.html,"Thu, Nov 26, 2015",6:30p,REG,/cbb/schools/monmouth/men/2016.html,Monmouth,/cbb/conferences/maac/men/2016.html,MAAC,5.29,L,68,70,3,1,L 1,HP Field House,/cbb/schools/notre-dame/men/2016.html,N,
4,/cbb/boxscores/2015-11-27-notre-dame.html,"Fri, Nov 27, 2015",7:00p,REG,/cbb/schools/iowa/men/2016.html,Iowa,/cbb/conferences/big-ten/men/2016.html,Big Ten,17.01,W,68,62,4,1,W 1,HP Field House,/cbb/schools/notre-dame/men/2016.html,N,
5,/cbb/boxscores/2015-11-29-notre-dame.html,"Sun, Nov 29, 2015",7:00p,REG,/cbb/schools/alabama/men/2016.html,Alabama,/cbb/conferences/sec/men/2016.html,SEC,7.14,L,73,74,4,2,L 1,HP Field House,/cbb/schools/notre-dame/men/2016.html,N,
6,/cbb/boxscores/2015-12-02-illinois.html,"Wed, Dec 2, 2015",9:15p,REG,/cbb/schools/illinois/men/2016.html,Illinois,/cbb/conferences/big-ten/men/2016.html,Big Ten,4.39,W,84,79,5,2,W 1,State Farm Center,/cbb/schools/notre-dame/men/2016.html,@,
7,/cbb/boxscores/2015-12-08-notre-dame.html,"Tue, Dec 8, 2015",9:00p,REG,/cbb/schools/stony-brook/men/2016.html,Stony Brook,/cbb/conferences/america-east/men/2016.html,AEC,3.75,W,86,61,6,2,W 2,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2016.html,,
8,/cbb/boxscores/2015-12-13-notre-dame.html,"Sun, Dec 13, 2015",2:00p,REG,/cbb/schools/loyola-il/men/2016.html,Loyola (IL),/cbb/conferences/mvc/men/2016.html,MVC,-0.70,W,81,61,7,2,W 3,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2016.html,,
9,/cbb/boxscores/2015-12-19-notre-dame.html,"Sat, Dec 19, 2015",2:00p,REG,/cbb/schools/indiana/men/2016.html,Indiana,/cbb/conferences/big-ten/men/2016.html,Big Ten,19.59,L,73,80,7,3,L 1,Bankers Life Fieldhouse,/cbb/schools/notre-dame/men/2016.html,N,
10,/cbb/boxscores/2015-12-21-notre-dame.html,"Mon, Dec 21, 2015",7:00p,REG,/cbb/schools/youngstown-state/men/2016.html,Youngstown State,/cbb/conferences/horizon/men/2016.html,Horizon,-10.86,W,87,78,8,3,W 1,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2016.html,,
11,/cbb/boxscores/2015-12-29-notre-dame.html,"Tue, Dec 29, 2015",5:00p,REG,/cbb/schools/liberty/men/2016.html,Liberty,/cbb/conferences/big-south/men/2016.html,Big South,-10.42,W,73,56,9,3,W 2,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2016.html,,
12,/cbb/boxscores/2016-01-02-virginia.html,"Sat, Jan 2, 2016",5:00p,REG,/cbb/schools/virginia/men/2016.html,Virginia,/cbb/conferences/acc/men/2016.html,ACC,22.04,L,66,77,9,4,L 1,John Paul Jones Arena,/cbb/schools/notre-dame/men/2016.html,@,
13,/cbb/boxscores/2016-01-07-boston-college.html,"Thu, Jan 7, 2016",7:00p,REG,/cbb/schools/boston-college/men/2016.html,Boston College,/cbb/conferences/acc/men/2016.html,ACC,-1.61,W,82,54,10,4,W 1,Silvio O. Conte Forum,/cbb/schools/notre-dame/men/2016.html,@,
14,/cbb/boxscores/2016-01-09-notre-dame.html,"Sat, Jan 9, 2016",4:00p,REG,/cbb/schools/pittsburgh/men/2016.html,Pittsburgh,/cbb/conferences/acc/men/2016.html,ACC,15.47,L,82,86,10,5,L 1,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2016.html,,
15,/cbb/boxscores/2016-01-13-notre-dame.html,"Wed, Jan 13, 2016",9:00p,REG,/cbb/schools/georgia-tech/men/2016.html,Georgia Tech,/cbb/conferences/acc/men/2016.html,ACC,12.51,W,72,64,11,5,W 1,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2016.html,,
16,/cbb/boxscores/2016-01-16-duke.html,"Sat, Jan 16, 2016",2:00p,REG,/cbb/schools/duke/men/2016.html,Duke,/cbb/conferences/acc/men/2016.html,ACC,19.23,W,95,91,12,5,W 2,Cameron Indoor Stadium,/cbb/schools/notre-dame/men/2016.html,@,
17,/cbb/boxscores/2016-01-20-notre-dame.html,"Wed, Jan 20, 2016",7:00p,REG,/cbb/schools/virginia-tech/men/2016.html,Virginia Tech,/cbb/conferences/acc/men/2016.html,ACC,9.93,W,83,81,13,5,W 3,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2016.html,,
18,/cbb/boxscores/2016-01-23-notre-dame.html,"Sat, Jan 23, 2016",12:00p,REG,/cbb/schools/boston-college/men/2016.html,Boston College,/cbb/conferences/acc/men/2016.html,ACC,-1.61,W,76,49,14,5,W 4,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2016.html,,
19,/cbb/boxscores/2016-01-28-syracuse.html,"Thu, Jan 28, 2016",7:00p,REG,/cbb/schools/syracuse/men/2016.html,Syracuse,/cbb/conferences/acc/men/2016.html,ACC,14.62,L,66,81,14,6,L 1,Carrier Dome,/cbb/schools/notre-dame/men/2016.html,@,
20,/cbb/boxscores/2016-01-31-notre-dame.html,"Sun, Jan 31, 2016",1:00p,REG,/cbb/schools/wake-forest/men/2016.html,Wake Forest,/cbb/conferences/acc/men/2016.html,ACC,5.53,W,85,62,15,6,W 1,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2016.html,,
21,/cbb/boxscores/2016-02-03-miami-fl.html,"Wed, Feb 3, 2016",7:00p,REG,/cbb/schools/miami-fl/men/2016.html,Miami (FL),/cbb/conferences/acc/men/2016.html,ACC,18.52,L,70,79,15,7,L 1,BankUnited Center,/cbb/schools/notre-dame/men/2016.html,@,
22,/cbb/boxscores/2016-02-06-notre-dame.html,"Sat, Feb 6, 2016",7:00p,REG,/cbb/schools/north-carolina/men/2016.html,North Carolina,/cbb/conferences/acc/men/2016.html,ACC,23.44,W,80,76,16,7,W 1,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2016.html,,
23,/cbb/boxscores/2016-02-08-clemson.html,"Mon, Feb 8, 2016",9:00p,REG,/cbb/schools/clemson/men/2016.html,Clemson,/cbb/conferences/acc/men/2016.html,ACC,12.03,W,89,83,17,7,W 2,Bon Secours Wellness Arena,/cbb/schools/notre-dame/men/2016.html,@,
24,/cbb/boxscores/2016-02-13-notre-dame.html,"Sat, Feb 13, 2016",4:00p,REG,/cbb/schools/louisville/men/2016.html,Louisville,/cbb/conferences/acc/men/2016.html,ACC,21.57,W,71,66,18,7,W 3,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2016.html,,
25,/cbb/boxscores/2016-02-20-georgia-tech.html,"Sat, Feb 20, 2016",8:00p,REG,/cbb/schools/georgia-tech/men/2016.html,Georgia Tech,/cbb/conferences/acc/men/2016.html,ACC,12.51,L,62,63,18,8,L 1,McCamish Pavilion,/cbb/schools/notre-dame/men/2016.html,@,
26,/cbb/boxscores/2016-02-24-wake-forest.html,"Wed, Feb 24, 2016",9:00p,REG,/cbb/schools/wake-forest/men/2016.html,Wake Forest,/cbb/conferences/acc/men/2016.html,ACC,5.53,W,69,58,19,8,W 1,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/notre-dame/men/2016.html,@,
27,/cbb/boxscores/2016-02-27-florida-state.html,"Sat, Feb 27, 2016",4:00p,REG,/cbb/schools/florida-state/men/2016.html,Florida State,/cbb/conferences/acc/men/2016.html,ACC,12.16,L,56,77,19,9,L 1,Donald L. Tucker Civic Center,/cbb/schools/notre-dame/men/2016.html,@,
28,/cbb/boxscores/2016-03-02-notre-dame.html,"Wed, Mar 2, 2016",7:00p,REG,/cbb/schools/miami-fl/men/2016.html,Miami (FL),/cbb/conferences/acc/men/2016.html,ACC,18.52,L,50,68,19,10,L 2,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2016.html,,
29,/cbb/boxscores/2016-03-05-notre-dame.html,"Sat, Mar 5, 2016",12:00p,REG,/cbb/schools/north-carolina-state/men/2016.html,NC State,/cbb/conferences/acc/men/2016.html,ACC,9.83,W,89,75,20,10,W 1,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2016.html,,
30,/cbb/boxscores/2016-03-10-notre-dame.html,"Thu, Mar 10, 2016",2:00p,CTOURN,/cbb/schools/duke/men/2016.html,Duke,/cbb/conferences/acc/men/2016.html,ACC,19.23,W,84,79,21,10,W 2,Verizon Center,/cbb/schools/notre-dame/men/2016.html,N,OT
31,/cbb/boxscores/2016-03-11-north-carolina.html,"Fri, Mar 11, 2016",7:00p,CTOURN,/cbb/schools/north-carolina/men/2016.html,North Carolina,/cbb/conferences/acc/men/2016.html,ACC,23.44,L,47,78,21,11,L 1,Verizon Center,/cbb/schools/notre-dame/men/2016.html,N,
32,/cbb/boxscores/2016-03-18-notre-dame.html,"Fri, Mar 18, 2016",10:12p,NCAA,/cbb/schools/michigan/men/2016.html,Michigan,/cbb/conferences/big-ten/men/2016.html,Big Ten,13.75,W,70,63,22,11,W 1,Barclays Center,/cbb/schools/notre-dame/men/2016.html,N,
33,/cbb/boxscores/2016-03-20-notre-dame.html,"Sun, Mar 20, 2016",2:40p,NCAA,/cbb/schools/stephen-f-austin/men/2016.html,Stephen F. Austin,/cbb/conferences/southland/men/2016.html,Southland,9.23,W,76,75,23,11,W 2,Barclays Center,/cbb/schools/notre-dame/men/2016.html,N,
34,/cbb/boxscores/2016-03-25-notre-dame.html,"Fri, Mar 25, 2016",7:27p,NCAA,/cbb/schools/wisconsin/men/2016.html,Wisconsin,/cbb/conferences/big-ten/men/2016.html,Big Ten,13.40,W,61,56,24,11,W 3,,/cbb/schools/notre-dame/men/2016.html,N,
35,/cbb/boxscores/2016-03-27-north-carolina.html,"Sun, Mar 27, 2016",8:49p,NCAA,/cbb/schools/north-carolina/men/2016.html,North Carolina,/cbb/conferences/acc/men/2016.html,ACC,23.44,L,74,88,24,12,L 1,,/cbb/schools/notre-dame/men/2016.html,N,
