,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2015-11-13-texas-am.html,"Fri, Nov 13, 2015",9:30p,REG,/cbb/schools/south-carolina-upstate/men/2016.html,South Carolina Upstate,/cbb/conferences/atlantic-sun/men/2016.html,A-Sun,-13.78,W,104,64,1,0,W 1,Reed Arena,/cbb/schools/texas-am/men/2016.html,,
1,/cbb/boxscores/2015-11-16-texas-am.html,"Mon, Nov 16, 2015",8:00p,REG,/cbb/schools/southeastern-louisiana/men/2016.html,Southeastern Louisiana,/cbb/conferences/southland/men/2016.html,Southland,-13.61,W,100,58,2,0,W 2,Reed Arena,/cbb/schools/texas-am/men/2016.html,,
2,/cbb/boxscores/2015-11-19-texas-am.html,"Thu, Nov 19, 2015",8:00p,REG,/cbb/schools/texas-am-corpus-christi/men/2016.html,Texas A&M-Corpus Christi,/cbb/conferences/southland/men/2016.html,Southland,-3.18,W,95,70,3,0,W 3,Reed Arena,/cbb/schools/texas-am/men/2016.html,,
3,/cbb/boxscores/2015-11-21-texas-am.html,"Sat, Nov 21, 2015",4:00p,REG,/cbb/schools/north-carolina-asheville/men/2016.html,UNC Asheville,/cbb/conferences/big-south/men/2016.html,Big South,1.10,W,75,47,4,0,W 4,Reed Arena,/cbb/schools/texas-am/men/2016.html,,
4,/cbb/boxscores/2015-11-25-texas-am.html,"Wed, Nov 25, 2015",7:00p,REG,/cbb/schools/texas/men/2016.html,Texas,/cbb/conferences/big-12/men/2016.html,Big 12,14.80,W,84,73,5,0,W 5,Imperial Arena at Atlantis Resort,/cbb/schools/texas-am/men/2016.html,N,
5,/cbb/boxscores/2015-11-26-gonzaga.html,"Thu, Nov 26, 2015",1:00p,REG,/cbb/schools/gonzaga/men/2016.html,Gonzaga,/cbb/conferences/wcc/men/2016.html,WCC,16.92,W,62,61,6,0,W 6,Imperial Arena at Atlantis Resort,/cbb/schools/texas-am/men/2016.html,N,
6,/cbb/boxscores/2015-11-27-texas-am.html,"Fri, Nov 27, 2015",3:00p,REG,/cbb/schools/syracuse/men/2016.html,Syracuse,/cbb/conferences/acc/men/2016.html,ACC,14.62,L,67,74,6,1,L 1,Imperial Arena at Atlantis Resort,/cbb/schools/texas-am/men/2016.html,N,
7,/cbb/boxscores/2015-12-02-texas-am.html,"Wed, Dec 2, 2015",8:00p,REG,/cbb/schools/florida-gulf-coast/men/2016.html,Florida Gulf Coast,/cbb/conferences/atlantic-sun/men/2016.html,A-Sun,-0.79,W,75,65,7,1,W 1,Reed Arena,/cbb/schools/texas-am/men/2016.html,,
8,/cbb/boxscores/2015-12-05-arizona-state.html,"Sat, Dec 5, 2015",10:30p,REG,/cbb/schools/arizona-state/men/2016.html,Arizona State,/cbb/conferences/pac-12/men/2016.html,Pac-12,8.28,L,54,67,7,2,L 1,Wells Fargo Arena,/cbb/schools/texas-am/men/2016.html,@,
9,/cbb/boxscores/2015-12-12-texas-am.html,"Sat, Dec 12, 2015",5:30p,REG,/cbb/schools/kansas-state/men/2016.html,Kansas State,/cbb/conferences/big-12/men/2016.html,Big 12,12.31,W,78,68,8,2,W 1,Reed Arena,/cbb/schools/texas-am/men/2016.html,,
10,/cbb/boxscores/2015-12-19-texas-am.html,"Sat, Dec 19, 2015",9:00p,REG,/cbb/schools/baylor/men/2016.html,Baylor,/cbb/conferences/big-12/men/2016.html,Big 12,16.13,W,80,61,9,2,W 2,Reed Arena,/cbb/schools/texas-am/men/2016.html,,
11,/cbb/boxscores/2015-12-29-texas-am.html,"Tue, Dec 29, 2015",8:00p,REG,/cbb/schools/cal-poly/men/2016.html,Cal Poly,/cbb/conferences/big-west/men/2016.html,Big West,-3.49,W,82,63,10,2,W 3,Reed Arena,/cbb/schools/texas-am/men/2016.html,,
12,/cbb/boxscores/2016-01-02-texas-am.html,"Sat, Jan 2, 2016",4:30p,REG,/cbb/schools/arkansas/men/2016.html,Arkansas,/cbb/conferences/sec/men/2016.html,SEC,10.23,W,92,69,11,2,W 4,Reed Arena,/cbb/schools/texas-am/men/2016.html,,
13,/cbb/boxscores/2016-01-06-mississippi-state.html,"Wed, Jan 6, 2016",8:30p,REG,/cbb/schools/mississippi-state/men/2016.html,Mississippi State,/cbb/conferences/sec/men/2016.html,SEC,8.18,W,61,60,12,2,W 5,Humphrey Coliseum,/cbb/schools/texas-am/men/2016.html,@,
14,/cbb/boxscores/2016-01-09-tennessee.html,"Sat, Jan 9, 2016",1:00p,REG,/cbb/schools/tennessee/men/2016.html,Tennessee,/cbb/conferences/sec/men/2016.html,SEC,7.80,W,92,88,13,2,W 6,Thompson-Boling Arena,/cbb/schools/texas-am/men/2016.html,@,
15,/cbb/boxscores/2016-01-12-texas-am.html,"Tue, Jan 12, 2016",7:00p,REG,/cbb/schools/florida/men/2016.html,Florida,/cbb/conferences/sec/men/2016.html,SEC,14.69,W,71,68,14,2,W 7,Reed Arena,/cbb/schools/texas-am/men/2016.html,,
