,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2015-11-13-washington.html,"Fri, Nov 13, 2015",10:00p,REG,N,/cbb/schools/washington/men/2016.html,Washington,/cbb/conferences/pac-12/men/2016.html,Pac-12,11.21,L,71,77,0,1,L 1,Mercedes-Benz Arena,/cbb/schools/texas/men/2016.html,
1,/cbb/boxscores/2015-11-21-texas.html,"Sat, Nov 21, 2015",8:00p,REG,,/cbb/schools/texas-am-corpus-christi/men/2016.html,Texas A&M-Corpus Christi,/cbb/conferences/southland/men/2016.html,Southland,-3.18,W,67,56,1,1,W 1,Frank Erwin Center,/cbb/schools/texas/men/2016.html,
2,/cbb/boxscores/2015-11-25-texas-am.html,"Wed, Nov 25, 2015",7:00p,REG,N,/cbb/schools/texas-am/men/2016.html,Texas A&M,/cbb/conferences/sec/men/2016.html,SEC,18.45,L,73,84,1,2,L 1,Imperial Arena at Atlantis Resort,/cbb/schools/texas/men/2016.html,
3,/cbb/boxscores/2015-11-26-texas.html,"Thu, Nov 26, 2015",7:00p,REG,N,/cbb/schools/washington/men/2016.html,Washington,/cbb/conferences/pac-12/men/2016.html,Pac-12,11.21,W,82,70,2,2,W 1,Imperial Arena at Atlantis Resort,/cbb/schools/texas/men/2016.html,
4,/cbb/boxscores/2015-11-27-texas.html,"Fri, Nov 27, 2015",7:00p,REG,N,/cbb/schools/michigan/men/2016.html,Michigan,/cbb/conferences/big-ten/men/2016.html,Big Ten,13.75,L,72,78,2,3,L 1,Imperial Arena at Atlantis Resort,/cbb/schools/texas/men/2016.html,
5,/cbb/boxscores/2015-12-01-texas.html,"Tue, Dec 1, 2015",8:00p,REG,,/cbb/schools/texas-arlington/men/2016.html,UT Arlington,/cbb/conferences/sun-belt/men/2016.html,Sun Belt,5.02,W,80,73,3,3,W 1,Frank Erwin Center,/cbb/schools/texas/men/2016.html,OT
6,/cbb/boxscores/2015-12-04-texas.html,"Fri, Dec 4, 2015",9:00p,REG,,/cbb/schools/samford/men/2016.html,Samford,/cbb/conferences/southern/men/2016.html,Southern,-5.94,W,59,49,4,3,W 2,Frank Erwin Center,/cbb/schools/texas/men/2016.html,
7,/cbb/boxscores/2015-12-08-texas.html,"Tue, Dec 8, 2015",8:00p,REG,,/cbb/schools/texas-san-antonio/men/2016.html,UTSA,/cbb/conferences/cusa/men/2016.html,CUSA,-16.36,W,116,50,5,3,W 3,Frank Erwin Center,/cbb/schools/texas/men/2016.html,
8,/cbb/boxscores/2015-12-12-texas.html,"Sat, Dec 12, 2015",5:15p,REG,,/cbb/schools/north-carolina/men/2016.html,North Carolina,/cbb/conferences/acc/men/2016.html,ACC,23.44,W,84,82,6,3,W 4,Frank Erwin Center,/cbb/schools/texas/men/2016.html,
9,/cbb/boxscores/2015-12-15-texas.html,"Tue, Dec 15, 2015",8:00p,REG,,/cbb/schools/appalachian-state/men/2016.html,Appalachian State,/cbb/conferences/sun-belt/men/2016.html,Sun Belt,-7.91,W,67,55,7,3,W 5,Frank Erwin Center,/cbb/schools/texas/men/2016.html,
