,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2015-11-14-tulsa.html,"Sat, Nov 14, 2015",5:00p,REG,/cbb/schools/central-arkansas/men/2016.html,Central Arkansas,/cbb/conferences/southland/men/2016.html,Southland,-15.17,W,98,81,1,0,W 1,Donald W. Reynolds Center,/cbb/schools/tulsa/men/2016.html,,
1,/cbb/boxscores/2015-11-17-tulsa.html,"Tue, Nov 17, 2015",8:00p,REG,/cbb/schools/wichita-state/men/2016.html,Wichita State,/cbb/conferences/mvc/men/2016.html,MVC,17.39,W,77,67,2,0,W 2,Donald W. Reynolds Center,/cbb/schools/tulsa/men/2016.html,,
2,/cbb/boxscores/2015-11-20-tulsa.html,"Fri, Nov 20, 2015",1:00p,REG,/cbb/schools/ohio/men/2016.html,Ohio,/cbb/conferences/mac/men/2016.html,MAC,1.90,W,90,88,3,0,W 3,Virgin Islands Sport & Fitness Center,/cbb/schools/tulsa/men/2016.html,N,
3,/cbb/boxscores/2015-11-22-indiana-state.html,"Sun, Nov 22, 2015",6:30p,REG,/cbb/schools/indiana-state/men/2016.html,Indiana State,/cbb/conferences/mvc/men/2016.html,MVC,0.04,W,67,59,4,0,W 4,Virgin Islands Sport & Fitness Center,/cbb/schools/tulsa/men/2016.html,N,
4,/cbb/boxscores/2015-11-23-south-carolina.html,"Mon, Nov 23, 2015",9:00p,REG,/cbb/schools/south-carolina/men/2016.html,South Carolina,/cbb/conferences/sec/men/2016.html,SEC,12.01,L,75,83,4,1,L 1,Virgin Islands Sport & Fitness Center,/cbb/schools/tulsa/men/2016.html,N,
5,/cbb/boxscores/2015-11-28-tulsa.html,"Sat, Nov 28, 2015",4:00p,REG,/cbb/schools/arkansas-little-rock/men/2016.html,Little Rock,/cbb/conferences/sun-belt/men/2016.html,Sun Belt,7.12,L,60,64,4,2,L 2,Donald W. Reynolds Center,/cbb/schools/tulsa/men/2016.html,,
6,/cbb/boxscores/2015-12-02-oklahoma-state.html,"Wed, Dec 2, 2015",8:00p,REG,/cbb/schools/oklahoma-state/men/2016.html,Oklahoma State,/cbb/conferences/big-12/men/2016.html,Big 12,8.18,W,66,56,5,2,W 1,Gallagher-Iba Arena,/cbb/schools/tulsa/men/2016.html,@,
7,/cbb/boxscores/2015-12-05-tulsa.html,"Sat, Dec 5, 2015",4:00p,REG,/cbb/schools/oral-roberts/men/2016.html,Oral Roberts,/cbb/conferences/summit/men/2016.html,Summit,-2.69,L,68,70,5,3,L 1,Donald W. Reynolds Center,/cbb/schools/tulsa/men/2016.html,,
8,/cbb/boxscores/2015-12-08-tulsa.html,"Tue, Dec 8, 2015",9:00p,REG,/cbb/schools/iona/men/2016.html,Iona,/cbb/conferences/maac/men/2016.html,MAAC,3.59,W,90,81,6,3,W 1,Donald W. Reynolds Center,/cbb/schools/tulsa/men/2016.html,,
9,/cbb/boxscores/2015-12-13-missouri-state.html,"Sun, Dec 13, 2015",3:00p,REG,/cbb/schools/missouri-state/men/2016.html,Missouri State,/cbb/conferences/mvc/men/2016.html,MVC,-3.52,W,70,61,7,3,W 2,JQH Arena,/cbb/schools/tulsa/men/2016.html,@,
10,/cbb/boxscores/2015-12-19-oregon-state.html,"Sat, Dec 19, 2015",11:00p,REG,/cbb/schools/oregon-state/men/2016.html,Oregon State,/cbb/conferences/pac-12/men/2016.html,Pac-12,10.39,L,71,76,7,4,L 1,Moda Center,/cbb/schools/tulsa/men/2016.html,N,
11,/cbb/boxscores/2015-12-22-tulsa.html,"Tue, Dec 22, 2015",8:00p,REG,/cbb/schools/northern-arizona/men/2016.html,Northern Arizona,/cbb/conferences/big-sky/men/2016.html,Big Sky,-18.29,W,90,55,8,4,W 1,Donald W. Reynolds Center,/cbb/schools/tulsa/men/2016.html,,
12,/cbb/boxscores/2015-12-29-tulsa.html,"Tue, Dec 29, 2015",5:00p,REG,/cbb/schools/southern-methodist/men/2016.html,Southern Methodist,/cbb/conferences/aac/men/2016.html,AAC,18.42,L,69,81,8,5,L 1,Donald W. Reynolds Center,/cbb/schools/tulsa/men/2016.html,,
13,/cbb/boxscores/2016-01-02-cincinnati.html,"Sat, Jan 2, 2016",4:00p,REG,/cbb/schools/cincinnati/men/2016.html,Cincinnati,/cbb/conferences/aac/men/2016.html,AAC,15.19,L,57,76,8,6,L 2,Fifth Third Arena,/cbb/schools/tulsa/men/2016.html,@,
14,/cbb/boxscores/2016-01-05-tulsa.html,"Tue, Jan 5, 2016",7:00p,REG,/cbb/schools/east-carolina/men/2016.html,East Carolina,/cbb/conferences/aac/men/2016.html,AAC,-0.38,W,55,43,9,6,W 1,Donald W. Reynolds Center,/cbb/schools/tulsa/men/2016.html,,
15,/cbb/boxscores/2016-01-10-tulane.html,"Sun, Jan 10, 2016",2:00p,REG,/cbb/schools/tulane/men/2016.html,Tulane,/cbb/conferences/aac/men/2016.html,AAC,-0.85,W,81,67,10,6,W 2,Devlin Fieldhouse,/cbb/schools/tulsa/men/2016.html,@,
16,/cbb/boxscores/2016-01-14-tulsa.html,"Thu, Jan 14, 2016",7:00p,REG,/cbb/schools/connecticut/men/2016.html,Connecticut,/cbb/conferences/aac/men/2016.html,AAC,15.89,W,60,51,11,6,W 3,Donald W. Reynolds Center,/cbb/schools/tulsa/men/2016.html,,
17,/cbb/boxscores/2016-01-19-east-carolina.html,"Tue, Jan 19, 2016",7:00p,REG,/cbb/schools/east-carolina/men/2016.html,East Carolina,/cbb/conferences/aac/men/2016.html,AAC,-0.38,W,84,69,12,6,W 4,Williams Arena at Minges Coliseum,/cbb/schools/tulsa/men/2016.html,@,
18,/cbb/boxscores/2016-01-24-tulsa.html,"Sun, Jan 24, 2016",3:00p,REG,/cbb/schools/central-florida/men/2016.html,UCF,/cbb/conferences/aac/men/2016.html,AAC,0.18,W,75,60,13,6,W 5,Donald W. Reynolds Center,/cbb/schools/tulsa/men/2016.html,,
19,/cbb/boxscores/2016-01-27-houston.html,"Wed, Jan 27, 2016",8:00p,REG,/cbb/schools/houston/men/2016.html,Houston,/cbb/conferences/aac/men/2016.html,AAC,10.30,L,66,81,13,7,L 1,Hofheinz Pavilion,/cbb/schools/tulsa/men/2016.html,@,
20,/cbb/boxscores/2016-01-30-tulsa.html,"Sat, Jan 30, 2016",6:00p,REG,/cbb/schools/tulane/men/2016.html,Tulane,/cbb/conferences/aac/men/2016.html,AAC,-0.85,W,62,48,14,7,W 1,Donald W. Reynolds Center,/cbb/schools/tulsa/men/2016.html,,
21,/cbb/boxscores/2016-02-04-temple.html,"Thu, Feb 4, 2016",7:00p,REG,/cbb/schools/temple/men/2016.html,Temple,/cbb/conferences/aac/men/2016.html,AAC,7.69,L,79,83,14,8,L 1,Liacouras Center,/cbb/schools/tulsa/men/2016.html,@,OT
22,/cbb/boxscores/2016-02-07-tulsa.html,"Sun, Feb 7, 2016",3:00p,REG,/cbb/schools/houston/men/2016.html,Houston,/cbb/conferences/aac/men/2016.html,AAC,10.30,W,77,63,15,8,W 1,Donald W. Reynolds Center,/cbb/schools/tulsa/men/2016.html,,
23,/cbb/boxscores/2016-02-10-southern-methodist.html,"Wed, Feb 10, 2016",9:00p,REG,/cbb/schools/southern-methodist/men/2016.html,Southern Methodist,/cbb/conferences/aac/men/2016.html,AAC,18.42,W,82,77,16,8,W 2,Moody Coliseum,/cbb/schools/tulsa/men/2016.html,@,
