,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2015-11-13-villanova.html,"Fri, Nov 13, 2015",7:00p,REG,/cbb/schools/fairleigh-dickinson/men/2016.html,FDU,/cbb/conferences/northeast/men/2016.html,NEC,-10.90,W,91,54,1,0,W 1,The Pavilion,/cbb/schools/villanova/men/2016.html,,
1,/cbb/boxscores/2015-11-17-villanova.html,"Tue, Nov 17, 2015",8:30p,REG,/cbb/schools/nebraska/men/2016.html,Nebraska,/cbb/conferences/big-ten/men/2016.html,Big Ten,8.84,W,87,63,2,0,W 2,The Pavilion,/cbb/schools/villanova/men/2016.html,,
2,/cbb/boxscores/2015-11-20-villanova.html,"Fri, Nov 20, 2015",7:00p,REG,/cbb/schools/east-tennessee-state/men/2016.html,East Tennessee State,/cbb/conferences/southern/men/2016.html,Southern,-1.49,W,86,51,3,0,W 3,The Pavilion,/cbb/schools/villanova/men/2016.html,,
3,/cbb/boxscores/2015-11-22-villanova.html,"Sun, Nov 22, 2015",4:30p,REG,/cbb/schools/akron/men/2016.html,Akron,/cbb/conferences/mac/men/2016.html,MAC,5.55,W,75,56,4,0,W 4,The Pavilion,/cbb/schools/villanova/men/2016.html,,
4,/cbb/boxscores/2015-11-26-villanova.html,"Thu, Nov 26, 2015",4:30p,REG,/cbb/schools/stanford/men/2016.html,Stanford,/cbb/conferences/pac-12/men/2016.html,Pac-12,8.06,W,59,45,5,0,W 5,Barclays Center,/cbb/schools/villanova/men/2016.html,N,
5,/cbb/boxscores/2015-11-27-villanova.html,"Fri, Nov 27, 2015",3:00p,REG,/cbb/schools/georgia-tech/men/2016.html,Georgia Tech,/cbb/conferences/acc/men/2016.html,ACC,12.51,W,69,52,6,0,W 6,Barclays Center,/cbb/schools/villanova/men/2016.html,N,
6,/cbb/boxscores/2015-12-01-saint-josephs.html,"Tue, Dec 1, 2015",7:00p,REG,/cbb/schools/saint-josephs/men/2016.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2016.html,A-10,12.10,W,86,72,7,0,W 7,Hagan Arena,/cbb/schools/villanova/men/2016.html,@,
7,/cbb/boxscores/2015-12-07-villanova.html,"Mon, Dec 7, 2015",7:00p,REG,/cbb/schools/oklahoma/men/2016.html,Oklahoma,/cbb/conferences/big-12/men/2016.html,Big 12,19.76,L,55,78,7,1,L 1,Bloch Arena,/cbb/schools/villanova/men/2016.html,N,
8,/cbb/boxscores/2015-12-13-villanova.html,"Sun, Dec 13, 2015",5:00p,REG,/cbb/schools/la-salle/men/2016.html,La Salle,/cbb/conferences/atlantic-10/men/2016.html,A-10,-6.09,W,76,47,8,1,W 1,The Pavilion,/cbb/schools/villanova/men/2016.html,,
9,/cbb/boxscores/2015-12-19-virginia.html,"Sat, Dec 19, 2015",12:00p,REG,/cbb/schools/virginia/men/2016.html,Virginia,/cbb/conferences/acc/men/2016.html,ACC,22.04,L,75,86,8,2,L 1,John Paul Jones Arena,/cbb/schools/villanova/men/2016.html,@,
