,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2015-11-13-weber-state.html,"Fri, Nov 13, 2015",9:00p,REG,/cbb/schools/utah-state/men/2016.html,Utah State,/cbb/conferences/mwc/men/2016.html,MWC,2.68,L,70,73,0,1,L 1,Dee Events Center,/cbb/schools/weber-state/men/2016.html,,
1,/cbb/boxscores/2015-11-16-south-dakota-state.html,"Mon, Nov 16, 2015",8:00p,REG,/cbb/schools/south-dakota-state/men/2016.html,South Dakota State,/cbb/conferences/summit/men/2016.html,Summit,5.44,L,68,85,0,2,L 2,Frost Arena,/cbb/schools/weber-state/men/2016.html,@,
2,/cbb/boxscores/2015-11-19-weber-state.html,"Thu, Nov 19, 2015",9:00p,REG,,Antelope Valley,,,,W,90,47,1,2,W 1,Dee Events Center,/cbb/schools/weber-state/men/2016.html,,
3,/cbb/boxscores/2015-11-23-central-michigan.html,"Mon, Nov 23, 2015",8:30p,REG,/cbb/schools/central-michigan/men/2016.html,Central Michigan,/cbb/conferences/mac/men/2016.html,MAC,-0.67,W,63,60,2,2,W 2,Hertz Arena,/cbb/schools/weber-state/men/2016.html,N,
4,/cbb/boxscores/2015-11-24-drake.html,"Tue, Nov 24, 2015",8:30p,REG,/cbb/schools/drake/men/2016.html,Drake,/cbb/conferences/mvc/men/2016.html,MVC,-5.15,W,74,58,3,2,W 3,Hertz Arena,/cbb/schools/weber-state/men/2016.html,N,
5,/cbb/boxscores/2015-11-25-murray-state.html,"Wed, Nov 25, 2015",8:30p,REG,/cbb/schools/murray-state/men/2016.html,Murray State,/cbb/conferences/ovc/men/2016.html,OVC,-1.58,W,75,59,4,2,W 4,Hertz Arena,/cbb/schools/weber-state/men/2016.html,N,
6,/cbb/boxscores/2015-12-01-weber-state.html,"Tue, Dec 1, 2015",9:00p,REG,,Pacific Union,,,,W,95,57,5,2,W 5,Dee Events Center,/cbb/schools/weber-state/men/2016.html,,
7,/cbb/boxscores/2015-12-05-brigham-young.html,"Sat, Dec 5, 2015",3:00p,REG,/cbb/schools/brigham-young/men/2016.html,Brigham Young,/cbb/conferences/wcc/men/2016.html,WCC,12.36,L,68,73,5,3,L 1,Vivint Arena,/cbb/schools/weber-state/men/2016.html,@,
8,/cbb/boxscores/2015-12-09-utah-valley.html,"Wed, Dec 9, 2015",9:00p,REG,/cbb/schools/utah-valley/men/2016.html,Utah Valley,/cbb/conferences/wac/men/2016.html,WAC,-9.58,L,81,84,5,4,L 2,UCCU Center,/cbb/schools/weber-state/men/2016.html,@,2OT
9,/cbb/boxscores/2015-12-13-denver.html,"Sun, Dec 13, 2015",2:00p,REG,/cbb/schools/denver/men/2016.html,Denver,/cbb/conferences/summit/men/2016.html,Summit,-3.34,L,68,69,5,5,L 3,Magness Arena,/cbb/schools/weber-state/men/2016.html,@,
10,/cbb/boxscores/2015-12-18-portland.html,"Fri, Dec 18, 2015",8:30p,REG,/cbb/schools/portland/men/2016.html,Portland,/cbb/conferences/wcc/men/2016.html,WCC,-2.21,W,92,82,6,5,W 1,Moda Center,/cbb/schools/weber-state/men/2016.html,N,OT
11,/cbb/boxscores/2015-12-22-weber-state.html,"Tue, Dec 22, 2015",9:00p,REG,/cbb/schools/south-dakota-state/men/2016.html,South Dakota State,/cbb/conferences/summit/men/2016.html,Summit,5.44,W,99,95,7,5,W 2,Dee Events Center,/cbb/schools/weber-state/men/2016.html,,
12,/cbb/boxscores/2015-12-28-weber-state.html,"Mon, Dec 28, 2015",9:00p,REG,,Multnomah,,,,W,114,47,8,5,W 3,Dee Events Center,/cbb/schools/weber-state/men/2016.html,,
13,/cbb/boxscores/2016-01-02-weber-state.html,"Sat, Jan 2, 2016",9:00p,REG,/cbb/schools/idaho-state/men/2016.html,Idaho State,/cbb/conferences/big-sky/men/2016.html,Big Sky,-9.83,W,77,56,9,5,W 4,Dee Events Center,/cbb/schools/weber-state/men/2016.html,,
14,/cbb/boxscores/2016-01-07-weber-state.html,"Thu, Jan 7, 2016",9:00p,REG,/cbb/schools/north-dakota/men/2016.html,North Dakota,/cbb/conferences/big-sky/men/2016.html,Big Sky,-3.68,W,74,62,10,5,W 5,Dee Events Center,/cbb/schools/weber-state/men/2016.html,,
15,/cbb/boxscores/2016-01-09-weber-state.html,"Sat, Jan 9, 2016",9:00p,REG,/cbb/schools/northern-colorado/men/2016.html,Northern Colorado,/cbb/conferences/big-sky/men/2016.html,Big Sky,-12.22,W,85,68,11,5,W 6,Dee Events Center,/cbb/schools/weber-state/men/2016.html,,
16,/cbb/boxscores/2016-01-14-portland-state.html,"Thu, Jan 14, 2016",10:05p,REG,/cbb/schools/portland-state/men/2016.html,Portland State,/cbb/conferences/big-sky/men/2016.html,Big Sky,-8.15,W,73,58,12,5,W 7,Peter W. Stott Center,/cbb/schools/weber-state/men/2016.html,@,
17,/cbb/boxscores/2016-01-16-sacramento-state.html,"Sat, Jan 16, 2016",10:05p,REG,/cbb/schools/sacramento-state/men/2016.html,Sacramento State,/cbb/conferences/big-sky/men/2016.html,Big Sky,-8.63,W,85,74,13,5,W 8,The Nest,/cbb/schools/weber-state/men/2016.html,@,
18,/cbb/boxscores/2016-01-23-idaho-state.html,"Sat, Jan 23, 2016",9:00p,REG,/cbb/schools/idaho-state/men/2016.html,Idaho State,/cbb/conferences/big-sky/men/2016.html,Big Sky,-9.83,L,68,69,13,6,L 1,Holt Arena,/cbb/schools/weber-state/men/2016.html,@,
19,/cbb/boxscores/2016-01-28-weber-state.html,"Thu, Jan 28, 2016",9:00p,REG,/cbb/schools/northern-arizona/men/2016.html,Northern Arizona,/cbb/conferences/big-sky/men/2016.html,Big Sky,-18.29,W,76,66,14,6,W 1,Dee Events Center,/cbb/schools/weber-state/men/2016.html,,
20,/cbb/boxscores/2016-01-30-weber-state.html,"Sat, Jan 30, 2016",9:00p,REG,/cbb/schools/southern-utah/men/2016.html,Southern Utah,/cbb/conferences/big-sky/men/2016.html,Big Sky,-17.36,W,77,50,15,6,W 2,Dee Events Center,/cbb/schools/weber-state/men/2016.html,,
21,/cbb/boxscores/2016-02-04-northern-colorado.html,"Thu, Feb 4, 2016",9:00p,REG,/cbb/schools/northern-colorado/men/2016.html,Northern Colorado,/cbb/conferences/big-sky/men/2016.html,Big Sky,-12.22,W,64,54,16,6,W 3,Bank of Colorado Arena,/cbb/schools/weber-state/men/2016.html,@,
22,/cbb/boxscores/2016-02-06-north-dakota.html,"Sat, Feb 6, 2016",3:00p,REG,/cbb/schools/north-dakota/men/2016.html,North Dakota,/cbb/conferences/big-sky/men/2016.html,Big Sky,-3.68,L,71,78,16,7,L 1,Betty Engelstad Sioux Center,/cbb/schools/weber-state/men/2016.html,@,
23,/cbb/boxscores/2016-02-11-weber-state.html,"Thu, Feb 11, 2016",9:05p,REG,/cbb/schools/sacramento-state/men/2016.html,Sacramento State,/cbb/conferences/big-sky/men/2016.html,Big Sky,-8.63,W,63,50,17,7,W 1,Dee Events Center,/cbb/schools/weber-state/men/2016.html,,
24,/cbb/boxscores/2016-02-13-weber-state.html,"Sat, Feb 13, 2016",9:00p,REG,/cbb/schools/portland-state/men/2016.html,Portland State,/cbb/conferences/big-sky/men/2016.html,Big Sky,-8.15,W,87,78,18,7,W 2,Dee Events Center,/cbb/schools/weber-state/men/2016.html,,
25,/cbb/boxscores/2016-02-18-southern-utah.html,"Thu, Feb 18, 2016",9:00p,REG,/cbb/schools/southern-utah/men/2016.html,Southern Utah,/cbb/conferences/big-sky/men/2016.html,Big Sky,-17.36,W,87,83,19,7,W 3,Centrum Arena,/cbb/schools/weber-state/men/2016.html,@,
26,/cbb/boxscores/2016-02-20-northern-arizona.html,"Sat, Feb 20, 2016",6:00p,REG,/cbb/schools/northern-arizona/men/2016.html,Northern Arizona,/cbb/conferences/big-sky/men/2016.html,Big Sky,-18.29,W,77,74,20,7,W 4,Walkup Skydome,/cbb/schools/weber-state/men/2016.html,@,
27,/cbb/boxscores/2016-02-25-weber-state.html,"Thu, Feb 25, 2016",9:05p,REG,/cbb/schools/montana-state/men/2016.html,Montana State,/cbb/conferences/big-sky/men/2016.html,Big Sky,-6.91,W,68,60,21,7,W 5,Dee Events Center,/cbb/schools/weber-state/men/2016.html,,
28,/cbb/boxscores/2016-02-27-weber-state.html,"Sat, Feb 27, 2016",9:00p,REG,/cbb/schools/montana/men/2016.html,Montana,/cbb/conferences/big-sky/men/2016.html,Big Sky,-0.72,W,60,54,22,7,W 6,Dee Events Center,/cbb/schools/weber-state/men/2016.html,,
29,/cbb/boxscores/2016-03-03-idaho.html,"Thu, Mar 3, 2016",10:00p,REG,/cbb/schools/idaho/men/2016.html,Idaho,/cbb/conferences/big-sky/men/2016.html,Big Sky,-5.19,L,58,62,22,8,L 1,Cowan Spectrum,/cbb/schools/weber-state/men/2016.html,@,
30,/cbb/boxscores/2016-03-05-eastern-washington.html,"Sat, Mar 5, 2016",5:05p,REG,/cbb/schools/eastern-washington/men/2016.html,Eastern Washington,/cbb/conferences/big-sky/men/2016.html,Big Sky,-4.47,W,79,77,23,8,W 1,Reese Court,/cbb/schools/weber-state/men/2016.html,@,
31,/cbb/boxscores/2016-03-10-weber-state.html,"Thu, Mar 10, 2016",3:00p,CTOURN,/cbb/schools/portland-state/men/2016.html,Portland State,/cbb/conferences/big-sky/men/2016.html,Big Sky,-8.15,W,78,74,24,8,W 2,,/cbb/schools/weber-state/men/2016.html,N,
32,/cbb/boxscores/2016-03-11-weber-state.html,"Fri, Mar 11, 2016",8:30p,CTOURN,/cbb/schools/north-dakota/men/2016.html,North Dakota,/cbb/conferences/big-sky/men/2016.html,Big Sky,-3.68,W,83,78,25,8,W 3,,/cbb/schools/weber-state/men/2016.html,N,OT
33,/cbb/boxscores/2016-03-12-weber-state.html,"Sat, Mar 12, 2016",8:45p,CTOURN,/cbb/schools/montana/men/2016.html,Montana,/cbb/conferences/big-sky/men/2016.html,Big Sky,-0.72,W,62,59,26,8,W 4,,/cbb/schools/weber-state/men/2016.html,N,
34,/cbb/boxscores/2016-03-18-xavier.html,"Fri, Mar 18, 2016",9:20p,NCAA,/cbb/schools/xavier/men/2016.html,Xavier,/cbb/conferences/big-east/men/2016.html,Big East,18.58,L,53,71,26,9,L 1,Scottrade Center,/cbb/schools/weber-state/men/2016.html,N,
