,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2015-11-13-west-virginia.html,"Fri, Nov 13, 2015",7:00p,REG,/cbb/schools/northern-kentucky/men/2016.html,Northern Kentucky,/cbb/conferences/horizon/men/2016.html,Horizon,-6.87,W,107,61,1,0,W 1,WVU Coliseum,/cbb/schools/west-virginia/men/2016.html,,
1,/cbb/boxscores/2015-11-16-west-virginia.html,"Mon, Nov 16, 2015",7:00p,REG,/cbb/schools/james-madison/men/2016.html,James Madison,/cbb/conferences/colonial/men/2016.html,CAA,6.17,W,86,73,2,0,W 2,Charleston Civic Center,/cbb/schools/west-virginia/men/2016.html,N,
2,/cbb/boxscores/2015-11-20-west-virginia.html,"Fri, Nov 20, 2015",7:00p,REG,/cbb/schools/stetson/men/2016.html,Stetson,/cbb/conferences/atlantic-sun/men/2016.html,A-Sun,-10.78,W,103,62,3,0,W 3,WVU Coliseum,/cbb/schools/west-virginia/men/2016.html,,
3,/cbb/boxscores/2015-11-23-west-virginia.html,"Mon, Nov 23, 2015",7:00p,REG,/cbb/schools/bethune-cookman/men/2016.html,Bethune-Cookman,/cbb/conferences/meac/men/2016.html,MEAC,-14.35,W,97,44,4,0,W 4,WVU Coliseum,/cbb/schools/west-virginia/men/2016.html,,
4,/cbb/boxscores/2015-11-26-west-virginia.html,"Thu, Nov 26, 2015",5:00p,REG,/cbb/schools/richmond/men/2016.html,Richmond,/cbb/conferences/atlantic-10/men/2016.html,A-10,7.28,W,67,59,5,0,W 5,Orleans Arena,/cbb/schools/west-virginia/men/2016.html,N,
5,/cbb/boxscores/2015-11-27-san-diego-state.html,"Fri, Nov 27, 2015",10:30p,REG,/cbb/schools/san-diego-state/men/2016.html,San Diego State,/cbb/conferences/mwc/men/2016.html,MWC,11.89,W,72,50,6,0,W 6,Orleans Arena,/cbb/schools/west-virginia/men/2016.html,N,
6,/cbb/boxscores/2015-12-05-west-virginia.html,"Sat, Dec 5, 2015",12:30p,REG,/cbb/schools/kennesaw-state/men/2016.html,Kennesaw State,/cbb/conferences/atlantic-sun/men/2016.html,A-Sun,-8.58,W,87,54,7,0,W 7,WVU Coliseum,/cbb/schools/west-virginia/men/2016.html,,
7,/cbb/boxscores/2015-12-08-virginia.html,"Tue, Dec 8, 2015",7:00p,REG,/cbb/schools/virginia/men/2016.html,Virginia,/cbb/conferences/acc/men/2016.html,ACC,22.04,L,54,70,7,1,L 1,Madison Square Garden (IV),/cbb/schools/west-virginia/men/2016.html,N,
8,/cbb/boxscores/2015-12-13-west-virginia.html,"Sun, Dec 13, 2015",5:00p,REG,/cbb/schools/louisiana-monroe/men/2016.html,Louisiana-Monroe,/cbb/conferences/sun-belt/men/2016.html,Sun Belt,-0.18,W,100,58,8,1,W 1,WVU Coliseum,/cbb/schools/west-virginia/men/2016.html,,
9,/cbb/boxscores/2015-12-17-west-virginia.html,"Thu, Dec 17, 2015",7:00p,REG,/cbb/schools/marshall/men/2016.html,Marshall,/cbb/conferences/cusa/men/2016.html,CUSA,0.83,W,86,68,9,1,W 2,Charleston Civic Center,/cbb/schools/west-virginia/men/2016.html,N,
10,/cbb/boxscores/2015-12-21-west-virginia.html,"Mon, Dec 21, 2015",7:00p,REG,/cbb/schools/eastern-kentucky/men/2016.html,Eastern Kentucky,/cbb/conferences/ovc/men/2016.html,OVC,-3.53,W,84,59,10,1,W 3,WVU Coliseum,/cbb/schools/west-virginia/men/2016.html,,
11,/cbb/boxscores/2015-12-30-virginia-tech.html,"Wed, Dec 30, 2015",12:00p,REG,/cbb/schools/virginia-tech/men/2016.html,Virginia Tech,/cbb/conferences/acc/men/2016.html,ACC,9.93,W,88,63,11,1,W 4,Cassell Coliseum,/cbb/schools/west-virginia/men/2016.html,@,
12,/cbb/boxscores/2016-01-02-kansas-state.html,"Sat, Jan 2, 2016",12:00p,REG,/cbb/schools/kansas-state/men/2016.html,Kansas State,/cbb/conferences/big-12/men/2016.html,Big 12,12.31,W,87,83,12,1,W 5,Bramlage Coliseum,/cbb/schools/west-virginia/men/2016.html,@,2OT
