,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2015-11-13-xavier.html,"Fri, Nov 13, 2015",7:00p,REG,/cbb/schools/miami-oh/men/2016.html,Miami (OH),/cbb/conferences/mac/men/2016.html,MAC,-5.91,W,81,72,1,0,W 1,Cintas Center,/cbb/schools/xavier/men/2016.html,
1,/cbb/boxscores/2015-11-17-xavier.html,"Tue, Nov 17, 2015",6:30p,REG,/cbb/schools/missouri/men/2016.html,Missouri,/cbb/conferences/sec/men/2016.html,SEC,2.50,W,78,66,2,0,W 2,Cintas Center,/cbb/schools/xavier/men/2016.html,
2,/cbb/boxscores/2015-11-20-michigan.html,"Fri, Nov 20, 2015",9:00p,REG,/cbb/schools/michigan/men/2016.html,Michigan,/cbb/conferences/big-ten/men/2016.html,Big Ten,13.75,W,86,70,3,0,W 3,Crisler Center,/cbb/schools/xavier/men/2016.html,@
3,/cbb/boxscores/2015-11-23-xavier.html,"Mon, Nov 23, 2015",8:45p,REG,/cbb/schools/northern-kentucky/men/2016.html,Northern Kentucky,/cbb/conferences/horizon/men/2016.html,Horizon,-6.87,W,78,66,4,0,W 4,Cintas Center,/cbb/schools/xavier/men/2016.html,
4,/cbb/boxscores/2015-11-26-xavier.html,"Thu, Nov 26, 2015",12:00p,REG,/cbb/schools/alabama/men/2016.html,Alabama,/cbb/conferences/sec/men/2016.html,SEC,7.14,W,64,45,5,0,W 5,HP Field House,/cbb/schools/xavier/men/2016.html,N
5,/cbb/boxscores/2015-11-27-xavier.html,"Fri, Nov 27, 2015",2:30p,REG,/cbb/schools/southern-california/men/2016.html,Southern California,/cbb/conferences/pac-12/men/2016.html,Pac-12,13.52,W,87,77,6,0,W 6,HP Field House,/cbb/schools/xavier/men/2016.html,N
6,/cbb/boxscores/2015-11-29-dayton.html,"Sun, Nov 29, 2015",4:30p,REG,/cbb/schools/dayton/men/2016.html,Dayton,/cbb/conferences/atlantic-10/men/2016.html,A-10,11.34,W,90,61,7,0,W 7,HP Field House,/cbb/schools/xavier/men/2016.html,N
7,/cbb/boxscores/2015-12-05-xavier.html,"Sat, Dec 5, 2015",8:30p,REG,/cbb/schools/western-kentucky/men/2016.html,Western Kentucky,/cbb/conferences/cusa/men/2016.html,CUSA,-1.29,W,95,64,8,0,W 8,Cintas Center,/cbb/schools/xavier/men/2016.html,
8,/cbb/boxscores/2015-12-08-xavier.html,"Tue, Dec 8, 2015",7:00p,REG,/cbb/schools/wright-state/men/2016.html,Wright State,/cbb/conferences/horizon/men/2016.html,Horizon,0.18,W,90,55,9,0,W 9,Cintas Center,/cbb/schools/xavier/men/2016.html,
9,/cbb/boxscores/2015-12-12-xavier.html,"Sat, Dec 12, 2015",5:30p,REG,/cbb/schools/cincinnati/men/2016.html,Cincinnati,/cbb/conferences/aac/men/2016.html,AAC,15.19,W,65,55,10,0,W 10,Cintas Center,/cbb/schools/xavier/men/2016.html,
