,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2015-11-13-yale.html,"Fri, Nov 13, 2015",3:00p,REG,N,/cbb/schools/fairfield/men/2016.html,Fairfield,/cbb/conferences/maac/men/2016.html,MAAC,-3.84,W,70,57,1,0,W 1,Detrick Gymnasium,/cbb/schools/yale/men/2016.html,
1,/cbb/boxscores/2015-11-16-yale.html,"Mon, Nov 16, 2015",7:00p,REG,,/cbb/schools/sacred-heart/men/2016.html,Sacred Heart,/cbb/conferences/northeast/men/2016.html,NEC,-13.01,W,99,77,2,0,W 2,John J. Lee Amphitheater,/cbb/schools/yale/men/2016.html,
2,/cbb/boxscores/2015-11-19-lehigh.html,"Thu, Nov 19, 2015",7:00p,REG,@,/cbb/schools/lehigh/men/2016.html,Lehigh,/cbb/conferences/patriot/men/2016.html,Patriot,-4.42,W,79,67,3,0,W 3,Stabler Arena,/cbb/schools/yale/men/2016.html,
3,/cbb/boxscores/2015-11-22-southern-methodist.html,"Sun, Nov 22, 2015",4:30p,REG,@,/cbb/schools/southern-methodist/men/2016.html,Southern Methodist,/cbb/conferences/aac/men/2016.html,AAC,18.42,L,69,71,3,1,L 1,Moody Coliseum,/cbb/schools/yale/men/2016.html,
4,/cbb/boxscores/2015-11-25-duke.html,"Wed, Nov 25, 2015",7:00p,REG,@,/cbb/schools/duke/men/2016.html,Duke,/cbb/conferences/acc/men/2016.html,ACC,19.23,L,61,80,3,2,L 2,Cameron Indoor Stadium,/cbb/schools/yale/men/2016.html,
5,/cbb/boxscores/2015-11-29-albany-ny.html,"Sun, Nov 29, 2015",2:00p,REG,@,/cbb/schools/albany-ny/men/2016.html,Albany (NY),/cbb/conferences/america-east/men/2016.html,AEC,0.93,L,54,88,3,3,L 3,SEFCU Arena,/cbb/schools/yale/men/2016.html,
6,/cbb/boxscores/2015-12-02-yale.html,"Wed, Dec 2, 2015",7:00p,REG,,/cbb/schools/bryant/men/2016.html,Bryant,/cbb/conferences/northeast/men/2016.html,NEC,-18.58,W,79,40,4,3,W 1,John J. Lee Amphitheater,/cbb/schools/yale/men/2016.html,
7,/cbb/boxscores/2015-12-05-yale.html,"Sat, Dec 5, 2015",2:00p,REG,,/cbb/schools/vermont/men/2016.html,Vermont,/cbb/conferences/america-east/men/2016.html,AEC,-1.51,W,72,54,5,3,W 2,John J. Lee Amphitheater,/cbb/schools/yale/men/2016.html,
8,/cbb/boxscores/2015-12-09-illinois.html,"Wed, Dec 9, 2015",8:00p,REG,@,/cbb/schools/illinois/men/2016.html,Illinois,/cbb/conferences/big-ten/men/2016.html,Big Ten,4.39,L,65,69,5,4,L 1,State Farm Center,/cbb/schools/yale/men/2016.html,
9,/cbb/boxscores/2015-12-13-southern-california.html,"Sun, Dec 13, 2015",4:00p,REG,@,/cbb/schools/southern-california/men/2016.html,Southern California,/cbb/conferences/pac-12/men/2016.html,Pac-12,13.52,L,56,68,5,5,L 2,Galen Center,/cbb/schools/yale/men/2016.html,
10,/cbb/boxscores/2015-12-30-central-connecticut-state.html,"Wed, Dec 30, 2015",7:00p,REG,@,/cbb/schools/central-connecticut-state/men/2016.html,Central Connecticut State,/cbb/conferences/northeast/men/2016.html,NEC,-22.35,W,62,42,6,5,W 1,Detrick Gymnasium,/cbb/schools/yale/men/2016.html,
11,/cbb/boxscores/2016-01-02-hartford.html,"Sat, Jan 2, 2016",7:00p,REG,@,/cbb/schools/hartford/men/2016.html,Hartford,/cbb/conferences/america-east/men/2016.html,AEC,-14.29,W,88,53,7,5,W 2,Chase Family Arena at Reich Family Pavilion,/cbb/schools/yale/men/2016.html,
12,/cbb/boxscores/2016-01-06-yale.html,"Wed, Jan 6, 2016",7:00p,REG,,/cbb/schools/njit/men/2016.html,NJIT,/cbb/conferences/atlantic-sun/men/2016.html,A-Sun,-4.17,W,83,65,8,5,W 3,John J. Lee Amphitheater,/cbb/schools/yale/men/2016.html,
13,/cbb/boxscores/2016-01-08-yale.html,"Fri, Jan 8, 2016",7:00p,REG,,,Daniel Webster,,,,W,94,53,9,5,W 4,John J. Lee Amphitheater,/cbb/schools/yale/men/2016.html,
14,/cbb/boxscores/2016-01-16-yale.html,"Sat, Jan 16, 2016",5:00p,REG,,/cbb/schools/brown/men/2016.html,Brown,/cbb/conferences/ivy/men/2016.html,Ivy,-8.05,W,77,68,10,5,W 5,John J. Lee Amphitheater,/cbb/schools/yale/men/2016.html,
15,/cbb/boxscores/2016-01-22-brown.html,"Fri, Jan 22, 2016",8:00p,REG,@,/cbb/schools/brown/men/2016.html,Brown,/cbb/conferences/ivy/men/2016.html,Ivy,-8.05,W,90,66,11,5,W 6,Pizzitola Sports Center,/cbb/schools/yale/men/2016.html,
