,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2016-11-11-michigan-state.html,"Fri, Nov 11, 2016",7:00p,REG,N,/cbb/schools/michigan-state/men/2017.html,Michigan State,/cbb/conferences/big-ten/men/2017.html,Big Ten,13.67,W,65,63,1,0,W 1,Stan Sheriff Center,/cbb/schools/arizona/men/2017.html
1,/cbb/boxscores/2016-11-15-arizona.html,"Tue, Nov 15, 2016",10:00p,REG,,/cbb/schools/cal-state-bakersfield/men/2017.html,Cal State Bakersfield,/cbb/conferences/wac/men/2017.html,WAC,3.21,W,78,66,2,0,W 2,McKale Center,/cbb/schools/arizona/men/2017.html
2,/cbb/boxscores/2016-11-18-arizona.html,"Fri, Nov 18, 2016",10:00p,REG,,/cbb/schools/sacred-heart/men/2017.html,Sacred Heart,/cbb/conferences/northeast/men/2017.html,NEC,-10.95,W,95,65,3,0,W 3,McKale Center,/cbb/schools/arizona/men/2017.html
3,/cbb/boxscores/2016-11-21-arizona.html,"Mon, Nov 21, 2016",9:00p,REG,,/cbb/schools/northern-colorado/men/2017.html,Northern Colorado,/cbb/conferences/big-sky/men/2017.html,Big Sky,-9.27,W,71,55,4,0,W 4,McKale Center,/cbb/schools/arizona/men/2017.html
4,/cbb/boxscores/2016-11-24-arizona.html,"Thu, Nov 24, 2016",10:30p,REG,N,/cbb/schools/santa-clara/men/2017.html,Santa Clara,/cbb/conferences/wcc/men/2017.html,WCC,2.69,W,69,61,5,0,W 5,Orleans Arena,/cbb/schools/arizona/men/2017.html
5,/cbb/boxscores/2016-11-25-arizona.html,"Fri, Nov 25, 2016",10:30p,REG,N,/cbb/schools/butler/men/2017.html,Butler,/cbb/conferences/big-east/men/2017.html,Big East,17.70,L,65,69,5,1,L 1,Orleans Arena,/cbb/schools/arizona/men/2017.html
6,/cbb/boxscores/2016-11-30-arizona.html,"Wed, Nov 30, 2016",9:00p,REG,,/cbb/schools/texas-southern/men/2017.html,Texas Southern,/cbb/conferences/swac/men/2017.html,SWAC,-6.41,W,85,63,6,1,W 1,McKale Center,/cbb/schools/arizona/men/2017.html
7,/cbb/boxscores/2016-12-03-arizona.html,"Sat, Dec 3, 2016",5:30p,REG,N,/cbb/schools/gonzaga/men/2017.html,Gonzaga,/cbb/conferences/wcc/men/2017.html,WCC,25.26,L,62,69,6,2,L 1,Staples Center,/cbb/schools/arizona/men/2017.html
8,/cbb/boxscores/2016-12-06-arizona.html,"Tue, Dec 6, 2016",10:00p,REG,,/cbb/schools/california-irvine/men/2017.html,UC Irvine,/cbb/conferences/big-west/men/2017.html,Big West,0.18,W,79,57,7,2,W 1,McKale Center,/cbb/schools/arizona/men/2017.html
9,/cbb/boxscores/2016-12-10-missouri.html,"Sat, Dec 10, 2016",12:00p,REG,@,/cbb/schools/missouri/men/2017.html,Missouri,/cbb/conferences/sec/men/2017.html,SEC,2.98,W,79,60,8,2,W 2,Mizzou Arena,/cbb/schools/arizona/men/2017.html
