,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2016-11-11-arkansas.html,"Fri, Nov 11, 2016",8:00p,REG,/cbb/schools/ipfw/men/2017.html,Purdue Fort Wayne,/cbb/conferences/summit/men/2017.html,Summit,0.38,W,92,83,1,0,W 1,Bud Walton Arena,/cbb/schools/arkansas/men/2017.html,
1,/cbb/boxscores/2016-11-14-arkansas.html,"Mon, Nov 14, 2016",8:00p,REG,/cbb/schools/southern-illinois/men/2017.html,Southern Illinois,/cbb/conferences/mvc/men/2017.html,MVC,1.09,W,90,65,2,0,W 2,Bud Walton Arena,/cbb/schools/arkansas/men/2017.html,
2,/cbb/boxscores/2016-11-18-arkansas.html,"Fri, Nov 18, 2016",8:00p,REG,/cbb/schools/texas-arlington/men/2017.html,UT Arlington,/cbb/conferences/sun-belt/men/2017.html,Sun Belt,5.92,W,71,67,3,0,W 3,Bud Walton Arena,/cbb/schools/arkansas/men/2017.html,
3,/cbb/boxscores/2016-11-22-minnesota.html,"Tue, Nov 22, 2016",8:00p,REG,/cbb/schools/minnesota/men/2017.html,Minnesota,/cbb/conferences/big-ten/men/2017.html,Big Ten,14.56,L,71,85,3,1,L 1,Williams Arena,/cbb/schools/arkansas/men/2017.html,@
4,/cbb/boxscores/2016-11-28-arkansas.html,"Mon, Nov 28, 2016",8:00p,REG,/cbb/schools/mount-st-marys/men/2017.html,Mount St. Mary's,/cbb/conferences/northeast/men/2017.html,NEC,-4.29,W,89,76,4,1,W 1,Bud Walton Arena,/cbb/schools/arkansas/men/2017.html,
5,/cbb/boxscores/2016-12-01-arkansas.html,"Thu, Dec 1, 2016",9:00p,REG,/cbb/schools/stephen-f-austin/men/2017.html,Stephen F. Austin,/cbb/conferences/southland/men/2017.html,Southland,-7.01,W,78,62,5,1,W 2,Bud Walton Arena,/cbb/schools/arkansas/men/2017.html,
6,/cbb/boxscores/2016-12-03-arkansas.html,"Sat, Dec 3, 2016",8:00p,REG,/cbb/schools/austin-peay/men/2017.html,Austin Peay,/cbb/conferences/ovc/men/2017.html,OVC,-11.00,W,99,62,6,1,W 3,Bud Walton Arena,/cbb/schools/arkansas/men/2017.html,
7,/cbb/boxscores/2016-12-06-arkansas.html,"Tue, Dec 6, 2016",7:00p,REG,/cbb/schools/houston/men/2017.html,Houston,/cbb/conferences/aac/men/2017.html,AAC,12.20,W,84,72,7,1,W 4,Bud Walton Arena,/cbb/schools/arkansas/men/2017.html,
8,/cbb/boxscores/2016-12-10-arkansas.html,"Sat, Dec 10, 2016",5:30p,REG,/cbb/schools/north-florida/men/2017.html,North Florida,/cbb/conferences/atlantic-sun/men/2017.html,A-Sun,-7.78,W,91,76,8,1,W 5,Bud Walton Arena,/cbb/schools/arkansas/men/2017.html,
9,/cbb/boxscores/2016-12-17-texas.html,"Sat, Dec 17, 2016",2:30p,REG,/cbb/schools/texas/men/2017.html,Texas,/cbb/conferences/big-12/men/2017.html,Big 12,10.99,W,77,74,9,1,W 6,Toyota Center,/cbb/schools/arkansas/men/2017.html,N
