,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2016-11-11-baylor.html,"Fri, Nov 11, 2016",7:00p,REG,/cbb/schools/oral-roberts/men/2017.html,Oral Roberts,/cbb/conferences/summit/men/2017.html,Summit,-5.51,W,76,61,1,0,W 1,Ferrell Center,/cbb/schools/baylor/men/2017.html,
1,/cbb/boxscores/2016-11-15-baylor.html,"Tue, Nov 15, 2016",3:30p,REG,/cbb/schools/oregon/men/2017.html,Oregon,/cbb/conferences/pac-12/men/2017.html,Pac-12,20.80,W,66,49,2,0,W 2,Ferrell Center,/cbb/schools/baylor/men/2017.html,
2,/cbb/boxscores/2016-11-18-baylor.html,"Fri, Nov 18, 2016",8:00p,REG,/cbb/schools/florida-gulf-coast/men/2017.html,Florida Gulf Coast,/cbb/conferences/atlantic-sun/men/2017.html,A-Sun,2.26,W,81,72,3,0,W 3,Ferrell Center,/cbb/schools/baylor/men/2017.html,
3,/cbb/boxscores/2016-11-23-virginia-commonwealth.html,"Wed, Nov 23, 2016",2:30p,REG,/cbb/schools/virginia-commonwealth/men/2017.html,Virginia Commonwealth,/cbb/conferences/atlantic-10/men/2017.html,A-10,11.57,W,71,63,4,0,W 4,Imperial Arena at Atlantis Resort,/cbb/schools/baylor/men/2017.html,N
4,/cbb/boxscores/2016-11-24-baylor.html,"Thu, Nov 24, 2016",12:00p,REG,/cbb/schools/michigan-state/men/2017.html,Michigan State,/cbb/conferences/big-ten/men/2017.html,Big Ten,13.67,W,73,58,5,0,W 5,Imperial Arena at Atlantis Resort,/cbb/schools/baylor/men/2017.html,N
5,/cbb/boxscores/2016-11-25-louisville.html,"Fri, Nov 25, 2016",3:30p,REG,/cbb/schools/louisville/men/2017.html,Louisville,/cbb/conferences/acc/men/2017.html,ACC,22.47,W,66,63,6,0,W 6,Imperial Arena at Atlantis Resort,/cbb/schools/baylor/men/2017.html,N
6,/cbb/boxscores/2016-11-30-baylor.html,"Wed, Nov 30, 2016",9:00p,REG,/cbb/schools/sam-houston-state/men/2017.html,Sam Houston,/cbb/conferences/southland/men/2017.html,Southland,-7.55,W,79,45,7,0,W 7,Ferrell Center,/cbb/schools/baylor/men/2017.html,
7,/cbb/boxscores/2016-12-03-baylor.html,"Sat, Dec 3, 2016",3:30p,REG,/cbb/schools/xavier/men/2017.html,Xavier,/cbb/conferences/big-east/men/2017.html,Big East,14.80,W,76,61,8,0,W 8,Ferrell Center,/cbb/schools/baylor/men/2017.html,
8,/cbb/boxscores/2016-12-14-baylor.html,"Wed, Dec 14, 2016",7:00p,REG,/cbb/schools/southern/men/2017.html,Southern,/cbb/conferences/swac/men/2017.html,SWAC,-14.48,W,89,59,9,0,W 9,Ferrell Center,/cbb/schools/baylor/men/2017.html,
9,/cbb/boxscores/2016-12-17-baylor.html,"Sat, Dec 17, 2016",6:00p,REG,/cbb/schools/jackson-state/men/2017.html,Jackson State,/cbb/conferences/swac/men/2017.html,SWAC,-15.42,W,82,57,10,0,W 10,Abrams Physical Fitness Center,/cbb/schools/baylor/men/2017.html,N
