,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2016-11-11-dayton.html,"Fri, Nov 11, 2016",7:00p,REG,/cbb/schools/austin-peay/men/2017.html,Austin Peay,/cbb/conferences/ovc/men/2017.html,OVC,-11.00,W,96,68,1,0,W 1,University of Dayton Arena,/cbb/schools/dayton/men/2017.html,,
1,/cbb/boxscores/2016-11-15-alabama.html,"Tue, Nov 15, 2016",1:15p,REG,/cbb/schools/alabama/men/2017.html,Alabama,/cbb/conferences/sec/men/2017.html,SEC,11.29,W,77,72,2,0,W 2,Coleman Coliseum,/cbb/schools/dayton/men/2017.html,@,
2,/cbb/boxscores/2016-11-19-dayton.html,"Sat, Nov 19, 2016",2:00p,REG,/cbb/schools/saint-marys-ca/men/2017.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2017.html,WCC,16.75,L,57,61,2,1,L 1,University of Dayton Arena,/cbb/schools/dayton/men/2017.html,,
3,/cbb/boxscores/2016-11-24-nebraska.html,"Thu, Nov 24, 2016",8:30p,REG,/cbb/schools/nebraska/men/2017.html,Nebraska,/cbb/conferences/big-ten/men/2017.html,Big Ten,6.47,L,78,80,2,2,L 2,Titan Gym,/cbb/schools/dayton/men/2017.html,N,
4,/cbb/boxscores/2016-11-25-portland.html,"Fri, Nov 25, 2016",9:30p,REG,/cbb/schools/portland/men/2017.html,Portland,/cbb/conferences/wcc/men/2017.html,WCC,-5.81,W,84,74,3,2,W 1,Titan Gym,/cbb/schools/dayton/men/2017.html,N,
5,/cbb/boxscores/2016-11-27-dayton.html,"Sun, Nov 27, 2016",2:00p,REG,/cbb/schools/new-mexico/men/2017.html,New Mexico,/cbb/conferences/mwc/men/2017.html,MWC,3.04,W,64,57,4,2,W 2,Honda Center,/cbb/schools/dayton/men/2017.html,N,
6,/cbb/boxscores/2016-12-03-dayton.html,"Sat, Dec 3, 2016",2:00p,REG,/cbb/schools/winthrop/men/2017.html,Winthrop,/cbb/conferences/big-south/men/2017.html,Big South,1.34,W,83,67,5,2,W 3,University of Dayton Arena,/cbb/schools/dayton/men/2017.html,,
7,/cbb/boxscores/2016-12-06-dayton.html,"Tue, Dec 6, 2016",7:00p,REG,,Saint Joseph's (IN),,,,W,91,59,6,2,W 4,University of Dayton Arena,/cbb/schools/dayton/men/2017.html,,
8,/cbb/boxscores/2016-12-10-dayton.html,"Sat, Dec 10, 2016",2:00p,REG,/cbb/schools/east-tennessee-state/men/2017.html,East Tennessee State,/cbb/conferences/southern/men/2017.html,Southern,7.31,W,75,61,7,2,W 5,University of Dayton Arena,/cbb/schools/dayton/men/2017.html,,
9,/cbb/boxscores/2016-12-17-northwestern.html,"Sat, Dec 17, 2016",7:00p,REG,/cbb/schools/northwestern/men/2017.html,Northwestern,/cbb/conferences/big-ten/men/2017.html,Big Ten,14.02,L,64,67,7,3,L 1,United Center,/cbb/schools/dayton/men/2017.html,N,
10,/cbb/boxscores/2016-12-21-dayton.html,"Wed, Dec 21, 2016",7:00p,REG,/cbb/schools/vanderbilt/men/2017.html,Vanderbilt,/cbb/conferences/sec/men/2017.html,SEC,13.69,W,68,63,8,3,W 1,University of Dayton Arena,/cbb/schools/dayton/men/2017.html,,
11,/cbb/boxscores/2016-12-23-dayton.html,"Fri, Dec 23, 2016",7:00p,REG,/cbb/schools/virginia-military-institute/men/2017.html,Virginia Military Institute,/cbb/conferences/southern/men/2017.html,Southern,-13.91,W,92,56,9,3,W 2,University of Dayton Arena,/cbb/schools/dayton/men/2017.html,,
12,/cbb/boxscores/2016-12-30-dayton.html,"Fri, Dec 30, 2016",6:00p,REG,/cbb/schools/la-salle/men/2017.html,La Salle,/cbb/conferences/atlantic-10/men/2017.html,A-10,1.91,W,66,55,10,3,W 3,University of Dayton Arena,/cbb/schools/dayton/men/2017.html,,
13,/cbb/boxscores/2017-01-03-st-bonaventure.html,"Tue, Jan 3, 2017",8:00p,REG,/cbb/schools/st-bonaventure/men/2017.html,St. Bonaventure,/cbb/conferences/atlantic-10/men/2017.html,A-10,5.95,W,90,74,11,3,W 4,Reilly Center,/cbb/schools/dayton/men/2017.html,@,
14,/cbb/boxscores/2017-01-06-dayton.html,"Fri, Jan 6, 2017",7:00p,REG,/cbb/schools/rhode-island/men/2017.html,Rhode Island,/cbb/conferences/atlantic-10/men/2017.html,A-10,12.88,W,67,64,12,3,W 5,University of Dayton Arena,/cbb/schools/dayton/men/2017.html,,
15,/cbb/boxscores/2017-01-11-massachusetts.html,"Wed, Jan 11, 2017",7:00p,REG,/cbb/schools/massachusetts/men/2017.html,Massachusetts,/cbb/conferences/atlantic-10/men/2017.html,A-10,1.63,L,55,67,12,4,L 1,Mullins Center,/cbb/schools/dayton/men/2017.html,@,
