,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2016-11-11-duke.html,"Fri, Nov 11, 2016",7:00p,REG,/cbb/schools/marist/men/2017.html,Marist,/cbb/conferences/maac/men/2017.html,MAAC,-12.33,W,94,49,1,0,W 1,Cameron Indoor Stadium,/cbb/schools/duke/men/2017.html,
1,/cbb/boxscores/2016-11-12-duke.html,"Sat, Nov 12, 2016",5:30p,REG,/cbb/schools/grand-canyon/men/2017.html,Grand Canyon,/cbb/conferences/wac/men/2017.html,WAC,-0.16,W,96,61,2,0,W 2,Cameron Indoor Stadium,/cbb/schools/duke/men/2017.html,
2,/cbb/boxscores/2016-11-15-kansas.html,"Tue, Nov 15, 2016",9:30p,REG,/cbb/schools/kansas/men/2017.html,Kansas,/cbb/conferences/big-12/men/2017.html,Big 12,23.53,L,75,77,2,1,L 1,Madison Square Garden (IV),/cbb/schools/duke/men/2017.html,N
3,/cbb/boxscores/2016-11-19-duke.html,"Sat, Nov 19, 2016",12:30p,REG,/cbb/schools/penn-state/men/2017.html,Penn State,/cbb/conferences/big-ten/men/2017.html,Big Ten,7.90,W,78,68,3,1,W 1,Mohegan Sun Arena,/cbb/schools/duke/men/2017.html,N
4,/cbb/boxscores/2016-11-20-duke.html,"Sun, Nov 20, 2016",1:00p,REG,/cbb/schools/rhode-island/men/2017.html,Rhode Island,/cbb/conferences/atlantic-10/men/2017.html,A-10,12.88,W,75,65,4,1,W 2,Mohegan Sun Arena,/cbb/schools/duke/men/2017.html,N
5,/cbb/boxscores/2016-11-23-duke.html,"Wed, Nov 23, 2016",7:00p,REG,/cbb/schools/william-mary/men/2017.html,William & Mary,/cbb/conferences/colonial/men/2017.html,CAA,-0.14,W,88,67,5,1,W 3,Cameron Indoor Stadium,/cbb/schools/duke/men/2017.html,
6,/cbb/boxscores/2016-11-26-duke.html,"Sat, Nov 26, 2016",12:00p,REG,/cbb/schools/appalachian-state/men/2017.html,Appalachian State,/cbb/conferences/sun-belt/men/2017.html,Sun Belt,-8.67,W,93,58,6,1,W 4,Cameron Indoor Stadium,/cbb/schools/duke/men/2017.html,
7,/cbb/boxscores/2016-11-29-duke.html,"Tue, Nov 29, 2016",9:30p,REG,/cbb/schools/michigan-state/men/2017.html,Michigan State,/cbb/conferences/big-ten/men/2017.html,Big Ten,13.67,W,78,69,7,1,W 5,Cameron Indoor Stadium,/cbb/schools/duke/men/2017.html,
8,/cbb/boxscores/2016-12-03-duke.html,"Sat, Dec 3, 2016",5:30p,REG,/cbb/schools/maine/men/2017.html,Maine,/cbb/conferences/america-east/men/2017.html,AEC,-16.33,W,94,55,8,1,W 6,Cameron Indoor Stadium,/cbb/schools/duke/men/2017.html,
9,/cbb/boxscores/2016-12-06-duke.html,"Tue, Dec 6, 2016",9:00p,REG,/cbb/schools/florida/men/2017.html,Florida,/cbb/conferences/sec/men/2017.html,SEC,22.40,W,84,74,9,1,W 7,Madison Square Garden (IV),/cbb/schools/duke/men/2017.html,N
