,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2016-11-11-east-tennessee-state.html,"Fri, Nov 11, 2016",7:00p,REG,/cbb/schools/fordham/men/2017.html,Fordham,/cbb/conferences/atlantic-10/men/2017.html,A-10,-1.97,W,96,59,1,0,W 1,Freedom Hall Civic Center,/cbb/schools/east-tennessee-state/men/2017.html,,
1,/cbb/boxscores/2016-11-14-east-tennessee-state.html,"Mon, Nov 14, 2016",7:00p,REG,/cbb/schools/detroit-mercy/men/2017.html,Detroit Mercy,/cbb/conferences/horizon/men/2017.html,Horizon,-10.72,W,107,78,2,0,W 2,Freedom Hall Civic Center,/cbb/schools/east-tennessee-state/men/2017.html,,
2,/cbb/boxscores/2016-11-20-north-carolina-wilmington.html,"Sun, Nov 20, 2016",3:00p,REG,/cbb/schools/north-carolina-wilmington/men/2017.html,UNC Wilmington,/cbb/conferences/colonial/men/2017.html,CAA,8.06,L,59,68,2,1,L 1,Trask Coliseum,/cbb/schools/east-tennessee-state/men/2017.html,@,
3,/cbb/boxscores/2016-11-25-milwaukee.html,"Fri, Nov 25, 2016",6:30p,REG,/cbb/schools/milwaukee/men/2017.html,Milwaukee,/cbb/conferences/horizon/men/2017.html,Horizon,-7.37,W,86,62,3,1,W 1,Sanford Pentagon,/cbb/schools/east-tennessee-state/men/2017.html,N,
4,/cbb/boxscores/2016-11-26-east-tennessee-state.html,"Sat, Nov 26, 2016",5:30p,REG,/cbb/schools/south-dakota-state/men/2017.html,South Dakota State,/cbb/conferences/summit/men/2017.html,Summit,-2.30,W,71,59,4,1,W 2,Sanford Pentagon,/cbb/schools/east-tennessee-state/men/2017.html,N,
5,/cbb/boxscores/2016-11-27-california-irvine.html,"Sun, Nov 27, 2016",12:30p,REG,/cbb/schools/california-irvine/men/2017.html,UC Irvine,/cbb/conferences/big-west/men/2017.html,Big West,0.18,W,72,66,5,1,W 3,Sanford Pentagon,/cbb/schools/east-tennessee-state/men/2017.html,N,
6,/cbb/boxscores/2016-12-01-east-tennessee-state.html,"Thu, Dec 1, 2016",7:00p,REG,,Lees-McRae,,,,W,85,80,6,1,W 4,Freedom Hall Civic Center,/cbb/schools/east-tennessee-state/men/2017.html,,
7,/cbb/boxscores/2016-12-04-east-tennessee-state.html,"Sun, Dec 4, 2016",2:00p,REG,,Limestone,,,,W,85,57,7,1,W 5,Freedom Hall Civic Center,/cbb/schools/east-tennessee-state/men/2017.html,,
8,/cbb/boxscores/2016-12-10-dayton.html,"Sat, Dec 10, 2016",2:00p,REG,/cbb/schools/dayton/men/2017.html,Dayton,/cbb/conferences/atlantic-10/men/2017.html,A-10,12.98,L,61,75,7,2,L 1,University of Dayton Arena,/cbb/schools/east-tennessee-state/men/2017.html,@,
9,/cbb/boxscores/2016-12-14-mississippi-state.html,"Wed, Dec 14, 2016",8:00p,REG,/cbb/schools/mississippi-state/men/2017.html,Mississippi State,/cbb/conferences/sec/men/2017.html,SEC,7.12,W,67,65,8,2,W 1,Humphrey Coliseum,/cbb/schools/east-tennessee-state/men/2017.html,@,
10,/cbb/boxscores/2016-12-17-morehead-state.html,"Sat, Dec 17, 2016",2:00p,REG,/cbb/schools/morehead-state/men/2017.html,Morehead State,/cbb/conferences/ovc/men/2017.html,OVC,-3.60,W,78,68,9,2,W 2,Ellis T. Johnson Arena,/cbb/schools/east-tennessee-state/men/2017.html,@,
11,/cbb/boxscores/2016-12-22-east-tennessee-state.html,"Thu, Dec 22, 2016",7:00p,REG,/cbb/schools/tennessee/men/2017.html,Tennessee,/cbb/conferences/sec/men/2017.html,SEC,11.28,L,68,72,9,3,L 1,Freedom Hall Civic Center,/cbb/schools/east-tennessee-state/men/2017.html,,
12,/cbb/boxscores/2016-12-29-east-tennessee-state.html,"Thu, Dec 29, 2016",7:00p,REG,/cbb/schools/savannah-state/men/2017.html,Savannah State,/cbb/conferences/meac/men/2017.html,MEAC,-16.04,W,92,71,10,3,W 1,Freedom Hall Civic Center,/cbb/schools/east-tennessee-state/men/2017.html,,
13,/cbb/boxscores/2016-12-31-east-tennessee-state.html,"Sat, Dec 31, 2016",2:00p,REG,/cbb/schools/virginia-military-institute/men/2017.html,Virginia Military Institute,/cbb/conferences/southern/men/2017.html,Southern,-13.91,W,102,75,11,3,W 2,Freedom Hall Civic Center,/cbb/schools/east-tennessee-state/men/2017.html,,
14,/cbb/boxscores/2017-01-05-citadel.html,"Thu, Jan 5, 2017",7:00p,REG,/cbb/schools/citadel/men/2017.html,The Citadel,/cbb/conferences/southern/men/2017.html,Southern,-12.86,W,115,71,12,3,W 3,McAlister Field House,/cbb/schools/east-tennessee-state/men/2017.html,@,
15,/cbb/boxscores/2017-01-07-mercer.html,"Sat, Jan 7, 2017",4:30p,REG,/cbb/schools/mercer/men/2017.html,Mercer,/cbb/conferences/southern/men/2017.html,Southern,-1.12,W,67,58,13,3,W 4,Hawkins Arena,/cbb/schools/east-tennessee-state/men/2017.html,@,
16,/cbb/boxscores/2017-01-12-east-tennessee-state.html,"Thu, Jan 12, 2017",7:00p,REG,/cbb/schools/north-carolina-greensboro/men/2017.html,UNC Greensboro,/cbb/conferences/southern/men/2017.html,Southern,-0.10,L,79,83,13,4,L 1,Freedom Hall Civic Center,/cbb/schools/east-tennessee-state/men/2017.html,,
17,/cbb/boxscores/2017-01-14-east-tennessee-state.html,"Sat, Jan 14, 2017",4:00p,REG,/cbb/schools/western-carolina/men/2017.html,Western Carolina,/cbb/conferences/southern/men/2017.html,Southern,-15.30,W,75,52,14,4,W 1,Freedom Hall Civic Center,/cbb/schools/east-tennessee-state/men/2017.html,,
18,/cbb/boxscores/2017-01-19-furman.html,"Thu, Jan 19, 2017",7:00p,REG,/cbb/schools/furman/men/2017.html,Furman,/cbb/conferences/southern/men/2017.html,Southern,1.46,L,62,75,14,5,L 1,Timmons Arena,/cbb/schools/east-tennessee-state/men/2017.html,@,
19,/cbb/boxscores/2017-01-22-east-tennessee-state.html,"Sun, Jan 22, 2017",2:00p,REG,/cbb/schools/wofford/men/2017.html,Wofford,/cbb/conferences/southern/men/2017.html,Southern,-0.71,W,79,72,15,5,W 1,Freedom Hall Civic Center,/cbb/schools/east-tennessee-state/men/2017.html,,
20,/cbb/boxscores/2017-01-25-samford.html,"Wed, Jan 25, 2017",8:00p,REG,/cbb/schools/samford/men/2017.html,Samford,/cbb/conferences/southern/men/2017.html,Southern,-1.87,W,96,86,16,5,W 2,Pete Hanna Center,/cbb/schools/east-tennessee-state/men/2017.html,@,2OT
21,/cbb/boxscores/2017-01-28-east-tennessee-state.html,"Sat, Jan 28, 2017",4:00p,REG,/cbb/schools/chattanooga/men/2017.html,Chattanooga,/cbb/conferences/southern/men/2017.html,Southern,1.10,W,76,71,17,5,W 3,Freedom Hall Civic Center,/cbb/schools/east-tennessee-state/men/2017.html,,
