,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2016-11-11-florida.html,"Fri, Nov 11, 2016",7:30p,REG,N,/cbb/schools/florida-gulf-coast/men/2017.html,Florida Gulf Coast,/cbb/conferences/atlantic-sun/men/2017.html,A-Sun,2.26,W,80,59,1,0,W 1,Jacksonville Veteran's Memorial Arena,/cbb/schools/florida/men/2017.html,
1,/cbb/boxscores/2016-11-13-florida.html,"Sun, Nov 13, 2016",8:00p,REG,N,/cbb/schools/mercer/men/2017.html,Mercer,/cbb/conferences/southern/men/2017.html,Southern,-1.12,W,76,54,2,0,W 2,Jacksonville Veteran's Memorial Arena,/cbb/schools/florida/men/2017.html,
2,/cbb/boxscores/2016-11-17-st-bonaventure.html,"Thu, Nov 17, 2016",7:00p,REG,N,/cbb/schools/st-bonaventure/men/2017.html,St. Bonaventure,/cbb/conferences/atlantic-10/men/2017.html,A-10,5.95,W,73,66,3,0,W 3,Lakeland Center,/cbb/schools/florida/men/2017.html,
3,/cbb/boxscores/2016-11-21-florida.html,"Mon, Nov 21, 2016",7:00p,REG,N,/cbb/schools/belmont/men/2017.html,Belmont,/cbb/conferences/ovc/men/2017.html,OVC,4.28,W,78,61,4,0,W 4,Amalie Arena,/cbb/schools/florida/men/2017.html,
4,/cbb/boxscores/2016-11-24-florida.html,"Thu, Nov 24, 2016",8:30p,REG,N,/cbb/schools/seton-hall/men/2017.html,Seton Hall,/cbb/conferences/big-east/men/2017.html,Big East,12.10,W,81,76,5,0,W 5,HP Field House,/cbb/schools/florida/men/2017.html,
5,/cbb/boxscores/2016-11-25-florida.html,"Fri, Nov 25, 2016",9:30p,REG,N,/cbb/schools/gonzaga/men/2017.html,Gonzaga,/cbb/conferences/wcc/men/2017.html,WCC,25.26,L,72,77,5,1,L 1,HP Field House,/cbb/schools/florida/men/2017.html,
6,/cbb/boxscores/2016-11-27-florida.html,"Sun, Nov 27, 2016",4:30p,REG,N,/cbb/schools/miami-fl/men/2017.html,Miami (FL),/cbb/conferences/acc/men/2017.html,ACC,14.48,W,65,56,6,1,W 1,HP Field House,/cbb/schools/florida/men/2017.html,
7,/cbb/boxscores/2016-12-01-north-florida.html,"Thu, Dec 1, 2016",7:00p,REG,@,/cbb/schools/north-florida/men/2017.html,North Florida,/cbb/conferences/atlantic-sun/men/2017.html,A-Sun,-7.78,W,91,60,7,1,W 2,UNF Arena,/cbb/schools/florida/men/2017.html,
8,/cbb/boxscores/2016-12-06-duke.html,"Tue, Dec 6, 2016",9:00p,REG,N,/cbb/schools/duke/men/2017.html,Duke,/cbb/conferences/acc/men/2017.html,ACC,21.56,L,74,84,7,2,L 1,Madison Square Garden (IV),/cbb/schools/florida/men/2017.html,
9,/cbb/boxscores/2016-12-11-florida-state.html,"Sun, Dec 11, 2016",4:00p,REG,@,/cbb/schools/florida-state/men/2017.html,Florida State,/cbb/conferences/acc/men/2017.html,ACC,18.87,L,78,83,7,3,L 2,Donald L. Tucker Civic Center,/cbb/schools/florida/men/2017.html,
