,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2016-11-11-iowa-state.html,"Fri, Nov 11, 2016",8:00p,REG,/cbb/schools/savannah-state/men/2017.html,Savannah State,/cbb/conferences/meac/men/2017.html,MEAC,-16.04,W,113,71,1,0,W 1,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2017.html,,
1,/cbb/boxscores/2016-11-14-iowa-state.html,"Mon, Nov 14, 2016",8:00p,REG,/cbb/schools/mount-st-marys/men/2017.html,Mount St. Mary's,/cbb/conferences/northeast/men/2017.html,NEC,-4.29,W,73,55,2,0,W 2,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2017.html,,
2,/cbb/boxscores/2016-11-20-iowa-state.html,"Sun, Nov 20, 2016",2:00p,REG,/cbb/schools/citadel/men/2017.html,The Citadel,/cbb/conferences/southern/men/2017.html,Southern,-12.86,W,130,63,3,0,W 3,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2017.html,,
3,/cbb/boxscores/2016-11-24-iowa-state.html,"Thu, Nov 24, 2016",12:30p,REG,/cbb/schools/indiana-state/men/2017.html,Indiana State,/cbb/conferences/mvc/men/2017.html,MVC,-1.02,W,73,71,4,0,W 4,HP Field House,/cbb/schools/iowa-state/men/2017.html,N,
4,/cbb/boxscores/2016-11-25-miami-fl.html,"Fri, Nov 25, 2016",11:00a,REG,/cbb/schools/miami-fl/men/2017.html,Miami (FL),/cbb/conferences/acc/men/2017.html,ACC,14.48,W,73,56,5,0,W 5,HP Field House,/cbb/schools/iowa-state/men/2017.html,N,
5,/cbb/boxscores/2016-11-27-gonzaga.html,"Sun, Nov 27, 2016",1:30p,REG,/cbb/schools/gonzaga/men/2017.html,Gonzaga,/cbb/conferences/wcc/men/2017.html,WCC,25.26,L,71,73,5,1,L 1,HP Field House,/cbb/schools/iowa-state/men/2017.html,N,
6,/cbb/boxscores/2016-12-01-iowa-state.html,"Thu, Dec 1, 2016",9:00p,REG,/cbb/schools/cincinnati/men/2017.html,Cincinnati,/cbb/conferences/aac/men/2017.html,AAC,18.43,L,54,55,5,2,L 2,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2017.html,,OT
7,/cbb/boxscores/2016-12-05-iowa-state.html,"Mon, Dec 5, 2016",8:00p,REG,/cbb/schools/nebraska-omaha/men/2017.html,Omaha,/cbb/conferences/summit/men/2017.html,Summit,-2.24,W,91,47,6,2,W 1,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2017.html,,
8,/cbb/boxscores/2016-12-08-iowa.html,"Thu, Dec 8, 2016",8:00p,REG,/cbb/schools/iowa/men/2017.html,Iowa,/cbb/conferences/big-ten/men/2017.html,Big Ten,10.01,L,64,78,6,3,L 1,Carver-Hawkeye Arena,/cbb/schools/iowa-state/men/2017.html,@,
9,/cbb/boxscores/2016-12-17-iowa-state.html,"Sat, Dec 17, 2016",7:00p,REG,/cbb/schools/drake/men/2017.html,Drake,/cbb/conferences/mvc/men/2017.html,MVC,-4.71,W,97,80,7,3,W 1,Wells Fargo Arena,/cbb/schools/iowa-state/men/2017.html,N,
10,/cbb/boxscores/2016-12-20-iowa-state.html,"Tue, Dec 20, 2016",7:00p,REG,/cbb/schools/mississippi-valley-state/men/2017.html,Mississippi Valley State,/cbb/conferences/swac/men/2017.html,SWAC,-20.54,W,88,60,8,3,W 2,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2017.html,,
11,/cbb/boxscores/2016-12-30-iowa-state.html,"Fri, Dec 30, 2016",6:00p,REG,/cbb/schools/texas-tech/men/2017.html,Texas Tech,/cbb/conferences/big-12/men/2017.html,Big 12,14.11,W,63,56,9,3,W 3,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2017.html,,
12,/cbb/boxscores/2017-01-04-baylor.html,"Wed, Jan 4, 2017",8:00p,REG,/cbb/schools/baylor/men/2017.html,Baylor,/cbb/conferences/big-12/men/2017.html,Big 12,19.75,L,63,65,9,4,L 1,Ferrell Center,/cbb/schools/iowa-state/men/2017.html,@,
13,/cbb/boxscores/2017-01-07-iowa-state.html,"Sat, Jan 7, 2017",9:15p,REG,/cbb/schools/texas/men/2017.html,Texas,/cbb/conferences/big-12/men/2017.html,Big 12,10.99,W,79,70,10,4,W 1,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2017.html,,
14,/cbb/boxscores/2017-01-11-oklahoma-state.html,"Wed, Jan 11, 2017",9:00p,REG,/cbb/schools/oklahoma-state/men/2017.html,Oklahoma State,/cbb/conferences/big-12/men/2017.html,Big 12,19.19,W,96,86,11,4,W 2,Gallagher-Iba Arena,/cbb/schools/iowa-state/men/2017.html,@,
15,/cbb/boxscores/2017-01-14-texas-christian.html,"Sat, Jan 14, 2017",5:30p,REG,/cbb/schools/texas-christian/men/2017.html,TCU,/cbb/conferences/big-12/men/2017.html,Big 12,15.64,L,77,84,11,5,L 1,Ed & Rae Schollmaier Arena,/cbb/schools/iowa-state/men/2017.html,@,
16,/cbb/boxscores/2017-01-16-iowa-state.html,"Mon, Jan 16, 2017",9:00p,REG,/cbb/schools/kansas/men/2017.html,Kansas,/cbb/conferences/big-12/men/2017.html,Big 12,23.53,L,72,76,11,6,L 2,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2017.html,,
17,/cbb/boxscores/2017-01-21-oklahoma.html,"Sat, Jan 21, 2017",2:00p,REG,/cbb/schools/oklahoma/men/2017.html,Oklahoma,/cbb/conferences/big-12/men/2017.html,Big 12,11.42,W,92,87,12,6,W 1,Lloyd Noble Center,/cbb/schools/iowa-state/men/2017.html,@,2OT
18,/cbb/boxscores/2017-01-24-iowa-state.html,"Tue, Jan 24, 2017",9:00p,REG,/cbb/schools/kansas-state/men/2017.html,Kansas State,/cbb/conferences/big-12/men/2017.html,Big 12,14.80,W,70,65,13,6,W 2,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2017.html,,
19,/cbb/boxscores/2017-01-28-vanderbilt.html,"Sat, Jan 28, 2017",4:00p,REG,/cbb/schools/vanderbilt/men/2017.html,Vanderbilt,/cbb/conferences/sec/men/2017.html,SEC,13.69,L,78,84,13,7,L 1,Memorial Gymnasium,/cbb/schools/iowa-state/men/2017.html,@,
20,/cbb/boxscores/2017-01-31-iowa-state.html,"Tue, Jan 31, 2017",9:00p,REG,/cbb/schools/west-virginia/men/2017.html,West Virginia,/cbb/conferences/big-12/men/2017.html,Big 12,24.45,L,72,85,13,8,L 2,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2017.html,,
21,/cbb/boxscores/2017-02-04-kansas.html,"Sat, Feb 4, 2017",2:00p,REG,/cbb/schools/kansas/men/2017.html,Kansas,/cbb/conferences/big-12/men/2017.html,Big 12,23.53,W,92,89,14,8,W 1,Allen Fieldhouse,/cbb/schools/iowa-state/men/2017.html,@,OT
22,/cbb/boxscores/2017-02-07-texas.html,"Tue, Feb 7, 2017",9:00p,REG,/cbb/schools/texas/men/2017.html,Texas,/cbb/conferences/big-12/men/2017.html,Big 12,10.99,L,65,67,14,9,L 1,Frank Erwin Center,/cbb/schools/iowa-state/men/2017.html,@,
23,/cbb/boxscores/2017-02-11-iowa-state.html,"Sat, Feb 11, 2017",6:00p,REG,/cbb/schools/oklahoma/men/2017.html,Oklahoma,/cbb/conferences/big-12/men/2017.html,Big 12,11.42,W,80,64,15,9,W 1,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2017.html,,
