,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2016-11-11-tulsa.html,"Fri, Nov 11, 2016",8:00p,REG,@,/cbb/schools/tulsa/men/2017.html,Tulsa,/cbb/conferences/aac/men/2017.html,AAC,2.45,W,84,73,1,0,W 1,Donald W. Reynolds Center,/cbb/schools/jacksonville-state/men/2017.html,
1,/cbb/boxscores/2016-11-13-missouri-state.html,"Sun, Nov 13, 2016",2:05p,REG,@,/cbb/schools/missouri-state/men/2017.html,Missouri State,/cbb/conferences/mvc/men/2017.html,MVC,2.84,L,65,91,1,1,L 1,JQH Arena,/cbb/schools/jacksonville-state/men/2017.html,
2,/cbb/boxscores/2016-11-16-western-kentucky.html,"Wed, Nov 16, 2016",9:00p,REG,@,/cbb/schools/western-kentucky/men/2017.html,Western Kentucky,/cbb/conferences/cusa/men/2017.html,CUSA,-5.80,L,67,74,1,2,L 2,E. A. Diddle Arena,/cbb/schools/jacksonville-state/men/2017.html,
3,/cbb/boxscores/2016-11-18-texas-christian.html,"Fri, Nov 18, 2016",7:00p,REG,@,/cbb/schools/texas-christian/men/2017.html,TCU,/cbb/conferences/big-12/men/2017.html,Big 12,15.64,L,60,79,1,3,L 3,Ed & Rae Schollmaier Arena,/cbb/schools/jacksonville-state/men/2017.html,
4,/cbb/boxscores/2016-11-22-jacksonville-state.html,"Tue, Nov 22, 2016",8:30p,REG,,,Dalton State,,,,W,81,50,2,3,W 1,Pete Mathews Coliseum,/cbb/schools/jacksonville-state/men/2017.html,
5,/cbb/boxscores/2016-11-25-cal-state-fullerton.html,"Fri, Nov 25, 2016",2:00p,REG,N,/cbb/schools/cal-state-fullerton/men/2017.html,Cal State Fullerton,/cbb/conferences/big-west/men/2017.html,Big West,-7.55,W,61,38,3,3,W 2,Thomas & Mack Center,/cbb/schools/jacksonville-state/men/2017.html,
6,/cbb/boxscores/2016-11-26-northern-arizona.html,"Sat, Nov 26, 2016",4:30p,REG,N,/cbb/schools/northern-arizona/men/2017.html,Northern Arizona,/cbb/conferences/big-sky/men/2017.html,Big Sky,-13.92,W,76,63,4,3,W 3,Thomas & Mack Center,/cbb/schools/jacksonville-state/men/2017.html,
7,/cbb/boxscores/2016-11-29-alabama-state.html,"Tue, Nov 29, 2016",8:00p,REG,@,/cbb/schools/alabama-state/men/2017.html,Alabama State,/cbb/conferences/swac/men/2017.html,SWAC,-19.75,W,72,69,5,3,W 4,Dunn-Oliver Acadome,/cbb/schools/jacksonville-state/men/2017.html,
8,/cbb/boxscores/2016-12-04-samford.html,"Sun, Dec 4, 2016",4:00p,REG,@,/cbb/schools/samford/men/2017.html,Samford,/cbb/conferences/southern/men/2017.html,Southern,-1.87,L,77,81,5,4,L 1,Pete Hanna Center,/cbb/schools/jacksonville-state/men/2017.html,
9,/cbb/boxscores/2016-12-10-louisiana-monroe.html,"Sat, Dec 10, 2016",8:00p,REG,@,/cbb/schools/louisiana-monroe/men/2017.html,Louisiana-Monroe,/cbb/conferences/sun-belt/men/2017.html,Sun Belt,-7.88,L,83,88,5,5,L 2,Fant-Ewing Coliseum,/cbb/schools/jacksonville-state/men/2017.html,OT
10,/cbb/boxscores/2016-12-12-maryland.html,"Mon, Dec 12, 2016",7:00p,REG,@,/cbb/schools/maryland/men/2017.html,Maryland,/cbb/conferences/big-ten/men/2017.html,Big Ten,12.79,L,66,92,5,6,L 3,Xfinity Center,/cbb/schools/jacksonville-state/men/2017.html,
11,/cbb/boxscores/2016-12-14-howard.html,"Wed, Dec 14, 2016",7:00p,REG,@,/cbb/schools/howard/men/2017.html,Howard,/cbb/conferences/meac/men/2017.html,MEAC,-16.97,W,72,59,6,6,W 1,Burr Gymnasium,/cbb/schools/jacksonville-state/men/2017.html,
12,/cbb/boxscores/2016-12-18-south-carolina-upstate.html,"Sun, Dec 18, 2016",3:00p,REG,@,/cbb/schools/south-carolina-upstate/men/2017.html,South Carolina Upstate,/cbb/conferences/atlantic-sun/men/2017.html,A-Sun,-7.64,W,67,66,7,6,W 2,G.B. Hodge Center,/cbb/schools/jacksonville-state/men/2017.html,
13,/cbb/boxscores/2016-12-21-chattanooga.html,"Wed, Dec 21, 2016",2:00p,REG,@,/cbb/schools/chattanooga/men/2017.html,Chattanooga,/cbb/conferences/southern/men/2017.html,Southern,1.10,L,57,73,7,7,L 1,McKenzie Arena,/cbb/schools/jacksonville-state/men/2017.html,
14,/cbb/boxscores/2016-12-29-tennessee-martin.html,"Thu, Dec 29, 2016",8:30p,REG,@,/cbb/schools/tennessee-martin/men/2017.html,Tennessee-Martin,/cbb/conferences/ovc/men/2017.html,OVC,-4.70,W,90,72,8,7,W 1,Skyhawk Arena,/cbb/schools/jacksonville-state/men/2017.html,
15,/cbb/boxscores/2016-12-31-eastern-illinois.html,"Sat, Dec 31, 2016",4:15p,REG,@,/cbb/schools/eastern-illinois/men/2017.html,Eastern Illinois,/cbb/conferences/ovc/men/2017.html,OVC,-5.35,W,57,56,9,7,W 2,Lantz Arena,/cbb/schools/jacksonville-state/men/2017.html,
