,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2016-11-11-louisville.html,"Fri, Nov 11, 2016",7:00p,REG,/cbb/schools/evansville/men/2017.html,Evansville,/cbb/conferences/mvc/men/2017.html,MVC,1.45,W,78,47,1,0,W 1,KFC Yum! Center,/cbb/schools/louisville/men/2017.html,,
1,/cbb/boxscores/2016-11-14-louisville.html,"Mon, Nov 14, 2016",7:00p,REG,/cbb/schools/william-mary/men/2017.html,William & Mary,/cbb/conferences/colonial/men/2017.html,CAA,-0.14,W,91,58,2,0,W 2,KFC Yum! Center,/cbb/schools/louisville/men/2017.html,,
2,/cbb/boxscores/2016-11-17-louisville.html,"Thu, Nov 17, 2016",4:00p,REG,/cbb/schools/long-beach-state/men/2017.html,Long Beach State,/cbb/conferences/big-west/men/2017.html,Big West,-5.98,W,88,56,3,0,W 3,KFC Yum! Center,/cbb/schools/louisville/men/2017.html,,
3,/cbb/boxscores/2016-11-23-old-dominion.html,"Wed, Nov 23, 2016",9:30p,REG,/cbb/schools/old-dominion/men/2017.html,Old Dominion,/cbb/conferences/cusa/men/2017.html,CUSA,1.94,W,68,62,4,0,W 4,Imperial Arena at Atlantis Resort,/cbb/schools/louisville/men/2017.html,N,OT
4,/cbb/boxscores/2016-11-24-wichita-state.html,"Thu, Nov 24, 2016",2:30p,REG,/cbb/schools/wichita-state/men/2017.html,Wichita State,/cbb/conferences/mvc/men/2017.html,MVC,21.24,W,62,52,5,0,W 5,Imperial Arena at Atlantis Resort,/cbb/schools/louisville/men/2017.html,N,
5,/cbb/boxscores/2016-11-25-louisville.html,"Fri, Nov 25, 2016",3:30p,REG,/cbb/schools/baylor/men/2017.html,Baylor,/cbb/conferences/big-12/men/2017.html,Big 12,19.75,L,63,66,5,1,L 1,Imperial Arena at Atlantis Resort,/cbb/schools/louisville/men/2017.html,N,
6,/cbb/boxscores/2016-11-30-louisville.html,"Wed, Nov 30, 2016",7:15p,REG,/cbb/schools/purdue/men/2017.html,Purdue,/cbb/conferences/big-ten/men/2017.html,Big Ten,20.13,W,71,64,6,1,W 1,KFC Yum! Center,/cbb/schools/louisville/men/2017.html,,
7,/cbb/boxscores/2016-12-03-grand-canyon.html,"Sat, Dec 3, 2016",9:00p,REG,/cbb/schools/grand-canyon/men/2017.html,Grand Canyon,/cbb/conferences/wac/men/2017.html,WAC,-0.16,W,79,70,7,1,W 2,Grand Canyon University Arena,/cbb/schools/louisville/men/2017.html,@,
8,/cbb/boxscores/2016-12-07-louisville.html,"Wed, Dec 7, 2016",7:00p,REG,/cbb/schools/southern-illinois/men/2017.html,Southern Illinois,/cbb/conferences/mvc/men/2017.html,MVC,1.09,W,74,51,8,1,W 3,KFC Yum! Center,/cbb/schools/louisville/men/2017.html,,
9,/cbb/boxscores/2016-12-10-louisville.html,"Sat, Dec 10, 2016",2:00p,REG,/cbb/schools/texas-southern/men/2017.html,Texas Southern,/cbb/conferences/swac/men/2017.html,SWAC,-6.41,W,102,71,9,1,W 4,KFC Yum! Center,/cbb/schools/louisville/men/2017.html,,
10,/cbb/boxscores/2016-12-17-louisville.html,"Sat, Dec 17, 2016",12:00p,REG,/cbb/schools/eastern-kentucky/men/2017.html,Eastern Kentucky,/cbb/conferences/ovc/men/2017.html,OVC,-8.65,W,87,56,10,1,W 5,KFC Yum! Center,/cbb/schools/louisville/men/2017.html,,
11,/cbb/boxscores/2016-12-21-louisville.html,"Wed, Dec 21, 2016",7:00p,REG,/cbb/schools/kentucky/men/2017.html,Kentucky,/cbb/conferences/sec/men/2017.html,SEC,23.88,W,73,70,11,1,W 6,KFC Yum! Center,/cbb/schools/louisville/men/2017.html,,
12,/cbb/boxscores/2016-12-28-louisville.html,"Wed, Dec 28, 2016",7:00p,REG,/cbb/schools/virginia/men/2017.html,Virginia,/cbb/conferences/acc/men/2017.html,ACC,20.63,L,53,61,11,2,L 1,KFC Yum! Center,/cbb/schools/louisville/men/2017.html,,
13,/cbb/boxscores/2016-12-31-indiana.html,"Sat, Dec 31, 2016",12:30p,REG,/cbb/schools/indiana/men/2017.html,Indiana,/cbb/conferences/big-ten/men/2017.html,Big Ten,14.63,W,77,62,12,2,W 1,Bankers Life Fieldhouse,/cbb/schools/louisville/men/2017.html,N,
14,/cbb/boxscores/2017-01-04-notre-dame.html,"Wed, Jan 4, 2017",9:00p,REG,/cbb/schools/notre-dame/men/2017.html,Notre Dame,/cbb/conferences/acc/men/2017.html,ACC,17.81,L,70,77,12,3,L 1,Purcell Pavilion at the Joyce Center,/cbb/schools/louisville/men/2017.html,@,
15,/cbb/boxscores/2017-01-07-georgia-tech.html,"Sat, Jan 7, 2017",2:00p,REG,/cbb/schools/georgia-tech/men/2017.html,Georgia Tech,/cbb/conferences/acc/men/2017.html,ACC,7.82,W,65,50,13,3,W 1,McCamish Pavilion,/cbb/schools/louisville/men/2017.html,@,
16,/cbb/boxscores/2017-01-11-louisville.html,"Wed, Jan 11, 2017",7:00p,REG,/cbb/schools/pittsburgh/men/2017.html,Pittsburgh,/cbb/conferences/acc/men/2017.html,ACC,9.25,W,85,80,14,3,W 2,KFC Yum! Center,/cbb/schools/louisville/men/2017.html,,
17,/cbb/boxscores/2017-01-14-louisville.html,"Sat, Jan 14, 2017",12:00p,REG,/cbb/schools/duke/men/2017.html,Duke,/cbb/conferences/acc/men/2017.html,ACC,21.56,W,78,69,15,3,W 3,KFC Yum! Center,/cbb/schools/louisville/men/2017.html,,
18,/cbb/boxscores/2017-01-19-louisville.html,"Thu, Jan 19, 2017",9:00p,REG,/cbb/schools/clemson/men/2017.html,Clemson,/cbb/conferences/acc/men/2017.html,ACC,13.22,W,92,60,16,3,W 4,KFC Yum! Center,/cbb/schools/louisville/men/2017.html,,
19,/cbb/boxscores/2017-01-21-florida-state.html,"Sat, Jan 21, 2017",2:00p,REG,/cbb/schools/florida-state/men/2017.html,Florida State,/cbb/conferences/acc/men/2017.html,ACC,18.87,L,68,73,16,4,L 1,Donald L. Tucker Civic Center,/cbb/schools/louisville/men/2017.html,@,
20,/cbb/boxscores/2017-01-24-pittsburgh.html,"Tue, Jan 24, 2017",7:00p,REG,/cbb/schools/pittsburgh/men/2017.html,Pittsburgh,/cbb/conferences/acc/men/2017.html,ACC,9.25,W,106,51,17,4,W 1,Petersen Events Center,/cbb/schools/louisville/men/2017.html,@,
21,/cbb/boxscores/2017-01-29-louisville.html,"Sun, Jan 29, 2017",1:00p,REG,/cbb/schools/north-carolina-state/men/2017.html,NC State,/cbb/conferences/acc/men/2017.html,ACC,6.09,W,85,60,18,4,W 2,KFC Yum! Center,/cbb/schools/louisville/men/2017.html,,
22,/cbb/boxscores/2017-02-04-boston-college.html,"Sat, Feb 4, 2017",3:00p,REG,/cbb/schools/boston-college/men/2017.html,Boston College,/cbb/conferences/acc/men/2017.html,ACC,2.20,W,90,67,19,4,W 3,Silvio O. Conte Forum,/cbb/schools/louisville/men/2017.html,@,
23,/cbb/boxscores/2017-02-06-virginia.html,"Mon, Feb 6, 2017",7:00p,REG,/cbb/schools/virginia/men/2017.html,Virginia,/cbb/conferences/acc/men/2017.html,ACC,20.63,L,55,71,19,5,L 1,John Paul Jones Arena,/cbb/schools/louisville/men/2017.html,@,
24,/cbb/boxscores/2017-02-11-louisville.html,"Sat, Feb 11, 2017",2:00p,REG,/cbb/schools/miami-fl/men/2017.html,Miami (FL),/cbb/conferences/acc/men/2017.html,ACC,14.48,W,71,66,20,5,W 1,KFC Yum! Center,/cbb/schools/louisville/men/2017.html,,
25,/cbb/boxscores/2017-02-13-syracuse.html,"Mon, Feb 13, 2017",7:00p,REG,/cbb/schools/syracuse/men/2017.html,Syracuse,/cbb/conferences/acc/men/2017.html,ACC,13.70,W,76,72,21,5,W 2,Carrier Dome,/cbb/schools/louisville/men/2017.html,@,OT
