,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location,overtimes
0,/cbb/boxscores/2016-11-11-middle-tennessee.html,"Fri, Nov 11, 2016",12:00p,REG,Milligan,,W,102,64,1,0,W 1,Murphy Center,/cbb/schools/middle-tennessee/men/2017.html,,,,,
1,/cbb/boxscores/2016-11-15-middle-tennessee.html,"Tue, Nov 15, 2016",7:30p,REG,Murray State,OVC,W,87,81,2,0,W 2,Murphy Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/murray-state/men/2017.html,/cbb/conferences/ovc/men/2017.html,-3.06,,
2,/cbb/boxscores/2016-11-19-middle-tennessee.html,"Sat, Nov 19, 2016",7:30p,REG,Tennessee State,OVC,L,63,74,2,1,L 1,Murphy Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/tennessee-state/men/2017.html,/cbb/conferences/ovc/men/2017.html,-1.57,,
3,/cbb/boxscores/2016-11-22-middle-tennessee.html,"Tue, Nov 22, 2016",7:30p,REG,Toledo,MAC,W,80,70,3,1,W 1,Murphy Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/toledo/men/2017.html,/cbb/conferences/mac/men/2017.html,1.16,,
4,/cbb/boxscores/2016-11-25-north-carolina-wilmington.html,"Fri, Nov 25, 2016",8:30p,REG,UNC Wilmington,CAA,W,68,63,4,1,W 2,Nashville Municipal Auditorium,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/north-carolina-wilmington/men/2017.html,/cbb/conferences/colonial/men/2017.html,8.06,N,
5,/cbb/boxscores/2016-11-26-toledo.html,"Sat, Nov 26, 2016",8:30p,REG,Toledo,MAC,W,73,70,5,1,W 3,Savage Arena,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/toledo/men/2017.html,/cbb/conferences/mac/men/2017.html,1.16,N,OT
6,/cbb/boxscores/2016-11-27-middle-tennessee.html,"Sun, Nov 27, 2016",6:30p,REG,Evansville,MVC,W,66,55,6,1,W 4,Nashville Municipal Auditorium,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/evansville/men/2017.html,/cbb/conferences/mvc/men/2017.html,1.45,N,
7,/cbb/boxscores/2016-11-30-mississippi.html,"Wed, Nov 30, 2016",8:00p,REG,Mississippi,SEC,W,77,62,7,1,W 5,The Pavilion at Ole Miss,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/mississippi/men/2017.html,/cbb/conferences/sec/men/2017.html,9.65,@,
8,/cbb/boxscores/2016-12-03-south-alabama.html,"Sat, Dec 3, 2016",8:05p,REG,South Alabama,Sun Belt,W,67,55,8,1,W 6,Mitchell Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/south-alabama/men/2017.html,/cbb/conferences/sun-belt/men/2017.html,-6.57,@,
9,/cbb/boxscores/2016-12-08-middle-tennessee.html,"Thu, Dec 8, 2016",7:30p,REG,Vanderbilt,SEC,W,71,48,9,1,W 7,Murphy Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/vanderbilt/men/2017.html,/cbb/conferences/sec/men/2017.html,13.69,,
10,/cbb/boxscores/2016-12-14-belmont.html,"Wed, Dec 14, 2016",8:00p,REG,Belmont,OVC,W,79,66,10,1,W 8,Curb Event Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/belmont/men/2017.html,/cbb/conferences/ovc/men/2017.html,4.28,@,
11,/cbb/boxscores/2016-12-17-virginia-commonwealth.html,"Sat, Dec 17, 2016",7:00p,REG,Virginia Commonwealth,A-10,L,77,80,10,2,L 1,Stuart Siegel Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/virginia-commonwealth/men/2017.html,/cbb/conferences/atlantic-10/men/2017.html,11.57,@,
12,/cbb/boxscores/2016-12-21-middle-tennessee.html,"Wed, Dec 21, 2016",7:30p,REG,Georgia State,Sun Belt,L,56,64,10,3,L 2,Murphy Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/georgia-state/men/2017.html,/cbb/conferences/sun-belt/men/2017.html,-0.33,,
13,/cbb/boxscores/2017-01-01-middle-tennessee.html,"Sun, Jan 1, 2017",6:00p,REG,UAB,CUSA,W,60,49,11,3,W 1,Murphy Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/alabama-birmingham/men/2017.html,/cbb/conferences/cusa/men/2017.html,-1.17,,
14,/cbb/boxscores/2017-01-05-rice.html,"Thu, Jan 5, 2017",8:00p,REG,Rice,CUSA,W,80,77,12,3,W 2,Tudor Fieldhouse,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/rice/men/2017.html,/cbb/conferences/cusa/men/2017.html,0.51,@,
15,/cbb/boxscores/2017-01-07-north-texas.html,"Sat, Jan 7, 2017",3:00p,REG,North Texas,CUSA,W,79,68,13,3,W 3,UNT Coliseum,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/north-texas/men/2017.html,/cbb/conferences/cusa/men/2017.html,-11.14,@,
16,/cbb/boxscores/2017-01-12-middle-tennessee.html,"Thu, Jan 12, 2017",8:00p,REG,Marshall,CUSA,W,69,57,14,3,W 4,Murphy Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/marshall/men/2017.html,/cbb/conferences/cusa/men/2017.html,0.18,,
17,/cbb/boxscores/2017-01-14-middle-tennessee.html,"Sat, Jan 14, 2017",8:00p,REG,Western Kentucky,CUSA,W,91,76,15,3,W 5,Murphy Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/western-kentucky/men/2017.html,/cbb/conferences/cusa/men/2017.html,-5.80,,
18,/cbb/boxscores/2017-01-19-florida-international.html,"Thu, Jan 19, 2017",7:00p,REG,Florida International,CUSA,W,65,52,16,3,W 6,FIU Arena,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/florida-international/men/2017.html,/cbb/conferences/cusa/men/2017.html,-8.10,@,
19,/cbb/boxscores/2017-01-21-florida-atlantic.html,"Sat, Jan 21, 2017",7:00p,REG,Florida Atlantic,CUSA,W,86,57,17,3,W 7,FAU Arena,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/florida-atlantic/men/2017.html,/cbb/conferences/cusa/men/2017.html,-7.95,@,
20,/cbb/boxscores/2017-01-26-middle-tennessee.html,"Thu, Jan 26, 2017",7:30p,REG,Southern Mississippi,CUSA,W,72,56,18,3,W 8,Murphy Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/southern-mississippi/men/2017.html,/cbb/conferences/cusa/men/2017.html,-13.40,,
21,/cbb/boxscores/2017-01-28-middle-tennessee.html,"Sat, Jan 28, 2017",6:00p,REG,Louisiana Tech,CUSA,W,71,61,19,3,W 9,Murphy Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/louisiana-tech/men/2017.html,/cbb/conferences/cusa/men/2017.html,5.20,,
22,/cbb/boxscores/2017-02-02-texas-san-antonio.html,"Thu, Feb 2, 2017",8:00p,REG,UTSA,CUSA,W,69,59,20,3,W 10,Convocation Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/texas-san-antonio/men/2017.html,/cbb/conferences/cusa/men/2017.html,-7.42,@,
23,/cbb/boxscores/2017-02-04-texas-el-paso.html,"Sat, Feb 4, 2017",8:00p,REG,UTEP,CUSA,L,54,57,20,4,L 1,Don Haskins Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/texas-el-paso/men/2017.html,/cbb/conferences/cusa/men/2017.html,-3.13,@,
24,/cbb/boxscores/2017-02-09-middle-tennessee.html,"Thu, Feb 9, 2017",8:00p,REG,Old Dominion,CUSA,W,64,51,21,4,W 1,Murphy Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/old-dominion/men/2017.html,/cbb/conferences/cusa/men/2017.html,1.94,,
25,/cbb/boxscores/2017-02-11-middle-tennessee.html,"Sat, Feb 11, 2017",6:00p,REG,Charlotte,CUSA,W,70,55,22,4,W 2,Murphy Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/charlotte/men/2017.html,/cbb/conferences/cusa/men/2017.html,-5.24,,
26,/cbb/boxscores/2017-02-16-western-kentucky.html,"Thu, Feb 16, 2017",9:00p,REG,Western Kentucky,CUSA,W,78,52,23,4,W 3,E. A. Diddle Arena,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/western-kentucky/men/2017.html,/cbb/conferences/cusa/men/2017.html,-5.80,@,
27,/cbb/boxscores/2017-02-18-marshall.html,"Sat, Feb 18, 2017",6:00p,REG,Marshall,CUSA,W,97,86,24,4,W 4,Cam Henderson Center,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/marshall/men/2017.html,/cbb/conferences/cusa/men/2017.html,0.18,@,
28,/cbb/boxscores/2017-02-26-alabama-birmingham.html,"Sun, Feb 26, 2017",1:00p,REG,UAB,CUSA,W,66,64,25,4,W 5,Bartow Arena,/cbb/schools/middle-tennessee/men/2017.html,/cbb/schools/alabama-birmingham/men/2017.html,/cbb/conferences/cusa/men/2017.html,-1.17,@,
