,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2016-11-11-west-virginia.html,"Fri, Nov 11, 2016",7:00p,REG,@,/cbb/schools/west-virginia/men/2017.html,West Virginia,/cbb/conferences/big-12/men/2017.html,Big 12,24.45,L,59,87,0,1,L 1,WVU Coliseum,/cbb/schools/mount-st-marys/men/2017.html,
1,/cbb/boxscores/2016-11-14-iowa-state.html,"Mon, Nov 14, 2016",8:00p,REG,@,/cbb/schools/iowa-state/men/2017.html,Iowa State,/cbb/conferences/big-12/men/2017.html,Big 12,20.51,L,55,73,0,2,L 2,James H. Hilton Coliseum,/cbb/schools/mount-st-marys/men/2017.html,
2,/cbb/boxscores/2016-11-16-minnesota.html,"Wed, Nov 16, 2016",8:00p,REG,@,/cbb/schools/minnesota/men/2017.html,Minnesota,/cbb/conferences/big-ten/men/2017.html,Big Ten,14.56,L,56,80,0,3,L 3,Williams Arena,/cbb/schools/mount-st-marys/men/2017.html,
3,/cbb/boxscores/2016-11-18-george-mason.html,"Fri, Nov 18, 2016",7:30p,REG,@,/cbb/schools/george-mason/men/2017.html,George Mason,/cbb/conferences/atlantic-10/men/2017.html,A-10,3.01,W,78,76,1,3,W 1,EagleBank Arena,/cbb/schools/mount-st-marys/men/2017.html,OT
4,/cbb/boxscores/2016-11-21-southern-illinois.html,"Mon, Nov 21, 2016",8:00p,REG,@,/cbb/schools/southern-illinois/men/2017.html,Southern Illinois,/cbb/conferences/mvc/men/2017.html,MVC,1.09,L,63,73,1,4,L 1,SIU Arena,/cbb/schools/mount-st-marys/men/2017.html,
5,/cbb/boxscores/2016-11-23-texas-arlington.html,"Wed, Nov 23, 2016",8:00p,REG,@,/cbb/schools/texas-arlington/men/2017.html,UT Arlington,/cbb/conferences/sun-belt/men/2017.html,Sun Belt,5.92,L,71,80,1,5,L 2,College Park Center,/cbb/schools/mount-st-marys/men/2017.html,
6,/cbb/boxscores/2016-11-26-michigan.html,"Sat, Nov 26, 2016",7:00p,REG,@,/cbb/schools/michigan/men/2017.html,Michigan,/cbb/conferences/big-ten/men/2017.html,Big Ten,18.80,L,47,64,1,6,L 3,Crisler Center,/cbb/schools/mount-st-marys/men/2017.html,
7,/cbb/boxscores/2016-11-28-arkansas.html,"Mon, Nov 28, 2016",8:00p,REG,@,/cbb/schools/arkansas/men/2017.html,Arkansas,/cbb/conferences/sec/men/2017.html,SEC,14.04,L,76,89,1,7,L 4,Bud Walton Arena,/cbb/schools/mount-st-marys/men/2017.html,
8,/cbb/boxscores/2016-12-03-loyola-md.html,"Sat, Dec 3, 2016",4:00p,REG,@,/cbb/schools/loyola-md/men/2017.html,Loyola (MD),/cbb/conferences/patriot/men/2017.html,Patriot,-6.32,L,57,64,1,8,L 5,Reitz Arena,/cbb/schools/mount-st-marys/men/2017.html,
9,/cbb/boxscores/2016-12-07-mount-st-marys.html,"Wed, Dec 7, 2016",7:00p,REG,,/cbb/schools/maryland-baltimore-county/men/2017.html,Maryland-Baltimore County,/cbb/conferences/america-east/men/2017.html,AEC,-3.84,L,70,78,1,9,L 6,Knott Arena,/cbb/schools/mount-st-marys/men/2017.html,
10,/cbb/boxscores/2016-12-10-mount-st-marys.html,"Sat, Dec 10, 2016",4:00p,REG,,/cbb/schools/lehigh/men/2017.html,Lehigh,/cbb/conferences/patriot/men/2017.html,Patriot,1.54,L,71,90,1,10,L 7,Knott Arena,/cbb/schools/mount-st-marys/men/2017.html,
11,/cbb/boxscores/2016-12-19-bucknell.html,"Mon, Dec 19, 2016",7:00p,REG,@,/cbb/schools/bucknell/men/2017.html,Bucknell,/cbb/conferences/patriot/men/2017.html,Patriot,5.89,L,65,81,1,11,L 8,Sojka Pavilion,/cbb/schools/mount-st-marys/men/2017.html,
12,/cbb/boxscores/2016-12-22-mount-st-marys.html,"Thu, Dec 22, 2016",7:00p,REG,,/cbb/schools/coppin-state/men/2017.html,Coppin State,/cbb/conferences/meac/men/2017.html,MEAC,-21.51,W,87,49,2,11,W 1,Knott Arena,/cbb/schools/mount-st-marys/men/2017.html,
13,/cbb/boxscores/2016-12-29-long-island-university.html,"Thu, Dec 29, 2016",4:30p,REG,@,/cbb/schools/long-island-university/men/2017.html,Long Island University,/cbb/conferences/northeast/men/2017.html,NEC,-7.80,W,67,65,3,11,W 2,Steinberg Wellness Center,/cbb/schools/mount-st-marys/men/2017.html,
14,/cbb/boxscores/2016-12-31-mount-st-marys.html,"Sat, Dec 31, 2016",2:00p,REG,,/cbb/schools/wagner/men/2017.html,Wagner,/cbb/conferences/northeast/men/2017.html,NEC,-7.13,W,57,56,4,11,W 3,Knott Arena,/cbb/schools/mount-st-marys/men/2017.html,
15,/cbb/boxscores/2017-01-05-bryant.html,"Thu, Jan 5, 2017",7:00p,REG,@,/cbb/schools/bryant/men/2017.html,Bryant,/cbb/conferences/northeast/men/2017.html,NEC,-9.69,L,71,72,4,12,L 1,Chase Athletic Center,/cbb/schools/mount-st-marys/men/2017.html,
16,/cbb/boxscores/2017-01-07-central-connecticut-state.html,"Sat, Jan 7, 2017",3:30p,REG,@,/cbb/schools/central-connecticut-state/men/2017.html,Central Connecticut State,/cbb/conferences/northeast/men/2017.html,NEC,-17.51,W,77,68,5,12,W 1,Detrick Gymnasium,/cbb/schools/mount-st-marys/men/2017.html,
17,/cbb/boxscores/2017-01-12-mount-st-marys.html,"Thu, Jan 12, 2017",7:00p,REG,,/cbb/schools/fairleigh-dickinson/men/2017.html,FDU,/cbb/conferences/northeast/men/2017.html,NEC,-9.28,W,77,70,6,12,W 2,Knott Arena,/cbb/schools/mount-st-marys/men/2017.html,
18,/cbb/boxscores/2017-01-14-mount-st-marys.html,"Sat, Jan 14, 2017",4:00p,REG,,/cbb/schools/saint-francis-pa/men/2017.html,Saint Francis (PA),/cbb/conferences/northeast/men/2017.html,NEC,-8.13,W,78,72,7,12,W 3,Knott Arena,/cbb/schools/mount-st-marys/men/2017.html,
19,/cbb/boxscores/2017-01-19-sacred-heart.html,"Thu, Jan 19, 2017",7:00p,REG,@,/cbb/schools/sacred-heart/men/2017.html,Sacred Heart,/cbb/conferences/northeast/men/2017.html,NEC,-10.95,W,86,75,8,12,W 4,William H. Pitt Center,/cbb/schools/mount-st-marys/men/2017.html,
20,/cbb/boxscores/2017-01-21-st-francis-ny.html,"Sat, Jan 21, 2017",4:00p,REG,@,/cbb/schools/st-francis-ny/men/2017.html,St. Francis (NY),/cbb/conferences/northeast/men/2017.html,NEC,-19.24,W,55,47,9,12,W 5,Generoso Pope Athletic Complex,/cbb/schools/mount-st-marys/men/2017.html,
21,/cbb/boxscores/2017-01-26-mount-st-marys.html,"Thu, Jan 26, 2017",7:00p,REG,,/cbb/schools/robert-morris/men/2017.html,Robert Morris,/cbb/conferences/northeast/men/2017.html,NEC,-8.56,W,48,47,10,12,W 6,Knott Arena,/cbb/schools/mount-st-marys/men/2017.html,
22,/cbb/boxscores/2017-01-28-mount-st-marys.html,"Sat, Jan 28, 2017",4:00p,REG,,/cbb/schools/sacred-heart/men/2017.html,Sacred Heart,/cbb/conferences/northeast/men/2017.html,NEC,-10.95,W,67,53,11,12,W 7,Knott Arena,/cbb/schools/mount-st-marys/men/2017.html,
23,/cbb/boxscores/2017-02-02-mount-st-marys.html,"Thu, Feb 2, 2017",7:00p,REG,,/cbb/schools/bryant/men/2017.html,Bryant,/cbb/conferences/northeast/men/2017.html,NEC,-9.69,W,77,70,12,12,W 8,Knott Arena,/cbb/schools/mount-st-marys/men/2017.html,
24,/cbb/boxscores/2017-02-04-mount-st-marys.html,"Sat, Feb 4, 2017",4:00p,REG,,/cbb/schools/central-connecticut-state/men/2017.html,Central Connecticut State,/cbb/conferences/northeast/men/2017.html,NEC,-17.51,L,52,54,12,13,L 1,Knott Arena,/cbb/schools/mount-st-marys/men/2017.html,
25,/cbb/boxscores/2017-02-09-robert-morris.html,"Thu, Feb 9, 2017",7:00p,REG,@,/cbb/schools/robert-morris/men/2017.html,Robert Morris,/cbb/conferences/northeast/men/2017.html,NEC,-8.56,W,74,70,13,13,W 1,Charles L. Sewall Center,/cbb/schools/mount-st-marys/men/2017.html,
26,/cbb/boxscores/2017-02-11-saint-francis-pa.html,"Sat, Feb 11, 2017",1:00p,REG,@,/cbb/schools/saint-francis-pa/men/2017.html,Saint Francis (PA),/cbb/conferences/northeast/men/2017.html,NEC,-8.13,W,81,62,14,13,W 2,DeGol Arena,/cbb/schools/mount-st-marys/men/2017.html,
27,/cbb/boxscores/2017-02-16-wagner.html,"Thu, Feb 16, 2017",7:00p,REG,@,/cbb/schools/wagner/men/2017.html,Wagner,/cbb/conferences/northeast/men/2017.html,NEC,-7.13,L,65,69,14,14,L 1,Spiro Sports Center,/cbb/schools/mount-st-marys/men/2017.html,
28,/cbb/boxscores/2017-02-18-fairleigh-dickinson.html,"Sat, Feb 18, 2017",4:00p,REG,@,/cbb/schools/fairleigh-dickinson/men/2017.html,FDU,/cbb/conferences/northeast/men/2017.html,NEC,-9.28,W,79,74,15,14,W 1,Rothman Center,/cbb/schools/mount-st-marys/men/2017.html,
29,/cbb/boxscores/2017-02-23-mount-st-marys.html,"Thu, Feb 23, 2017",7:00p,REG,,/cbb/schools/long-island-university/men/2017.html,Long Island University,/cbb/conferences/northeast/men/2017.html,NEC,-7.80,L,58,62,15,15,L 1,Knott Arena,/cbb/schools/mount-st-marys/men/2017.html,
30,/cbb/boxscores/2017-02-25-mount-st-marys.html,"Sat, Feb 25, 2017",4:00p,REG,,/cbb/schools/st-francis-ny/men/2017.html,St. Francis (NY),/cbb/conferences/northeast/men/2017.html,NEC,-19.24,W,77,62,16,15,W 1,Knott Arena,/cbb/schools/mount-st-marys/men/2017.html,
31,/cbb/boxscores/2017-03-01-mount-st-marys.html,"Wed, Mar 1, 2017",7:00p,CTOURN,,/cbb/schools/sacred-heart/men/2017.html,Sacred Heart,/cbb/conferences/northeast/men/2017.html,NEC,-10.95,W,76,73,17,15,W 2,Knott Arena,/cbb/schools/mount-st-marys/men/2017.html,
32,/cbb/boxscores/2017-03-04-mount-st-marys.html,"Sat, Mar 4, 2017",2:00p,CTOURN,,/cbb/schools/robert-morris/men/2017.html,Robert Morris,/cbb/conferences/northeast/men/2017.html,NEC,-8.56,W,75,66,18,15,W 3,Knott Arena,/cbb/schools/mount-st-marys/men/2017.html,
33,/cbb/boxscores/2017-03-07-mount-st-marys.html,"Tue, Mar 7, 2017",7:00p,CTOURN,,/cbb/schools/saint-francis-pa/men/2017.html,Saint Francis (PA),/cbb/conferences/northeast/men/2017.html,NEC,-8.13,W,71,61,19,15,W 4,Knott Arena,/cbb/schools/mount-st-marys/men/2017.html,
34,/cbb/boxscores/2017-03-14-mount-st-marys.html,"Tue, Mar 14, 2017",6:40p,NCAA,N,/cbb/schools/new-orleans/men/2017.html,New Orleans,/cbb/conferences/southland/men/2017.html,Southland,-4.10,W,67,66,20,15,W 5,University of Dayton Arena,/cbb/schools/mount-st-marys/men/2017.html,
35,/cbb/boxscores/2017-03-16-villanova.html,"Thu, Mar 16, 2017",7:10p,NCAA,N,/cbb/schools/villanova/men/2017.html,Villanova,/cbb/conferences/big-east/men/2017.html,Big East,23.80,L,56,76,20,16,L 1,KeyBank Center,/cbb/schools/mount-st-marys/men/2017.html,
