,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2016-11-11-north-carolina-wilmington.html,"Fri, Nov 11, 2016",7:30p,REG,Claflin,,W,110,64,1,0,W 1,Trask Coliseum,/cbb/schools/north-carolina-wilmington/men/2017.html,,,,,
1,/cbb/boxscores/2016-11-14-eastern-kentucky.html,"Mon, Nov 14, 2016",7:00p,REG,Eastern Kentucky,OVC,W,78,69,2,0,W 2,McBrayer Arena,/cbb/schools/north-carolina-wilmington/men/2017.html,@,/cbb/schools/eastern-kentucky/men/2017.html,/cbb/conferences/ovc/men/2017.html,-8.65,OT
2,/cbb/boxscores/2016-11-20-north-carolina-wilmington.html,"Sun, Nov 20, 2016",3:00p,REG,East Tennessee State,Southern,W,68,59,3,0,W 3,Trask Coliseum,/cbb/schools/north-carolina-wilmington/men/2017.html,,/cbb/schools/east-tennessee-state/men/2017.html,/cbb/conferences/southern/men/2017.html,7.31,
3,/cbb/boxscores/2016-11-25-north-carolina-wilmington.html,"Fri, Nov 25, 2016",8:30p,REG,Middle Tennessee,CUSA,L,63,68,3,1,L 1,Nashville Municipal Auditorium,/cbb/schools/north-carolina-wilmington/men/2017.html,N,/cbb/schools/middle-tennessee/men/2017.html,/cbb/conferences/cusa/men/2017.html,9.80,
4,/cbb/boxscores/2016-11-26-evansville.html,"Sat, Nov 26, 2016",6:00p,REG,Evansville,MVC,W,65,62,4,1,W 1,Nashville Municipal Auditorium,/cbb/schools/north-carolina-wilmington/men/2017.html,N,/cbb/schools/evansville/men/2017.html,/cbb/conferences/mvc/men/2017.html,1.45,
5,/cbb/boxscores/2016-11-27-north-carolina-wilmington.html,"Sun, Nov 27, 2016",4:00p,REG,Toledo,MAC,W,102,77,5,1,W 2,Nashville Municipal Auditorium,/cbb/schools/north-carolina-wilmington/men/2017.html,N,/cbb/schools/toledo/men/2017.html,/cbb/conferences/mac/men/2017.html,1.16,
6,/cbb/boxscores/2016-11-30-western-michigan.html,"Wed, Nov 30, 2016",7:00p,REG,Western Michigan,MAC,W,97,92,6,1,W 3,University Arena,/cbb/schools/north-carolina-wilmington/men/2017.html,@,/cbb/schools/western-michigan/men/2017.html,/cbb/conferences/mac/men/2017.html,-0.78,
7,/cbb/boxscores/2016-12-03-north-carolina-wilmington.html,"Sat, Dec 3, 2016",1:00p,REG,Pfeiffer,,W,126,113,7,1,W 4,Trask Coliseum,/cbb/schools/north-carolina-wilmington/men/2017.html,,,,,
8,/cbb/boxscores/2016-12-10-st-bonaventure.html,"Sat, Dec 10, 2016",6:00p,REG,St. Bonaventure,A-10,W,81,80,8,1,W 5,Reilly Center,/cbb/schools/north-carolina-wilmington/men/2017.html,@,/cbb/schools/st-bonaventure/men/2017.html,/cbb/conferences/atlantic-10/men/2017.html,5.95,
9,/cbb/boxscores/2016-12-14-campbell.html,"Wed, Dec 14, 2016",7:00p,REG,Campbell,Big South,W,96,75,9,1,W 6,John W. Pope Jr. Convocation Center,/cbb/schools/north-carolina-wilmington/men/2017.html,@,/cbb/schools/campbell/men/2017.html,/cbb/conferences/big-south/men/2017.html,-9.68,
