,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2016-11-11-oklahoma-state.html,"Fri, Nov 11, 2016",8:00p,REG,/cbb/schools/campbell/men/2017.html,Campbell,/cbb/conferences/big-south/men/2017.html,Big South,-9.68,W,102,65,1,0,W 1,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2017.html,
1,/cbb/boxscores/2016-11-14-oklahoma-state.html,"Mon, Nov 14, 2016",8:00p,REG,/cbb/schools/central-arkansas/men/2017.html,Central Arkansas,/cbb/conferences/southland/men/2017.html,Southland,-13.04,W,102,90,2,0,W 2,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2017.html,
2,/cbb/boxscores/2016-11-16-oklahoma-state.html,"Wed, Nov 16, 2016",8:00p,REG,/cbb/schools/new-orleans/men/2017.html,New Orleans,/cbb/conferences/southland/men/2017.html,Southland,-4.10,W,117,72,3,0,W 3,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2017.html,
3,/cbb/boxscores/2016-11-21-connecticut.html,"Mon, Nov 21, 2016",9:00p,REG,/cbb/schools/connecticut/men/2017.html,Connecticut,/cbb/conferences/aac/men/2017.html,AAC,7.23,W,98,90,4,0,W 4,Lahaina Civic Center,/cbb/schools/oklahoma-state/men/2017.html,N
4,/cbb/boxscores/2016-11-22-north-carolina.html,"Tue, Nov 22, 2016",10:30p,REG,/cbb/schools/north-carolina/men/2017.html,North Carolina,/cbb/conferences/acc/men/2017.html,ACC,24.84,L,75,107,4,1,L 1,Lahaina Civic Center,/cbb/schools/oklahoma-state/men/2017.html,N
5,/cbb/boxscores/2016-11-23-oklahoma-state.html,"Wed, Nov 23, 2016",7:30p,REG,/cbb/schools/georgetown/men/2017.html,Georgetown,/cbb/conferences/big-east/men/2017.html,Big East,11.18,W,97,70,5,1,W 1,Lahaina Civic Center,/cbb/schools/oklahoma-state/men/2017.html,N
6,/cbb/boxscores/2016-11-30-oklahoma-state.html,"Wed, Nov 30, 2016",8:00p,REG,,Rogers State,,,,W,101,85,6,1,W 2,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2017.html,
7,/cbb/boxscores/2016-12-03-maryland.html,"Sat, Dec 3, 2016",9:00p,REG,/cbb/schools/maryland/men/2017.html,Maryland,/cbb/conferences/big-ten/men/2017.html,Big Ten,12.79,L,70,71,6,2,L 1,Xfinity Center,/cbb/schools/oklahoma-state/men/2017.html,@
8,/cbb/boxscores/2016-12-10-tulsa.html,"Sat, Dec 10, 2016",5:00p,REG,/cbb/schools/tulsa/men/2017.html,Tulsa,/cbb/conferences/aac/men/2017.html,AAC,2.45,W,71,67,7,2,W 1,Donald W. Reynolds Center,/cbb/schools/oklahoma-state/men/2017.html,@
9,/cbb/boxscores/2016-12-14-oklahoma-state.html,"Wed, Dec 14, 2016",9:00p,REG,/cbb/schools/arkansas-pine-bluff/men/2017.html,Arkansas-Pine Bluff,/cbb/conferences/swac/men/2017.html,SWAC,-22.81,W,102,66,8,2,W 2,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2017.html,
10,/cbb/boxscores/2016-12-17-wichita-state.html,"Sat, Dec 17, 2016",7:00p,REG,/cbb/schools/wichita-state/men/2017.html,Wichita State,/cbb/conferences/mvc/men/2017.html,MVC,21.24,W,93,76,9,2,W 3,Charles Koch Arena,/cbb/schools/oklahoma-state/men/2017.html,@
11,/cbb/boxscores/2016-12-22-oklahoma-state.html,"Thu, Dec 22, 2016",1:00p,REG,/cbb/schools/texas-am-corpus-christi/men/2017.html,Texas A&M-Corpus Christi,/cbb/conferences/southland/men/2017.html,Southland,-2.97,W,92,70,10,2,W 4,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2017.html,
12,/cbb/boxscores/2016-12-30-oklahoma-state.html,"Fri, Dec 30, 2016",4:00p,REG,/cbb/schools/west-virginia/men/2017.html,West Virginia,/cbb/conferences/big-12/men/2017.html,Big 12,24.45,L,75,92,10,3,L 1,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2017.html,
13,/cbb/boxscores/2017-01-04-texas.html,"Wed, Jan 4, 2017",8:00p,REG,/cbb/schools/texas/men/2017.html,Texas,/cbb/conferences/big-12/men/2017.html,Big 12,10.99,L,79,82,10,4,L 2,Frank Erwin Center,/cbb/schools/oklahoma-state/men/2017.html,@
14,/cbb/boxscores/2017-01-07-baylor.html,"Sat, Jan 7, 2017",7:00p,REG,/cbb/schools/baylor/men/2017.html,Baylor,/cbb/conferences/big-12/men/2017.html,Big 12,19.75,L,57,61,10,5,L 3,Ferrell Center,/cbb/schools/oklahoma-state/men/2017.html,@
15,/cbb/boxscores/2017-01-11-oklahoma-state.html,"Wed, Jan 11, 2017",9:00p,REG,/cbb/schools/iowa-state/men/2017.html,Iowa State,/cbb/conferences/big-12/men/2017.html,Big 12,20.51,L,86,96,10,6,L 4,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2017.html,
