,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2016-11-14-brigham-young.html,"Mon, Nov 14, 2016",10:00p,REG,@,/cbb/schools/brigham-young/men/2017.html,Brigham Young,/cbb/conferences/wcc/men/2017.html,WCC,8.22,L,73,82,0,1,L 1,Marriott Center,/cbb/schools/princeton/men/2017.html,
1,/cbb/boxscores/2016-11-20-lehigh.html,"Sun, Nov 20, 2016",2:00p,REG,@,/cbb/schools/lehigh/men/2017.html,Lehigh,/cbb/conferences/patriot/men/2017.html,Patriot,1.54,L,67,76,0,2,L 2,Stabler Arena,/cbb/schools/princeton/men/2017.html,
2,/cbb/boxscores/2016-11-23-lafayette.html,"Wed, Nov 23, 2016",7:00p,REG,@,/cbb/schools/lafayette/men/2017.html,Lafayette,/cbb/conferences/patriot/men/2017.html,Patriot,-14.68,W,71,55,1,2,W 1,Kirby Sports Center,/cbb/schools/princeton/men/2017.html,
3,/cbb/boxscores/2016-11-25-princeton.html,"Fri, Nov 25, 2016",5:00p,REG,,,Rowan,,,,W,108,46,2,2,W 2,Jadwin Gymnasium,/cbb/schools/princeton/men/2017.html,
4,/cbb/boxscores/2016-11-29-virginia-commonwealth.html,"Tue, Nov 29, 2016",7:00p,REG,@,/cbb/schools/virginia-commonwealth/men/2017.html,Virginia Commonwealth,/cbb/conferences/atlantic-10/men/2017.html,A-10,11.57,L,70,81,2,3,L 1,Stuart Siegel Center,/cbb/schools/princeton/men/2017.html,
5,/cbb/boxscores/2016-12-06-princeton.html,"Tue, Dec 6, 2016",7:00p,REG,N,/cbb/schools/california/men/2017.html,California,/cbb/conferences/pac-12/men/2017.html,Pac-12,11.11,L,51,62,2,4,L 2,Bloch Arena,/cbb/schools/princeton/men/2017.html,
6,/cbb/boxscores/2016-12-07-princeton.html,"Wed, Dec 7, 2016",9:30p,REG,N,/cbb/schools/hawaii/men/2017.html,Hawaii,/cbb/conferences/big-west/men/2017.html,Big West,-6.19,W,75,62,3,4,W 1,Bloch Arena,/cbb/schools/princeton/men/2017.html,
7,/cbb/boxscores/2016-12-10-liberty.html,"Sat, Dec 10, 2016",2:00p,REG,@,/cbb/schools/liberty/men/2017.html,Liberty,/cbb/conferences/big-south/men/2017.html,Big South,-5.51,W,67,64,4,4,W 2,Vines Center,/cbb/schools/princeton/men/2017.html,
8,/cbb/boxscores/2016-12-14-princeton.html,"Wed, Dec 14, 2016",5:00p,REG,,/cbb/schools/saint-josephs/men/2017.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2017.html,A-10,0.14,L,68,76,4,5,L 1,Jadwin Gymnasium,/cbb/schools/princeton/men/2017.html,
9,/cbb/boxscores/2016-12-20-monmouth.html,"Tue, Dec 20, 2016",7:00p,REG,@,/cbb/schools/monmouth/men/2017.html,Monmouth,/cbb/conferences/maac/men/2017.html,MAAC,4.94,L,90,96,4,6,L 2,OceanFirst Bank Center,/cbb/schools/princeton/men/2017.html,
