,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2016-11-11-saint-marys-ca.html,"Fri, Nov 11, 2016",11:00p,REG,/cbb/schools/nevada/men/2017.html,Nevada,/cbb/conferences/mwc/men/2017.html,MWC,10.49,W,81,63,1,0,W 1,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2017.html,
1,/cbb/boxscores/2016-11-16-saint-marys-ca.html,"Wed, Nov 16, 2016",10:00p,REG,/cbb/schools/prairie-view/men/2017.html,Prairie View,/cbb/conferences/swac/men/2017.html,SWAC,-14.54,W,110,72,2,0,W 2,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2017.html,
2,/cbb/boxscores/2016-11-19-dayton.html,"Sat, Nov 19, 2016",2:00p,REG,/cbb/schools/dayton/men/2017.html,Dayton,/cbb/conferences/atlantic-10/men/2017.html,A-10,12.98,W,61,57,3,0,W 3,University of Dayton Arena,/cbb/schools/saint-marys-ca/men/2017.html,@
3,/cbb/boxscores/2016-11-22-saint-marys-ca.html,"Tue, Nov 22, 2016",10:00p,REG,/cbb/schools/san-jose-state/men/2017.html,San Jose State,/cbb/conferences/mwc/men/2017.html,MWC,-2.84,W,81,64,4,0,W 4,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2017.html,
4,/cbb/boxscores/2016-11-27-saint-marys-ca.html,"Sun, Nov 27, 2016",5:00p,REG,/cbb/schools/alabama-birmingham/men/2017.html,UAB,/cbb/conferences/cusa/men/2017.html,CUSA,-1.17,W,76,63,5,0,W 5,Orleans Arena,/cbb/schools/saint-marys-ca/men/2017.html,N
5,/cbb/boxscores/2016-11-30-stanford.html,"Wed, Nov 30, 2016",11:00p,REG,/cbb/schools/stanford/men/2017.html,Stanford,/cbb/conferences/pac-12/men/2017.html,Pac-12,6.39,W,66,51,6,0,W 6,Maples Pavilion,/cbb/schools/saint-marys-ca/men/2017.html,@
6,/cbb/boxscores/2016-12-08-saint-marys-ca.html,"Thu, Dec 8, 2016",10:00p,REG,/cbb/schools/texas-arlington/men/2017.html,UT Arlington,/cbb/conferences/sun-belt/men/2017.html,Sun Belt,5.92,L,51,65,6,1,L 1,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2017.html,
7,/cbb/boxscores/2016-12-11-saint-marys-ca.html,"Sun, Dec 11, 2016",8:00p,REG,/cbb/schools/california-irvine/men/2017.html,UC Irvine,/cbb/conferences/big-west/men/2017.html,Big West,0.18,W,84,53,7,1,W 1,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2017.html,
8,/cbb/boxscores/2016-12-14-saint-marys-ca.html,"Wed, Dec 14, 2016",10:00p,REG,/cbb/schools/western-kentucky/men/2017.html,Western Kentucky,/cbb/conferences/cusa/men/2017.html,CUSA,-5.80,W,73,51,8,1,W 2,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2017.html,
9,/cbb/boxscores/2016-12-20-saint-marys-ca.html,"Tue, Dec 20, 2016",10:00p,REG,/cbb/schools/texas-am-corpus-christi/men/2017.html,Texas A&M-Corpus Christi,/cbb/conferences/southland/men/2017.html,Southland,-2.97,W,67,46,9,1,W 3,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2017.html,
