,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes,game_location
0,/cbb/boxscores/2016-11-11-south-carolina.html,"Fri, Nov 11, 2016",6:30p,REG,/cbb/schools/louisiana-tech/men/2017.html,Louisiana Tech,/cbb/conferences/cusa/men/2017.html,CUSA,5.20,W,85,76,1,0,W 1,Colonial Life Arena,/cbb/schools/south-carolina/men/2017.html,,
1,/cbb/boxscores/2016-11-13-south-carolina.html,"Sun, Nov 13, 2016",6:00p,REG,/cbb/schools/holy-cross/men/2017.html,Holy Cross,/cbb/conferences/patriot/men/2017.html,Patriot,-5.26,W,81,49,2,0,W 2,Colonial Life Arena,/cbb/schools/south-carolina/men/2017.html,,
2,/cbb/boxscores/2016-11-15-south-carolina.html,"Tue, Nov 15, 2016",6:30p,REG,/cbb/schools/monmouth/men/2017.html,Monmouth,/cbb/conferences/maac/men/2017.html,MAAC,4.94,W,70,69,3,0,W 3,Colonial Life Arena,/cbb/schools/south-carolina/men/2017.html,OT,
3,/cbb/boxscores/2016-11-18-south-carolina.html,"Fri, Nov 18, 2016",6:30p,REG,/cbb/schools/south-carolina-state/men/2017.html,South Carolina State,/cbb/conferences/meac/men/2017.html,MEAC,-18.37,W,92,50,4,0,W 4,Colonial Life Arena,/cbb/schools/south-carolina/men/2017.html,,
4,/cbb/boxscores/2016-11-23-south-carolina.html,"Wed, Nov 23, 2016",5:00p,REG,/cbb/schools/michigan/men/2017.html,Michigan,/cbb/conferences/big-ten/men/2017.html,Big Ten,18.80,W,61,46,5,0,W 5,Colonial Life Arena,/cbb/schools/south-carolina/men/2017.html,,
5,/cbb/boxscores/2016-11-26-syracuse.html,"Sat, Nov 26, 2016",2:00p,REG,/cbb/schools/syracuse/men/2017.html,Syracuse,/cbb/conferences/acc/men/2017.html,ACC,13.70,W,64,50,6,0,W 6,Barclays Center,/cbb/schools/south-carolina/men/2017.html,,N
6,/cbb/boxscores/2016-12-01-south-carolina.html,"Thu, Dec 1, 2016",6:30p,REG,/cbb/schools/vermont/men/2017.html,Vermont,/cbb/conferences/america-east/men/2017.html,AEC,6.67,W,68,50,7,0,W 7,Colonial Life Arena,/cbb/schools/south-carolina/men/2017.html,,
7,/cbb/boxscores/2016-12-04-south-carolina.html,"Sun, Dec 4, 2016",2:00p,REG,/cbb/schools/florida-international/men/2017.html,Florida International,/cbb/conferences/cusa/men/2017.html,CUSA,-8.10,W,70,54,8,0,W 8,Colonial Life Arena,/cbb/schools/south-carolina/men/2017.html,,
8,/cbb/boxscores/2016-12-12-seton-hall.html,"Mon, Dec 12, 2016",9:00p,REG,/cbb/schools/seton-hall/men/2017.html,Seton Hall,/cbb/conferences/big-east/men/2017.html,Big East,12.10,L,64,67,8,1,L 1,Madison Square Garden (IV),/cbb/schools/south-carolina/men/2017.html,,N
9,/cbb/boxscores/2016-12-17-south-florida.html,"Sat, Dec 17, 2016",1:00p,REG,/cbb/schools/south-florida/men/2017.html,South Florida,/cbb/conferences/aac/men/2017.html,AAC,-7.28,W,77,66,9,1,W 1,Sun Dome,/cbb/schools/south-carolina/men/2017.html,,@
10,/cbb/boxscores/2016-12-21-south-carolina.html,"Wed, Dec 21, 2016",9:00p,REG,/cbb/schools/clemson/men/2017.html,Clemson,/cbb/conferences/acc/men/2017.html,ACC,13.22,L,60,62,9,2,L 1,Colonial Life Arena,/cbb/schools/south-carolina/men/2017.html,,
11,/cbb/boxscores/2016-12-27-south-carolina.html,"Tue, Dec 27, 2016",7:00p,REG,,Lander,,,,W,90,62,10,2,W 1,Colonial Life Arena,/cbb/schools/south-carolina/men/2017.html,,
12,/cbb/boxscores/2016-12-30-memphis.html,"Fri, Dec 30, 2016",9:00p,REG,/cbb/schools/memphis/men/2017.html,Memphis,/cbb/conferences/aac/men/2017.html,AAC,6.47,L,54,70,10,3,L 1,FedExForum,/cbb/schools/south-carolina/men/2017.html,,@
13,/cbb/boxscores/2017-01-04-georgia.html,"Wed, Jan 4, 2017",7:00p,REG,/cbb/schools/georgia/men/2017.html,Georgia,/cbb/conferences/sec/men/2017.html,SEC,11.13,W,67,61,11,3,W 1,Stegeman Coliseum,/cbb/schools/south-carolina/men/2017.html,,@
14,/cbb/boxscores/2017-01-07-south-carolina.html,"Sat, Jan 7, 2017",1:30p,REG,/cbb/schools/texas-am/men/2017.html,Texas A&M,/cbb/conferences/sec/men/2017.html,SEC,10.36,W,79,68,12,3,W 2,Colonial Life Arena,/cbb/schools/south-carolina/men/2017.html,,
15,/cbb/boxscores/2017-01-11-tennessee.html,"Wed, Jan 11, 2017",6:30p,REG,/cbb/schools/tennessee/men/2017.html,Tennessee,/cbb/conferences/sec/men/2017.html,SEC,11.28,W,70,60,13,3,W 3,Thompson-Boling Arena,/cbb/schools/south-carolina/men/2017.html,,@
16,/cbb/boxscores/2017-01-14-south-carolina.html,"Sat, Jan 14, 2017",6:30p,REG,/cbb/schools/mississippi/men/2017.html,Mississippi,/cbb/conferences/sec/men/2017.html,SEC,9.65,W,67,56,14,3,W 4,Colonial Life Arena,/cbb/schools/south-carolina/men/2017.html,,
