,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2016-11-11-southern-methodist.html,"Fri, Nov 11, 2016",8:00p,REG,/cbb/schools/gardner-webb/men/2017.html,Gardner-Webb,/cbb/conferences/big-south/men/2017.html,Big South,-3.08,W,72,44,1,0,W 1,Moody Coliseum,/cbb/schools/southern-methodist/men/2017.html,
1,/cbb/boxscores/2016-11-13-southern-methodist.html,"Sun, Nov 13, 2016",2:00p,REG,/cbb/schools/eastern-michigan/men/2017.html,Eastern Michigan,/cbb/conferences/mac/men/2017.html,MAC,-0.18,W,91,64,2,0,W 2,Moody Coliseum,/cbb/schools/southern-methodist/men/2017.html,
2,/cbb/boxscores/2016-11-17-southern-methodist.html,"Thu, Nov 17, 2016",7:00p,REG,/cbb/schools/pittsburgh/men/2017.html,Pittsburgh,/cbb/conferences/acc/men/2017.html,ACC,9.25,W,76,67,3,0,W 3,Madison Square Garden (IV),/cbb/schools/southern-methodist/men/2017.html,N
3,/cbb/boxscores/2016-11-18-southern-methodist.html,"Fri, Nov 18, 2016",7:00p,REG,/cbb/schools/michigan/men/2017.html,Michigan,/cbb/conferences/big-ten/men/2017.html,Big Ten,18.80,L,54,76,3,1,L 1,Madison Square Garden (IV),/cbb/schools/southern-methodist/men/2017.html,N
4,/cbb/boxscores/2016-11-22-southern-methodist.html,"Tue, Nov 22, 2016",9:00p,REG,/cbb/schools/california-santa-barbara/men/2017.html,UC Santa Barbara,/cbb/conferences/big-west/men/2017.html,Big West,-13.49,W,84,57,4,1,W 1,Moody Coliseum,/cbb/schools/southern-methodist/men/2017.html,
5,/cbb/boxscores/2016-11-25-southern-california.html,"Fri, Nov 25, 2016",7:00p,REG,/cbb/schools/southern-california/men/2017.html,Southern California,/cbb/conferences/pac-12/men/2017.html,Pac-12,11.48,L,73,78,4,2,L 1,Galen Center,/cbb/schools/southern-methodist/men/2017.html,@
6,/cbb/boxscores/2016-11-30-boise-state.html,"Wed, Nov 30, 2016",9:00p,REG,/cbb/schools/boise-state/men/2017.html,Boise State,/cbb/conferences/mwc/men/2017.html,MWC,5.52,L,62,71,4,3,L 2,Taco Bell Arena,/cbb/schools/southern-methodist/men/2017.html,@
7,/cbb/boxscores/2016-12-02-southern-methodist.html,"Fri, Dec 2, 2016",8:00p,REG,/cbb/schools/cal-state-bakersfield/men/2017.html,Cal State Bakersfield,/cbb/conferences/wac/men/2017.html,WAC,3.21,W,49,43,5,3,W 1,Moody Coliseum,/cbb/schools/southern-methodist/men/2017.html,
8,/cbb/boxscores/2016-12-04-southern-methodist.html,"Sun, Dec 4, 2016",3:00p,REG,/cbb/schools/delaware-state/men/2017.html,Delaware State,/cbb/conferences/meac/men/2017.html,MEAC,-18.81,W,74,60,6,3,W 2,Moody Coliseum,/cbb/schools/southern-methodist/men/2017.html,
9,/cbb/boxscores/2016-12-07-southern-methodist.html,"Wed, Dec 7, 2016",8:00p,REG,/cbb/schools/texas-christian/men/2017.html,TCU,/cbb/conferences/big-12/men/2017.html,Big 12,15.64,W,74,59,7,3,W 3,Moody Coliseum,/cbb/schools/southern-methodist/men/2017.html,
