,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2016-11-12-texas-arlington.html,"Sat, Nov 12, 2016",8:30p,REG,@,/cbb/schools/texas-arlington/men/2017.html,UT Arlington,/cbb/conferences/sun-belt/men/2017.html,Sun Belt,5.92,L,82,89,0,1,L 1,College Park Center,/cbb/schools/texas-southern/men/2017.html,
1,/cbb/boxscores/2016-11-13-delaware-state.html,"Sun, Nov 13, 2016",2:00p,REG,@,/cbb/schools/delaware-state/men/2017.html,Delaware State,/cbb/conferences/meac/men/2017.html,MEAC,-18.81,W,74,61,1,1,W 1,Memorial Hall,/cbb/schools/texas-southern/men/2017.html,
2,/cbb/boxscores/2016-11-16-rice.html,"Wed, Nov 16, 2016",8:00p,REG,@,/cbb/schools/rice/men/2017.html,Rice,/cbb/conferences/cusa/men/2017.html,CUSA,0.51,W,71,68,2,1,W 2,Tudor Fieldhouse,/cbb/schools/texas-southern/men/2017.html,
3,/cbb/boxscores/2016-11-19-la-salle.html,"Sat, Nov 19, 2016",3:00p,REG,@,/cbb/schools/la-salle/men/2017.html,La Salle,/cbb/conferences/atlantic-10/men/2017.html,A-10,1.91,W,77,76,3,1,W 3,Tom Gola Arena,/cbb/schools/texas-southern/men/2017.html,
4,/cbb/boxscores/2016-11-21-james-madison.html,"Mon, Nov 21, 2016",7:00p,REG,@,/cbb/schools/james-madison/men/2017.html,James Madison,/cbb/conferences/colonial/men/2017.html,CAA,-5.64,W,67,56,4,1,W 4,JMU Convocation Center,/cbb/schools/texas-southern/men/2017.html,
5,/cbb/boxscores/2016-11-27-louisiana-lafayette.html,"Sun, Nov 27, 2016",5:00p,REG,@,/cbb/schools/louisiana-lafayette/men/2017.html,Louisiana,/cbb/conferences/sun-belt/men/2017.html,Sun Belt,-0.64,L,73,84,4,2,L 1,Cajundome,/cbb/schools/texas-southern/men/2017.html,
6,/cbb/boxscores/2016-11-30-arizona.html,"Wed, Nov 30, 2016",9:00p,REG,@,/cbb/schools/arizona/men/2017.html,Arizona,/cbb/conferences/pac-12/men/2017.html,Pac-12,18.25,L,63,85,4,3,L 2,McKale Center,/cbb/schools/texas-southern/men/2017.html,
7,/cbb/boxscores/2016-12-03-southern-illinois.html,"Sat, Dec 3, 2016",5:00p,REG,@,/cbb/schools/southern-illinois/men/2017.html,Southern Illinois,/cbb/conferences/mvc/men/2017.html,MVC,1.09,L,70,74,4,4,L 3,SIU Arena,/cbb/schools/texas-southern/men/2017.html,
8,/cbb/boxscores/2016-12-10-louisville.html,"Sat, Dec 10, 2016",2:00p,REG,@,/cbb/schools/louisville/men/2017.html,Louisville,/cbb/conferences/acc/men/2017.html,ACC,22.47,L,71,102,4,5,L 4,KFC Yum! Center,/cbb/schools/texas-southern/men/2017.html,
9,/cbb/boxscores/2016-12-13-cincinnati.html,"Tue, Dec 13, 2016",7:00p,REG,@,/cbb/schools/cincinnati/men/2017.html,Cincinnati,/cbb/conferences/aac/men/2017.html,AAC,18.43,L,58,96,4,6,L 5,Fifth Third Arena,/cbb/schools/texas-southern/men/2017.html,
