,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2016-11-11-marquette.html,"Fri, Nov 11, 2016",6:30p,REG,N,/cbb/schools/marquette/men/2017.html,Marquette,/cbb/conferences/big-east/men/2017.html,Big East,15.26,L,71,95,0,1,L 1,Alumni Hall,/cbb/schools/vanderbilt/men/2017.html,
1,/cbb/boxscores/2016-11-15-vanderbilt.html,"Tue, Nov 15, 2016",9:00p,REG,,/cbb/schools/belmont/men/2017.html,Belmont,/cbb/conferences/ovc/men/2017.html,OVC,4.28,W,80,66,1,1,W 1,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2017.html,
2,/cbb/boxscores/2016-11-18-vanderbilt.html,"Fri, Nov 18, 2016",8:00p,REG,,/cbb/schools/norfolk-state/men/2017.html,Norfolk State,/cbb/conferences/meac/men/2017.html,MEAC,-12.07,W,75,52,2,1,W 2,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2017.html,
3,/cbb/boxscores/2016-11-21-vanderbilt.html,"Mon, Nov 21, 2016",9:00p,REG,,/cbb/schools/bucknell/men/2017.html,Bucknell,/cbb/conferences/patriot/men/2017.html,Patriot,5.89,L,72,75,2,2,L 1,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2017.html,
4,/cbb/boxscores/2016-11-24-vanderbilt.html,"Thu, Nov 24, 2016",8:00p,REG,N,/cbb/schools/butler/men/2017.html,Butler,/cbb/conferences/big-east/men/2017.html,Big East,17.70,L,66,76,2,3,L 2,Orleans Arena,/cbb/schools/vanderbilt/men/2017.html,
5,/cbb/boxscores/2016-11-25-santa-clara.html,"Fri, Nov 25, 2016",8:00p,REG,N,/cbb/schools/santa-clara/men/2017.html,Santa Clara,/cbb/conferences/wcc/men/2017.html,WCC,2.69,W,76,66,3,3,W 1,Orleans Arena,/cbb/schools/vanderbilt/men/2017.html,
6,/cbb/boxscores/2016-11-29-vanderbilt.html,"Tue, Nov 29, 2016",8:00p,REG,,/cbb/schools/tennessee-state/men/2017.html,Tennessee State,/cbb/conferences/ovc/men/2017.html,OVC,-1.57,W,83,59,4,3,W 2,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2017.html,
7,/cbb/boxscores/2016-12-03-minnesota.html,"Sat, Dec 3, 2016",8:00p,REG,N,/cbb/schools/minnesota/men/2017.html,Minnesota,/cbb/conferences/big-ten/men/2017.html,Big Ten,14.56,L,52,56,4,4,L 1,Sanford Pentagon,/cbb/schools/vanderbilt/men/2017.html,
8,/cbb/boxscores/2016-12-06-vanderbilt.html,"Tue, Dec 6, 2016",8:00p,REG,,/cbb/schools/high-point/men/2017.html,High Point,/cbb/conferences/big-south/men/2017.html,Big South,-9.06,W,90,63,5,4,W 1,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2017.html,
9,/cbb/boxscores/2016-12-08-middle-tennessee.html,"Thu, Dec 8, 2016",7:30p,REG,@,/cbb/schools/middle-tennessee/men/2017.html,Middle Tennessee,/cbb/conferences/cusa/men/2017.html,CUSA,9.80,L,48,71,5,5,L 1,Murphy Center,/cbb/schools/vanderbilt/men/2017.html,
10,/cbb/boxscores/2016-12-17-vanderbilt.html,"Sat, Dec 17, 2016",8:30p,REG,,/cbb/schools/chattanooga/men/2017.html,Chattanooga,/cbb/conferences/southern/men/2017.html,Southern,1.10,W,76,74,6,5,W 1,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2017.html,
