,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2016-11-12-quinnipiac.html,"Sat, Nov 12, 2016",1:00p,REG,@,/cbb/schools/quinnipiac/men/2017.html,Quinnipiac,/cbb/conferences/maac/men/2017.html,MAAC,-9.86,W,94,70,1,0,W 1,TD Bank Sports Center,/cbb/schools/vermont/men/2017.html
1,/cbb/boxscores/2016-11-14-providence.html,"Mon, Nov 14, 2016",7:00p,REG,@,/cbb/schools/providence/men/2017.html,Providence,/cbb/conferences/big-east/men/2017.html,Big East,11.24,L,58,80,1,1,L 1,Dunkin Donuts Center,/cbb/schools/vermont/men/2017.html
2,/cbb/boxscores/2016-11-16-marist.html,"Wed, Nov 16, 2016",7:00p,REG,@,/cbb/schools/marist/men/2017.html,Marist,/cbb/conferences/maac/men/2017.html,MAAC,-12.33,W,76,72,2,1,W 1,McCann Arena,/cbb/schools/vermont/men/2017.html
3,/cbb/boxscores/2016-11-19-vermont.html,"Sat, Nov 19, 2016",1:00p,REG,,,Vermont State–Lyndon,,,,W,79,20,3,1,W 2,Roy L. Patrick Gymnasium,/cbb/schools/vermont/men/2017.html
4,/cbb/boxscores/2016-11-21-vermont.html,"Mon, Nov 21, 2016",11:00a,REG,N,/cbb/schools/wofford/men/2017.html,Wofford,/cbb/conferences/southern/men/2017.html,Southern,-0.71,W,60,59,4,1,W 3,Hertz Arena,/cbb/schools/vermont/men/2017.html
5,/cbb/boxscores/2016-11-22-hofstra.html,"Tue, Nov 22, 2016",5:00p,REG,N,/cbb/schools/hofstra/men/2017.html,Hofstra,/cbb/conferences/colonial/men/2017.html,CAA,-2.35,W,87,73,5,1,W 4,Hertz Arena,/cbb/schools/vermont/men/2017.html
6,/cbb/boxscores/2016-11-23-houston.html,"Wed, Nov 23, 2016",7:30p,REG,N,/cbb/schools/houston/men/2017.html,Houston,/cbb/conferences/aac/men/2017.html,AAC,12.20,L,71,72,5,2,L 1,Hertz Arena,/cbb/schools/vermont/men/2017.html
7,/cbb/boxscores/2016-11-26-vermont.html,"Sat, Nov 26, 2016",1:00p,REG,,/cbb/schools/yale/men/2017.html,Yale,/cbb/conferences/ivy/men/2017.html,Ivy,0.21,W,67,65,6,2,W 1,Roy L. Patrick Gymnasium,/cbb/schools/vermont/men/2017.html
8,/cbb/boxscores/2016-12-01-south-carolina.html,"Thu, Dec 1, 2016",6:30p,REG,@,/cbb/schools/south-carolina/men/2017.html,South Carolina,/cbb/conferences/sec/men/2017.html,SEC,17.52,L,50,68,6,3,L 1,Colonial Life Arena,/cbb/schools/vermont/men/2017.html
9,/cbb/boxscores/2016-12-07-vermont.html,"Wed, Dec 7, 2016",7:00p,REG,,/cbb/schools/dartmouth/men/2017.html,Dartmouth,/cbb/conferences/ivy/men/2017.html,Ivy,-11.15,W,73,58,7,3,W 1,Roy L. Patrick Gymnasium,/cbb/schools/vermont/men/2017.html
