,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2016-11-11-wake-forest.html,"Fri, Nov 11, 2016",7:30p,REG,/cbb/schools/radford/men/2017.html,Radford,/cbb/conferences/big-south/men/2017.html,Big South,-11.34,W,80,59,1,0,W 1,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/wake-forest/men/2017.html,
1,/cbb/boxscores/2016-11-13-wake-forest.html,"Sun, Nov 13, 2016",2:00p,REG,/cbb/schools/bucknell/men/2017.html,Bucknell,/cbb/conferences/patriot/men/2017.html,Patriot,5.89,W,94,74,2,0,W 2,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/wake-forest/men/2017.html,
2,/cbb/boxscores/2016-11-17-texas-el-paso.html,"Thu, Nov 17, 2016",1:30p,REG,/cbb/schools/texas-el-paso/men/2017.html,UTEP,/cbb/conferences/cusa/men/2017.html,CUSA,-3.13,W,103,81,3,0,W 3,TD Arena,/cbb/schools/wake-forest/men/2017.html,N
3,/cbb/boxscores/2016-11-18-wake-forest.html,"Fri, Nov 18, 2016",1:30p,REG,/cbb/schools/villanova/men/2017.html,Villanova,/cbb/conferences/big-east/men/2017.html,Big East,23.80,L,77,96,3,1,L 1,TD Arena,/cbb/schools/wake-forest/men/2017.html,N
4,/cbb/boxscores/2016-11-20-college-of-charleston.html,"Sun, Nov 20, 2016",7:00p,REG,/cbb/schools/college-of-charleston/men/2017.html,College of Charleston,/cbb/conferences/colonial/men/2017.html,CAA,3.99,W,78,61,4,1,W 1,TD Arena,/cbb/schools/wake-forest/men/2017.html,N
5,/cbb/boxscores/2016-11-23-wake-forest.html,"Wed, Nov 23, 2016",7:30p,REG,/cbb/schools/coastal-carolina/men/2017.html,Coastal Carolina,/cbb/conferences/sun-belt/men/2017.html,Sun Belt,-3.94,W,86,74,5,1,W 2,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/wake-forest/men/2017.html,
6,/cbb/boxscores/2016-11-28-northwestern.html,"Mon, Nov 28, 2016",9:00p,REG,/cbb/schools/northwestern/men/2017.html,Northwestern,/cbb/conferences/big-ten/men/2017.html,Big Ten,14.02,L,58,65,5,2,L 1,Welsh-Ryan Arena,/cbb/schools/wake-forest/men/2017.html,@
7,/cbb/boxscores/2016-12-03-richmond.html,"Sat, Dec 3, 2016",12:00p,REG,/cbb/schools/richmond/men/2017.html,Richmond,/cbb/conferences/atlantic-10/men/2017.html,A-10,5.45,W,75,67,6,2,W 1,Robins Center,/cbb/schools/wake-forest/men/2017.html,@
8,/cbb/boxscores/2016-12-06-wake-forest.html,"Tue, Dec 6, 2016",7:00p,REG,/cbb/schools/charlotte/men/2017.html,Charlotte,/cbb/conferences/cusa/men/2017.html,CUSA,-5.24,W,91,74,7,2,W 2,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/wake-forest/men/2017.html,
9,/cbb/boxscores/2016-12-09-north-carolina-greensboro.html,"Fri, Dec 9, 2016",7:00p,REG,/cbb/schools/north-carolina-greensboro/men/2017.html,UNC Greensboro,/cbb/conferences/southern/men/2017.html,Southern,-0.10,W,78,75,8,2,W 3,Greensboro Coliseum,/cbb/schools/wake-forest/men/2017.html,@
10,/cbb/boxscores/2016-12-17-xavier.html,"Sat, Dec 17, 2016",8:00p,REG,/cbb/schools/xavier/men/2017.html,Xavier,/cbb/conferences/big-east/men/2017.html,Big East,14.80,L,65,69,8,3,L 1,Cintas Center,/cbb/schools/wake-forest/men/2017.html,@
11,/cbb/boxscores/2016-12-22-wake-forest.html,"Thu, Dec 22, 2016",9:00p,REG,/cbb/schools/louisiana-state/men/2017.html,Louisiana State,/cbb/conferences/sec/men/2017.html,SEC,0.53,W,110,76,9,3,W 1,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/wake-forest/men/2017.html,
12,/cbb/boxscores/2016-12-28-florida-state.html,"Wed, Dec 28, 2016",5:00p,REG,/cbb/schools/florida-state/men/2017.html,Florida State,/cbb/conferences/acc/men/2017.html,ACC,18.87,L,72,88,9,4,L 1,Donald L. Tucker Civic Center,/cbb/schools/wake-forest/men/2017.html,@
13,/cbb/boxscores/2016-12-31-wake-forest.html,"Sat, Dec 31, 2016",12:00p,REG,/cbb/schools/clemson/men/2017.html,Clemson,/cbb/conferences/acc/men/2017.html,ACC,13.22,L,68,73,9,5,L 2,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/wake-forest/men/2017.html,
14,/cbb/boxscores/2017-01-03-wake-forest.html,"Tue, Jan 3, 2017",7:00p,REG,/cbb/schools/boston-college/men/2017.html,Boston College,/cbb/conferences/acc/men/2017.html,ACC,2.20,W,79,66,10,5,W 1,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/wake-forest/men/2017.html,
15,/cbb/boxscores/2017-01-08-virginia.html,"Sun, Jan 8, 2017",8:00p,REG,/cbb/schools/virginia/men/2017.html,Virginia,/cbb/conferences/acc/men/2017.html,ACC,20.63,L,62,79,10,6,L 1,John Paul Jones Arena,/cbb/schools/wake-forest/men/2017.html,@
16,/cbb/boxscores/2017-01-11-wake-forest.html,"Wed, Jan 11, 2017",8:00p,REG,/cbb/schools/north-carolina/men/2017.html,North Carolina,/cbb/conferences/acc/men/2017.html,ACC,24.84,L,87,93,10,7,L 2,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/wake-forest/men/2017.html,
