,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2016-11-11-wisconsin.html,"Fri, Nov 11, 2016",8:00p,REG,/cbb/schools/central-arkansas/men/2017.html,Central Arkansas,/cbb/conferences/southland/men/2017.html,Southland,-13.04,W,79,47,1,0,W 1,Kohl Center,/cbb/schools/wisconsin/men/2017.html,,
1,/cbb/boxscores/2016-11-15-creighton.html,"Tue, Nov 15, 2016",8:30p,REG,/cbb/schools/creighton/men/2017.html,Creighton,/cbb/conferences/big-east/men/2017.html,Big East,17.27,L,67,79,1,1,L 1,CenturyLink Center Omaha,/cbb/schools/wisconsin/men/2017.html,@,
2,/cbb/boxscores/2016-11-17-wisconsin.html,"Thu, Nov 17, 2016",8:00p,REG,/cbb/schools/chicago-state/men/2017.html,Chicago State,/cbb/conferences/wac/men/2017.html,WAC,-16.67,W,69,51,2,1,W 1,Kohl Center,/cbb/schools/wisconsin/men/2017.html,,
3,/cbb/boxscores/2016-11-21-wisconsin.html,"Mon, Nov 21, 2016",2:30p,REG,/cbb/schools/tennessee/men/2017.html,Tennessee,/cbb/conferences/sec/men/2017.html,SEC,11.28,W,74,62,3,1,W 2,Lahaina Civic Center,/cbb/schools/wisconsin/men/2017.html,N,
4,/cbb/boxscores/2016-11-22-georgetown.html,"Tue, Nov 22, 2016",8:00p,REG,/cbb/schools/georgetown/men/2017.html,Georgetown,/cbb/conferences/big-east/men/2017.html,Big East,11.18,W,73,57,4,1,W 3,Lahaina Civic Center,/cbb/schools/wisconsin/men/2017.html,N,
5,/cbb/boxscores/2016-11-23-north-carolina.html,"Wed, Nov 23, 2016",9:30p,REG,/cbb/schools/north-carolina/men/2017.html,North Carolina,/cbb/conferences/acc/men/2017.html,ACC,24.84,L,56,71,4,2,L 1,Lahaina Civic Center,/cbb/schools/wisconsin/men/2017.html,N,
6,/cbb/boxscores/2016-11-27-wisconsin.html,"Sun, Nov 27, 2016",2:00p,REG,/cbb/schools/prairie-view/men/2017.html,Prairie View,/cbb/conferences/swac/men/2017.html,SWAC,-14.54,W,95,50,5,2,W 1,Kohl Center,/cbb/schools/wisconsin/men/2017.html,,
7,/cbb/boxscores/2016-11-29-wisconsin.html,"Tue, Nov 29, 2016",7:30p,REG,/cbb/schools/syracuse/men/2017.html,Syracuse,/cbb/conferences/acc/men/2017.html,ACC,13.70,W,77,60,6,2,W 2,Kohl Center,/cbb/schools/wisconsin/men/2017.html,,
8,/cbb/boxscores/2016-12-03-wisconsin.html,"Sat, Dec 3, 2016",1:00p,REG,/cbb/schools/oklahoma/men/2017.html,Oklahoma,/cbb/conferences/big-12/men/2017.html,Big 12,11.42,W,90,70,7,2,W 3,Kohl Center,/cbb/schools/wisconsin/men/2017.html,,
9,/cbb/boxscores/2016-12-07-wisconsin.html,"Wed, Dec 7, 2016",8:00p,REG,/cbb/schools/idaho-state/men/2017.html,Idaho State,/cbb/conferences/big-sky/men/2017.html,Big Sky,-15.10,W,78,44,8,2,W 4,Kohl Center,/cbb/schools/wisconsin/men/2017.html,,
