,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2017-11-10-18-alabama.html,"Fri, Nov 10, 2017",6:30p,REG,N,/cbb/schools/memphis/men/2018.html,Memphis,/cbb/conferences/aac/men/2018.html,AAC,1.81,W,82,70,1,0,W 1,Alumni Hall,/cbb/schools/alabama/men/2018.html
1,/cbb/boxscores/2017-11-14-20-alabama.html,"Tue, Nov 14, 2017",8:00p,REG,,/cbb/schools/lipscomb/men/2018.html,Lipscomb,/cbb/conferences/atlantic-sun/men/2018.html,A-Sun,-2.10,W,86,64,2,0,W 2,Coleman Coliseum,/cbb/schools/alabama/men/2018.html
2,/cbb/boxscores/2017-11-17-19-alabama.html,"Fri, Nov 17, 2017",7:00p,REG,,/cbb/schools/alabama-am/men/2018.html,Alabama A&M,/cbb/conferences/swac/men/2018.html,SWAC,-23.97,W,104,67,3,0,W 3,Coleman Coliseum,/cbb/schools/alabama/men/2018.html
3,/cbb/boxscores/2017-11-21-21-alabama.html,"Tue, Nov 21, 2017",9:00p,REG,,/cbb/schools/texas-arlington/men/2018.html,UT Arlington,/cbb/conferences/sun-belt/men/2018.html,Sun Belt,2.20,W,77,76,4,0,W 4,Coleman Coliseum,/cbb/schools/alabama/men/2018.html
4,/cbb/boxscores/2017-11-24-14-alabama.html,"Fri, Nov 24, 2017",2:30p,REG,N,/cbb/schools/brigham-young/men/2018.html,Brigham Young,/cbb/conferences/wcc/men/2018.html,WCC,8.05,W,71,59,5,0,W 5,Steinberg Wellness Center,/cbb/schools/alabama/men/2018.html
5,/cbb/boxscores/2017-11-25-17-minnesota.html,"Sat, Nov 25, 2017",5:00p,REG,N,/cbb/schools/minnesota/men/2018.html,Minnesota,/cbb/conferences/big-ten/men/2018.html,Big Ten,7.00,L,84,89,5,1,L 1,Barclays Center,/cbb/schools/alabama/men/2018.html
6,/cbb/boxscores/2017-11-29-20-alabama.html,"Wed, Nov 29, 2017",8:00p,REG,,/cbb/schools/louisiana-tech/men/2018.html,Louisiana Tech,/cbb/conferences/cusa/men/2018.html,CUSA,1.33,W,77,74,6,1,W 1,Coleman Coliseum,/cbb/schools/alabama/men/2018.html
7,/cbb/boxscores/2017-12-03-14-alabama.html,"Sun, Dec 3, 2017",2:00p,REG,,/cbb/schools/central-florida/men/2018.html,UCF,/cbb/conferences/aac/men/2018.html,AAC,4.76,L,62,65,6,2,L 1,Coleman Coliseum,/cbb/schools/alabama/men/2018.html
8,/cbb/boxscores/2017-12-06-20-alabama.html,"Wed, Dec 6, 2017",8:00p,REG,,/cbb/schools/rhode-island/men/2018.html,Rhode Island,/cbb/conferences/atlantic-10/men/2018.html,A-10,11.81,W,68,64,7,2,W 1,Coleman Coliseum,/cbb/schools/alabama/men/2018.html
9,/cbb/boxscores/2017-12-09-22-arizona.html,"Sat, Dec 9, 2017",10:00p,REG,@,/cbb/schools/arizona/men/2018.html,Arizona,/cbb/conferences/pac-12/men/2018.html,Pac-12,15.67,L,82,88,7,3,L 1,McKale Center,/cbb/schools/alabama/men/2018.html
10,/cbb/boxscores/2017-12-19-21-alabama.html,"Tue, Dec 19, 2017",9:00p,REG,N,/cbb/schools/mercer/men/2018.html,Mercer,/cbb/conferences/southern/men/2018.html,Southern,-0.87,W,80,79,8,3,W 1,Von Braun Center,/cbb/schools/alabama/men/2018.html
11,/cbb/boxscores/2017-12-22-21-alabama.html,"Fri, Dec 22, 2017",9:00p,REG,N,/cbb/schools/texas/men/2018.html,Texas,/cbb/conferences/big-12/men/2018.html,Big 12,13.96,L,50,66,8,4,L 1,Legacy Arena,/cbb/schools/alabama/men/2018.html
12,/cbb/boxscores/2017-12-30-18-alabama.html,"Sat, Dec 30, 2017",6:00p,REG,,/cbb/schools/texas-am/men/2018.html,Texas A&M,/cbb/conferences/sec/men/2018.html,SEC,15.30,W,79,57,9,4,W 1,Coleman Coliseum,/cbb/schools/alabama/men/2018.html
13,/cbb/boxscores/2018-01-02-19-vanderbilt.html,"Tue, Jan 2, 2018",7:00p,REG,@,/cbb/schools/vanderbilt/men/2018.html,Vanderbilt,/cbb/conferences/sec/men/2018.html,SEC,8.52,L,75,76,9,5,L 1,Memorial Gymnasium,/cbb/schools/alabama/men/2018.html
14,/cbb/boxscores/2018-01-06-12-georgia.html,"Sat, Jan 6, 2018",12:00p,REG,@,/cbb/schools/georgia/men/2018.html,Georgia,/cbb/conferences/sec/men/2018.html,SEC,10.24,L,46,65,9,6,L 2,Stegeman Coliseum,/cbb/schools/alabama/men/2018.html
15,/cbb/boxscores/2018-01-09-19-alabama.html,"Tue, Jan 9, 2018",7:00p,REG,,/cbb/schools/south-carolina/men/2018.html,South Carolina,/cbb/conferences/sec/men/2018.html,SEC,9.45,W,76,62,10,6,W 1,Coleman Coliseum,/cbb/schools/alabama/men/2018.html
16,/cbb/boxscores/2018-01-13-20-louisiana-state.html,"Sat, Jan 13, 2018",8:30p,REG,@,/cbb/schools/louisiana-state/men/2018.html,Louisiana State,/cbb/conferences/sec/men/2018.html,SEC,10.93,W,74,66,11,6,W 2,Maravich Assembly Center,/cbb/schools/alabama/men/2018.html
17,/cbb/boxscores/2018-01-17-19-alabama.html,"Wed, Jan 17, 2018",7:00p,REG,,/cbb/schools/auburn/men/2018.html,Auburn,/cbb/conferences/sec/men/2018.html,SEC,15.97,W,76,71,12,6,W 3,Coleman Coliseum,/cbb/schools/alabama/men/2018.html
18,/cbb/boxscores/2018-01-20-20-alabama.html,"Sat, Jan 20, 2018",8:30p,REG,,/cbb/schools/mississippi-state/men/2018.html,Mississippi State,/cbb/conferences/sec/men/2018.html,SEC,11.71,W,68,62,13,6,W 4,Coleman Coliseum,/cbb/schools/alabama/men/2018.html
19,/cbb/boxscores/2018-01-23-20-mississippi.html,"Tue, Jan 23, 2018",8:30p,REG,@,/cbb/schools/mississippi/men/2018.html,Mississippi,/cbb/conferences/sec/men/2018.html,SEC,6.85,L,66,78,13,7,L 1,The Pavilion at Ole Miss,/cbb/schools/alabama/men/2018.html
20,/cbb/boxscores/2018-01-27-14-alabama.html,"Sat, Jan 27, 2018",2:15p,REG,,/cbb/schools/oklahoma/men/2018.html,Oklahoma,/cbb/conferences/big-12/men/2018.html,Big 12,13.81,W,80,73,14,7,W 1,Coleman Coliseum,/cbb/schools/alabama/men/2018.html
21,/cbb/boxscores/2018-01-31-21-alabama.html,"Wed, Jan 31, 2018",9:00p,REG,,/cbb/schools/missouri/men/2018.html,Missouri,/cbb/conferences/sec/men/2018.html,SEC,13.81,L,60,69,14,8,L 1,Coleman Coliseum,/cbb/schools/alabama/men/2018.html
22,/cbb/boxscores/2018-02-03-16-florida.html,"Sat, Feb 3, 2018",4:00p,REG,@,/cbb/schools/florida/men/2018.html,Florida,/cbb/conferences/sec/men/2018.html,SEC,16.66,W,68,50,15,8,W 1,Stephen C. O''Connell Center,/cbb/schools/alabama/men/2018.html
23,/cbb/boxscores/2018-02-06-19-mississippi-state.html,"Tue, Feb 6, 2018",7:00p,REG,@,/cbb/schools/mississippi-state/men/2018.html,Mississippi State,/cbb/conferences/sec/men/2018.html,SEC,11.71,L,63,67,15,9,L 1,Humphrey Coliseum,/cbb/schools/alabama/men/2018.html
24,/cbb/boxscores/2018-02-10-18-alabama.html,"Sat, Feb 10, 2018",6:00p,REG,,/cbb/schools/tennessee/men/2018.html,Tennessee,/cbb/conferences/sec/men/2018.html,SEC,18.20,W,78,50,16,9,W 1,Coleman Coliseum,/cbb/schools/alabama/men/2018.html
25,/cbb/boxscores/2018-02-13-21-alabama.html,"Tue, Feb 13, 2018",9:00p,REG,,/cbb/schools/louisiana-state/men/2018.html,Louisiana State,/cbb/conferences/sec/men/2018.html,SEC,10.93,W,80,65,17,9,W 2,Coleman Coliseum,/cbb/schools/alabama/men/2018.html
26,/cbb/boxscores/2018-02-17-14-kentucky.html,"Sat, Feb 17, 2018",2:00p,REG,@,/cbb/schools/kentucky/men/2018.html,Kentucky,/cbb/conferences/sec/men/2018.html,SEC,17.24,L,71,81,17,10,L 1,Rupp Arena,/cbb/schools/alabama/men/2018.html
27,/cbb/boxscores/2018-02-21-20-auburn.html,"Wed, Feb 21, 2018",8:30p,REG,@,/cbb/schools/auburn/men/2018.html,Auburn,/cbb/conferences/sec/men/2018.html,SEC,15.97,L,71,90,17,11,L 2,Auburn Arena,/cbb/schools/alabama/men/2018.html
