,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2017-11-11-13-buffalo.html,"Sat, Nov 11, 2017",1:00p,REG,/cbb/schools/canisius/men/2018.html,Canisius,/cbb/conferences/maac/men/2018.html,MAAC,0.44,W,80,75,1,0,W 1,Alumni Arena,/cbb/schools/buffalo/men/2018.html,,
1,/cbb/boxscores/2017-11-15-19-buffalo.html,"Wed, Nov 15, 2017",7:00p,REG,/cbb/schools/jacksonville-state/men/2018.html,Jacksonville State,/cbb/conferences/ovc/men/2018.html,OVC,-0.30,W,81,76,2,0,W 2,Alumni Arena,/cbb/schools/buffalo/men/2018.html,,
2,/cbb/boxscores/2017-11-20-19-buffalo.html,"Mon, Nov 20, 2017",7:30p,REG,/cbb/schools/cincinnati/men/2018.html,Cincinnati,/cbb/conferences/aac/men/2018.html,AAC,20.25,L,67,73,2,1,L 1,John Gray Gymnasium,/cbb/schools/buffalo/men/2018.html,N,
3,/cbb/boxscores/2017-11-21-17-buffalo.html,"Tue, Nov 21, 2017",5:00p,REG,/cbb/schools/alabama-birmingham/men/2018.html,UAB,/cbb/conferences/cusa/men/2018.html,CUSA,4.90,W,96,91,3,1,W 1,John Gray Gymnasium,/cbb/schools/buffalo/men/2018.html,N,OT
4,/cbb/boxscores/2017-11-22-14-buffalo.html,"Wed, Nov 22, 2017",2:30p,REG,/cbb/schools/south-dakota-state/men/2018.html,South Dakota State,/cbb/conferences/summit/men/2018.html,Summit,6.84,L,80,94,3,2,L 1,John Gray Gymnasium,/cbb/schools/buffalo/men/2018.html,N,
5,/cbb/boxscores/2017-11-29-19-niagara.html,"Wed, Nov 29, 2017",7:00p,REG,/cbb/schools/niagara/men/2018.html,Niagara,/cbb/conferences/maac/men/2018.html,MAAC,-4.84,W,106,87,4,2,W 1,Gallagher Center,/cbb/schools/buffalo/men/2018.html,@,
6,/cbb/boxscores/2017-12-02-14-buffalo.html,"Sat, Dec 2, 2017",2:00p,REG,/cbb/schools/st-bonaventure/men/2018.html,St. Bonaventure,/cbb/conferences/atlantic-10/men/2018.html,A-10,8.87,L,62,73,4,3,L 1,Alumni Arena,/cbb/schools/buffalo/men/2018.html,,
7,/cbb/boxscores/2017-12-06-19-delaware.html,"Wed, Dec 6, 2017",7:00p,REG,/cbb/schools/delaware/men/2018.html,Delaware,/cbb/conferences/colonial/men/2018.html,CAA,-6.93,W,75,72,5,3,W 1,Bob Carpenter Center,/cbb/schools/buffalo/men/2018.html,@,
8,/cbb/boxscores/2017-12-09-14-buffalo.html,"Sat, Dec 9, 2017",2:00p,REG,,Central Pennsylvania College,,,,W,88,54,6,3,W 2,Alumni Arena,/cbb/schools/buffalo/men/2018.html,,
9,/cbb/boxscores/2017-12-16-14-buffalo.html,"Sat, Dec 16, 2017",2:00p,REG,/cbb/schools/robert-morris/men/2018.html,Robert Morris,/cbb/conferences/northeast/men/2018.html,NEC,-7.98,W,86,70,7,3,W 3,Alumni Arena,/cbb/schools/buffalo/men/2018.html,,
