,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2017-11-10-22-southern-california.html,"Fri, Nov 10, 2017",10:00p,REG,@,/cbb/schools/southern-california/men/2018.html,Southern California,/cbb/conferences/pac-12/men/2018.html,Pac-12,12.81,L,42,84,0,1,L 1,Galen Center,/cbb/schools/cal-state-fullerton/men/2018.html,
1,/cbb/boxscores/2017-11-15-22-saint-marys-ca.html,"Wed, Nov 15, 2017",10:00p,REG,@,/cbb/schools/saint-marys-ca/men/2018.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2018.html,WCC,12.86,L,57,76,0,2,L 2,McKeon Pavilion,/cbb/schools/cal-state-fullerton/men/2018.html,
2,/cbb/boxscores/2017-11-18-17-cal-state-fullerton.html,"Sat, Nov 18, 2017",5:00p,REG,,,Bethesda University (CA),,,,W,77,35,1,2,W 1,Titan Gym,/cbb/schools/cal-state-fullerton/men/2018.html,
3,/cbb/boxscores/2017-11-23-22-cal-state-fullerton.html,"Thu, Nov 23, 2017",10:30p,REG,,/cbb/schools/georgia/men/2018.html,Georgia,/cbb/conferences/sec/men/2018.html,SEC,10.24,L,57,64,1,3,L 1,Titan Gym,/cbb/schools/cal-state-fullerton/men/2018.html,
4,/cbb/boxscores/2017-11-24-21-sacramento-state.html,"Fri, Nov 24, 2017",9:30p,REG,N,/cbb/schools/sacramento-state/men/2018.html,Sacramento State,/cbb/conferences/big-sky/men/2018.html,Big Sky,-8.90,W,68,63,2,3,W 1,Titan Gym,/cbb/schools/cal-state-fullerton/men/2018.html,
5,/cbb/boxscores/2017-11-26-21-cal-state-fullerton.html,"Sun, Nov 26, 2017",9:30p,REG,,/cbb/schools/harvard/men/2018.html,Harvard,/cbb/conferences/ivy/men/2018.html,Ivy,-0.28,W,70,61,3,3,W 2,Titan Gym,/cbb/schools/cal-state-fullerton/men/2018.html,
6,/cbb/boxscores/2017-12-02-21-cal-state-fullerton.html,"Sat, Dec 2, 2017",9:00p,REG,,,Cal Lutheran,,,,W,86,58,4,3,W 3,Titan Gym,/cbb/schools/cal-state-fullerton/men/2018.html,
7,/cbb/boxscores/2017-12-06-22-portland.html,"Wed, Dec 6, 2017",10:00p,REG,@,/cbb/schools/portland/men/2018.html,Portland,/cbb/conferences/wcc/men/2018.html,WCC,-6.60,W,76,66,5,3,W 4,Chiles Center,/cbb/schools/cal-state-fullerton/men/2018.html,
8,/cbb/boxscores/2017-12-09-21-cal-state-fullerton.html,"Sat, Dec 9, 2017",9:00p,REG,,/cbb/schools/utah-valley/men/2018.html,Utah Valley,/cbb/conferences/wac/men/2018.html,WAC,5.08,W,91,83,6,3,W 5,Titan Gym,/cbb/schools/cal-state-fullerton/men/2018.html,
9,/cbb/boxscores/2017-12-16-16-california.html,"Sat, Dec 16, 2017",4:00p,REG,@,/cbb/schools/california/men/2018.html,California,/cbb/conferences/pac-12/men/2018.html,Pac-12,-3.40,L,89,95,6,4,L 1,Haas Pavilion,/cbb/schools/cal-state-fullerton/men/2018.html,OT
10,/cbb/boxscores/2017-12-22-22-loyola-marymount.html,"Fri, Dec 22, 2017",10:00p,REG,@,/cbb/schools/loyola-marymount/men/2018.html,Loyola Marymount,/cbb/conferences/wcc/men/2018.html,WCC,-4.34,W,88,80,7,4,W 1,Gersten Pavilion,/cbb/schools/cal-state-fullerton/men/2018.html,
11,/cbb/boxscores/2017-12-30-20-utah-valley.html,"Sat, Dec 30, 2017",8:00p,REG,@,/cbb/schools/utah-valley/men/2018.html,Utah Valley,/cbb/conferences/wac/men/2018.html,WAC,5.08,L,78,87,7,5,L 1,UCCU Center,/cbb/schools/cal-state-fullerton/men/2018.html,
12,/cbb/boxscores/2018-01-03-22-cal-state-fullerton.html,"Wed, Jan 3, 2018",10:00p,REG,,/cbb/schools/california-riverside/men/2018.html,UC Riverside,/cbb/conferences/big-west/men/2018.html,Big West,-8.50,W,68,65,8,5,W 1,Titan Gym,/cbb/schools/cal-state-fullerton/men/2018.html,
13,/cbb/boxscores/2018-01-06-22-cal-poly.html,"Sat, Jan 6, 2018",10:00p,REG,@,/cbb/schools/cal-poly/men/2018.html,Cal Poly,/cbb/conferences/big-west/men/2018.html,Big West,-11.56,W,101,97,9,5,W 2,Robert A. Mott Athletics Center,/cbb/schools/cal-state-fullerton/men/2018.html,OT
14,/cbb/boxscores/2018-01-11-22-california-irvine.html,"Thu, Jan 11, 2018",10:30p,REG,@,/cbb/schools/california-irvine/men/2018.html,UC Irvine,/cbb/conferences/big-west/men/2018.html,Big West,-0.22,W,67,64,10,5,W 3,Bren Events Center,/cbb/schools/cal-state-fullerton/men/2018.html,
15,/cbb/boxscores/2018-01-13-21-cal-state-fullerton.html,"Sat, Jan 13, 2018",9:00p,REG,,/cbb/schools/california-davis/men/2018.html,UC Davis,/cbb/conferences/big-west/men/2018.html,Big West,0.87,W,85,70,11,5,W 4,Titan Gym,/cbb/schools/cal-state-fullerton/men/2018.html,
16,/cbb/boxscores/2018-01-17-22-california-santa-barbara.html,"Wed, Jan 17, 2018",10:00p,REG,@,/cbb/schools/california-santa-barbara/men/2018.html,UC Santa Barbara,/cbb/conferences/big-west/men/2018.html,Big West,2.10,L,64,83,11,6,L 1,The Thunderdome,/cbb/schools/cal-state-fullerton/men/2018.html,
17,/cbb/boxscores/2018-01-20-22-long-beach-state.html,"Sat, Jan 20, 2018",10:30p,REG,@,/cbb/schools/long-beach-state/men/2018.html,Long Beach State,/cbb/conferences/big-west/men/2018.html,Big West,-3.76,L,73,81,11,7,L 2,The Walter Pyramid,/cbb/schools/cal-state-fullerton/men/2018.html,
