,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2017-11-10-19-clemson.html,"Fri, Nov 10, 2017",7:00p,REG,/cbb/schools/western-carolina/men/2018.html,Western Carolina,/cbb/conferences/southern/men/2018.html,Southern,-11.90,W,85,57,1,0,W 1,Littlejohn Coliseum,/cbb/schools/clemson/men/2018.html,,
1,/cbb/boxscores/2017-11-12-14-clemson.html,"Sun, Nov 12, 2017",2:00p,REG,/cbb/schools/north-carolina-at/men/2018.html,North Carolina A&T,/cbb/conferences/meac/men/2018.html,MEAC,-12.58,W,87,63,2,0,W 2,Littlejohn Coliseum,/cbb/schools/clemson/men/2018.html,,
2,/cbb/boxscores/2017-11-16-17-ohio.html,"Thu, Nov 16, 2017",5:00p,REG,/cbb/schools/ohio/men/2018.html,Ohio,/cbb/conferences/mac/men/2018.html,MAC,-2.52,W,81,76,3,0,W 3,TD Arena,/cbb/schools/clemson/men/2018.html,N,
3,/cbb/boxscores/2017-11-17-21-hofstra.html,"Fri, Nov 17, 2017",9:30p,REG,/cbb/schools/hofstra/men/2018.html,Hofstra,/cbb/conferences/colonial/men/2018.html,CAA,-0.53,W,78,59,4,0,W 4,TD Arena,/cbb/schools/clemson/men/2018.html,N,
4,/cbb/boxscores/2017-11-19-21-clemson.html,"Sun, Nov 19, 2017",9:30p,REG,/cbb/schools/temple/men/2018.html,Temple,/cbb/conferences/aac/men/2018.html,AAC,7.25,L,60,67,4,1,L 1,TD Arena,/cbb/schools/clemson/men/2018.html,N,
5,/cbb/boxscores/2017-11-24-15-clemson.html,"Fri, Nov 24, 2017",3:00p,REG,/cbb/schools/texas-southern/men/2018.html,Texas Southern,/cbb/conferences/swac/men/2018.html,SWAC,-7.53,W,84,77,5,1,W 1,Littlejohn Coliseum,/cbb/schools/clemson/men/2018.html,,
6,/cbb/boxscores/2017-11-29-19-ohio-state.html,"Wed, Nov 29, 2017",7:15p,REG,/cbb/schools/ohio-state/men/2018.html,Ohio State,/cbb/conferences/big-ten/men/2018.html,Big Ten,17.67,W,79,65,6,1,W 2,Value City Arena,/cbb/schools/clemson/men/2018.html,@,
7,/cbb/boxscores/2017-12-03-15-clemson.html,"Sun, Dec 3, 2017",3:00p,REG,/cbb/schools/north-carolina-asheville/men/2018.html,UNC Asheville,/cbb/conferences/big-south/men/2018.html,Big South,-3.92,W,83,52,7,1,W 3,Littlejohn Coliseum,/cbb/schools/clemson/men/2018.html,,
8,/cbb/boxscores/2017-12-09-15-clemson.html,"Sat, Dec 9, 2017",3:00p,REG,/cbb/schools/samford/men/2018.html,Samford,/cbb/conferences/southern/men/2018.html,Southern,-11.10,W,81,59,8,1,W 4,Littlejohn Coliseum,/cbb/schools/clemson/men/2018.html,,
9,/cbb/boxscores/2017-12-16-16-clemson.html,"Sat, Dec 16, 2017",4:30p,REG,/cbb/schools/florida/men/2018.html,Florida,/cbb/conferences/sec/men/2018.html,SEC,16.66,W,71,69,9,1,W 5,FLA Live Arena,/cbb/schools/clemson/men/2018.html,N,
