,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2017-11-10-19-college-of-charleston.html,"Fri, Nov 10, 2017",7:00p,REG,/cbb/schools/siena/men/2018.html,Siena,/cbb/conferences/maac/men/2018.html,MAAC,-10.46,W,68,60,OT,1,0,W 1,TD Arena,/cbb/schools/college-of-charleston/men/2018.html,
1,/cbb/boxscores/2017-11-13-21-wichita-state.html,"Mon, Nov 13, 2017",9:00p,REG,/cbb/schools/wichita-state/men/2018.html,Wichita State,/cbb/conferences/aac/men/2018.html,AAC,16.58,L,63,81,,1,1,L 1,Charles Koch Arena,/cbb/schools/college-of-charleston/men/2018.html,@
2,/cbb/boxscores/2017-11-18-19-charlotte.html,"Sat, Nov 18, 2017",7:00p,REG,/cbb/schools/charlotte/men/2018.html,Charlotte,/cbb/conferences/cusa/men/2018.html,CUSA,-10.13,W,81,72,,2,1,W 1,Dale F. Halton Arena,/cbb/schools/college-of-charleston/men/2018.html,@
3,/cbb/boxscores/2017-11-22-16-cal-poly.html,"Wed, Nov 22, 2017",4:00p,REG,/cbb/schools/cal-poly/men/2018.html,Cal Poly,/cbb/conferences/big-west/men/2018.html,Big West,-11.56,L,68,73,,2,2,L 1,Alaska Airlines Center,/cbb/schools/college-of-charleston/men/2018.html,N
4,/cbb/boxscores/2017-11-23-21-sam-houston-state.html,"Thu, Nov 23, 2017",9:30p,REG,/cbb/schools/sam-houston-state/men/2018.html,Sam Houston,/cbb/conferences/southland/men/2018.html,Southland,-5.14,W,59,49,,3,2,W 1,Alaska Airlines Arena,/cbb/schools/college-of-charleston/men/2018.html,N
5,/cbb/boxscores/2017-11-25-18-alaska-anchorage.html,"Sat, Nov 25, 2017",6:30p,REG,,Alaska-Anchorage,,,,W,55,46,,4,2,W 2,Alaska Airlines Arena,/cbb/schools/college-of-charleston/men/2018.html,N
6,/cbb/boxscores/2017-11-30-19-college-of-charleston.html,"Thu, Nov 30, 2017",7:00p,REG,/cbb/schools/western-carolina/men/2018.html,Western Carolina,/cbb/conferences/southern/men/2018.html,Southern,-11.90,W,69,60,,5,2,W 3,TD Arena,/cbb/schools/college-of-charleston/men/2018.html,
7,/cbb/boxscores/2017-12-04-19-college-of-charleston.html,"Mon, Dec 4, 2017",7:00p,REG,/cbb/schools/high-point/men/2018.html,High Point,/cbb/conferences/big-south/men/2018.html,Big South,-6.75,W,70,58,,6,2,W 4,TD Arena,/cbb/schools/college-of-charleston/men/2018.html,
8,/cbb/boxscores/2017-12-10-14-college-of-charleston.html,"Sun, Dec 10, 2017",2:00p,REG,,North Greenville,,,,W,92,60,,7,2,W 5,TD Arena,/cbb/schools/college-of-charleston/men/2018.html,
9,/cbb/boxscores/2017-12-16-16-rhode-island.html,"Sat, Dec 16, 2017",4:00p,REG,/cbb/schools/rhode-island/men/2018.html,Rhode Island,/cbb/conferences/atlantic-10/men/2018.html,A-10,11.81,L,62,68,,7,3,L 1,Ryan Center,/cbb/schools/college-of-charleston/men/2018.html,@
