,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2017-11-10-19-davidson.html,"Fri, Nov 10, 2017",7:00p,REG,/cbb/schools/charleston-southern/men/2018.html,Charleston Southern,/cbb/conferences/big-south/men/2018.html,Big South,-8.16,W,110,62,1,0,W 1,Belk Arena,/cbb/schools/davidson/men/2018.html,,
1,/cbb/boxscores/2017-11-14-19-davidson.html,"Tue, Nov 14, 2017",7:00p,REG,/cbb/schools/north-carolina-wilmington/men/2018.html,UNC Wilmington,/cbb/conferences/colonial/men/2018.html,CAA,-7.52,W,108,81,2,0,W 2,Belk Arena,/cbb/schools/davidson/men/2018.html,,
2,/cbb/boxscores/2017-11-21-22-nevada.html,"Tue, Nov 21, 2017",10:00p,REG,/cbb/schools/nevada/men/2018.html,Nevada,/cbb/conferences/mwc/men/2018.html,MWC,14.44,L,68,81,2,1,L 1,Lawlor Events Center,/cbb/schools/davidson/men/2018.html,@,
3,/cbb/boxscores/2017-11-25-19-appalachian-state.html,"Sat, Nov 25, 2017",7:00p,REG,/cbb/schools/appalachian-state/men/2018.html,Appalachian State,/cbb/conferences/sun-belt/men/2018.html,Sun Belt,-4.83,L,62,78,2,2,L 2,George M. Holmes Convocation Center,/cbb/schools/davidson/men/2018.html,@,
4,/cbb/boxscores/2017-11-28-19-charlotte.html,"Tue, Nov 28, 2017",7:00p,REG,/cbb/schools/charlotte/men/2018.html,Charlotte,/cbb/conferences/cusa/men/2018.html,CUSA,-10.13,W,85,70,3,2,W 1,Dale F. Halton Arena,/cbb/schools/davidson/men/2018.html,@,
5,/cbb/boxscores/2017-12-01-20-davidson.html,"Fri, Dec 1, 2017",8:00p,REG,/cbb/schools/north-carolina/men/2018.html,North Carolina,/cbb/conferences/acc/men/2018.html,ACC,20.07,L,75,85,3,3,L 1,Spectrum Center,/cbb/schools/davidson/men/2018.html,N,
6,/cbb/boxscores/2017-12-05-19-davidson.html,"Tue, Dec 5, 2017",7:00p,REG,/cbb/schools/virginia-military-institute/men/2018.html,Virginia Military Institute,/cbb/conferences/southern/men/2018.html,Southern,-15.43,W,74,51,4,3,W 1,Belk Arena,/cbb/schools/davidson/men/2018.html,,
7,/cbb/boxscores/2017-12-16-14-virginia.html,"Sat, Dec 16, 2017",2:00p,REG,/cbb/schools/virginia/men/2018.html,Virginia,/cbb/conferences/acc/men/2018.html,ACC,22.20,L,60,80,4,4,L 1,John Paul Jones Arena,/cbb/schools/davidson/men/2018.html,@,
8,/cbb/boxscores/2017-12-22-23-new-mexico-state.html,"Fri, Dec 22, 2017",11:00p,REG,/cbb/schools/new-mexico-state/men/2018.html,New Mexico State,/cbb/conferences/wac/men/2018.html,WAC,9.06,L,68,69,4,5,L 2,Stan Sheriff Center,/cbb/schools/davidson/men/2018.html,N,
9,/cbb/boxscores/2017-12-24-00-hawaii.html,"Sun, Dec 24, 2017",12:30a,REG,/cbb/schools/hawaii/men/2018.html,Hawaii,/cbb/conferences/big-west/men/2018.html,Big West,-2.33,L,71,79,4,6,L 3,Stan Sheriff Center,/cbb/schools/davidson/men/2018.html,@,
10,/cbb/boxscores/2017-12-25-12-davidson.html,"Mon, Dec 25, 2017",12:30p,REG,/cbb/schools/akron/men/2018.html,Akron,/cbb/conferences/mac/men/2018.html,MAC,-6.82,W,91,78,5,6,W 1,Stan Sheriff Center,/cbb/schools/davidson/men/2018.html,N,
11,/cbb/boxscores/2017-12-30-16-richmond.html,"Sat, Dec 30, 2017",4:30p,REG,/cbb/schools/richmond/men/2018.html,Richmond,/cbb/conferences/atlantic-10/men/2018.html,A-10,-0.17,L,58,69,5,7,L 1,Robins Center,/cbb/schools/davidson/men/2018.html,@,
12,/cbb/boxscores/2018-01-03-19-davidson.html,"Wed, Jan 3, 2018",7:00p,REG,/cbb/schools/saint-louis/men/2018.html,Saint Louis,/cbb/conferences/atlantic-10/men/2018.html,A-10,2.58,W,54,51,6,7,W 1,Belk Arena,/cbb/schools/davidson/men/2018.html,,
13,/cbb/boxscores/2018-01-07-12-george-mason.html,"Sun, Jan 7, 2018",12:00p,REG,/cbb/schools/george-mason/men/2018.html,George Mason,/cbb/conferences/atlantic-10/men/2018.html,A-10,-2.97,W,86,59,7,7,W 2,EagleBank Arena,/cbb/schools/davidson/men/2018.html,@,
14,/cbb/boxscores/2018-01-10-19-davidson.html,"Wed, Jan 10, 2018",7:00p,REG,/cbb/schools/george-washington/men/2018.html,George Washington,/cbb/conferences/atlantic-10/men/2018.html,A-10,-0.72,W,72,45,8,7,W 3,Belk Arena,/cbb/schools/davidson/men/2018.html,,
15,/cbb/boxscores/2018-01-14-15-fordham.html,"Sun, Jan 14, 2018",3:00p,REG,/cbb/schools/fordham/men/2018.html,Fordham,/cbb/conferences/atlantic-10/men/2018.html,A-10,-6.74,W,75,45,9,7,W 4,Rose Hill Gymnasium,/cbb/schools/davidson/men/2018.html,@,
16,/cbb/boxscores/2018-01-19-19-davidson.html,"Fri, Jan 19, 2018",7:00p,REG,/cbb/schools/st-bonaventure/men/2018.html,St. Bonaventure,/cbb/conferences/atlantic-10/men/2018.html,A-10,8.87,W,83,73,10,7,W 5,Belk Arena,/cbb/schools/davidson/men/2018.html,,
17,/cbb/boxscores/2018-01-23-19-dayton.html,"Tue, Jan 23, 2018",7:00p,REG,/cbb/schools/dayton/men/2018.html,Dayton,/cbb/conferences/atlantic-10/men/2018.html,A-10,1.64,L,64,65,10,8,L 1,University of Dayton Arena,/cbb/schools/davidson/men/2018.html,@,
18,/cbb/boxscores/2018-01-28-14-davidson.html,"Sun, Jan 28, 2018",2:00p,REG,/cbb/schools/richmond/men/2018.html,Richmond,/cbb/conferences/atlantic-10/men/2018.html,A-10,-0.17,L,63,66,10,9,L 2,Belk Arena,/cbb/schools/davidson/men/2018.html,,
19,/cbb/boxscores/2018-01-31-19-davidson.html,"Wed, Jan 31, 2018",7:00p,REG,/cbb/schools/la-salle/men/2018.html,La Salle,/cbb/conferences/atlantic-10/men/2018.html,A-10,1.70,W,84,65,11,9,W 1,Belk Arena,/cbb/schools/davidson/men/2018.html,,
20,/cbb/boxscores/2018-02-03-16-george-washington.html,"Sat, Feb 3, 2018",4:00p,REG,/cbb/schools/george-washington/men/2018.html,George Washington,/cbb/conferences/atlantic-10/men/2018.html,A-10,-0.72,W,87,58,12,9,W 2,Charles E. Smith Center,/cbb/schools/davidson/men/2018.html,@,
21,/cbb/boxscores/2018-02-06-19-davidson.html,"Tue, Feb 6, 2018",7:00p,REG,/cbb/schools/saint-josephs/men/2018.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2018.html,A-10,3.78,W,91,62,13,9,W 3,Belk Arena,/cbb/schools/davidson/men/2018.html,,
22,/cbb/boxscores/2018-02-09-19-rhode-island.html,"Fri, Feb 9, 2018",7:00p,REG,/cbb/schools/rhode-island/men/2018.html,Rhode Island,/cbb/conferences/atlantic-10/men/2018.html,A-10,11.81,L,59,72,13,10,L 1,Ryan Center,/cbb/schools/davidson/men/2018.html,@,
23,/cbb/boxscores/2018-02-14-19-virginia-commonwealth.html,"Wed, Feb 14, 2018",7:00p,REG,/cbb/schools/virginia-commonwealth/men/2018.html,Virginia Commonwealth,/cbb/conferences/atlantic-10/men/2018.html,A-10,3.55,W,74,63,14,10,W 1,Stuart Siegel Center,/cbb/schools/davidson/men/2018.html,@,
24,/cbb/boxscores/2018-02-17-19-davidson.html,"Sat, Feb 17, 2018",7:00p,REG,/cbb/schools/massachusetts/men/2018.html,Massachusetts,/cbb/conferences/atlantic-10/men/2018.html,A-10,-1.65,W,83,78,15,10,W 2,Belk Arena,/cbb/schools/davidson/men/2018.html,,
25,/cbb/boxscores/2018-02-21-19-davidson.html,"Wed, Feb 21, 2018",7:00p,REG,/cbb/schools/fordham/men/2018.html,Fordham,/cbb/conferences/atlantic-10/men/2018.html,A-10,-6.74,W,76,52,16,10,W 3,Belk Arena,/cbb/schools/davidson/men/2018.html,,
26,/cbb/boxscores/2018-02-24-12-duquesne.html,"Sat, Feb 24, 2018",12:00p,REG,/cbb/schools/duquesne/men/2018.html,Duquesne,/cbb/conferences/atlantic-10/men/2018.html,A-10,-1.08,W,71,60,17,10,W 4,A.J. Palumbo Center,/cbb/schools/davidson/men/2018.html,@,
27,/cbb/boxscores/2018-02-27-21-st-bonaventure.html,"Tue, Feb 27, 2018",9:00p,REG,/cbb/schools/st-bonaventure/men/2018.html,St. Bonaventure,/cbb/conferences/atlantic-10/men/2018.html,A-10,8.87,L,113,117,17,11,L 1,Reilly Center,/cbb/schools/davidson/men/2018.html,@,3OT
28,/cbb/boxscores/2018-03-02-20-davidson.html,"Fri, Mar 2, 2018",8:00p,REG,/cbb/schools/rhode-island/men/2018.html,Rhode Island,/cbb/conferences/atlantic-10/men/2018.html,A-10,11.81,W,63,61,18,11,W 1,Belk Arena,/cbb/schools/davidson/men/2018.html,,
29,/cbb/boxscores/2018-03-09-20-davidson.html,"Fri, Mar 9, 2018",8:30p,CTOURN,/cbb/schools/saint-louis/men/2018.html,Saint Louis,/cbb/conferences/atlantic-10/men/2018.html,A-10,2.58,W,78,60,19,11,W 2,Capital One Arena,/cbb/schools/davidson/men/2018.html,N,
30,/cbb/boxscores/2018-03-10-15-st-bonaventure.html,"Sat, Mar 10, 2018",3:30p,CTOURN,/cbb/schools/st-bonaventure/men/2018.html,St. Bonaventure,/cbb/conferences/atlantic-10/men/2018.html,A-10,8.87,W,82,70,20,11,W 3,Capital One Arena,/cbb/schools/davidson/men/2018.html,N,
31,/cbb/boxscores/2018-03-11-13-rhode-island.html,"Sun, Mar 11, 2018",1:00p,CTOURN,/cbb/schools/rhode-island/men/2018.html,Rhode Island,/cbb/conferences/atlantic-10/men/2018.html,A-10,11.81,W,58,57,21,11,W 4,Capital One Arena,/cbb/schools/davidson/men/2018.html,N,
32,/cbb/boxscores/2018-03-15-19-kentucky.html,"Thu, Mar 15, 2018",7:10p,NCAA,/cbb/schools/kentucky/men/2018.html,Kentucky,/cbb/conferences/sec/men/2018.html,SEC,17.24,L,73,78,21,12,L 1,Taco Bell Arena,/cbb/schools/davidson/men/2018.html,N,
