,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2017-11-10-20-tulane.html,"Fri, Nov 10, 2017",8:00p,REG,@,/cbb/schools/tulane/men/2018.html,Tulane,/cbb/conferences/aac/men/2018.html,AAC,1.21,L,96,102,0,1,L 1,Devlin Fieldhouse,/cbb/schools/long-island-university/men/2018.html,
1,/cbb/boxscores/2017-11-13-19-fordham.html,"Mon, Nov 13, 2017",7:00p,REG,@,/cbb/schools/fordham/men/2018.html,Fordham,/cbb/conferences/atlantic-10/men/2018.html,A-10,-6.74,L,68,81,0,2,L 2,Rose Hill Gymnasium,/cbb/schools/long-island-university/men/2018.html,
2,/cbb/boxscores/2017-11-15-19-long-island-university.html,"Wed, Nov 15, 2017",7:00p,REG,,,New Rochelle,,,,W,104,68,1,2,W 1,Steinberg Wellness Center,/cbb/schools/long-island-university/men/2018.html,
3,/cbb/boxscores/2017-11-17-20-miami-oh.html,"Fri, Nov 17, 2017",8:30p,REG,N,/cbb/schools/miami-oh/men/2018.html,Miami (OH),/cbb/conferences/mac/men/2018.html,MAC,-3.56,L,74,78,1,3,L 1,Montego Bay Convention Centre,/cbb/schools/long-island-university/men/2018.html,
4,/cbb/boxscores/2017-11-18-18-long-island-university.html,"Sat, Nov 18, 2017",6:00p,REG,N,/cbb/schools/hartford/men/2018.html,Hartford,/cbb/conferences/america-east/men/2018.html,AEC,-5.54,W,86,84,2,3,W 1,Montego Bay Convention Centre,/cbb/schools/long-island-university/men/2018.html,
5,/cbb/boxscores/2017-11-22-15-massachusetts-lowell.html,"Wed, Nov 22, 2017",3:00p,REG,@,/cbb/schools/massachusetts-lowell/men/2018.html,Massachusetts-Lowell,/cbb/conferences/america-east/men/2018.html,AEC,-9.53,L,66,74,2,4,L 1,Costello Athletic Center,/cbb/schools/long-island-university/men/2018.html,
6,/cbb/boxscores/2017-11-25-13-brown.html,"Sat, Nov 25, 2017",1:00p,REG,@,/cbb/schools/brown/men/2018.html,Brown,/cbb/conferences/ivy/men/2018.html,Ivy,-7.78,L,86,94,2,5,L 2,Pizzitola Sports Center,/cbb/schools/long-island-university/men/2018.html,
7,/cbb/boxscores/2017-11-28-19-njit.html,"Tue, Nov 28, 2017",7:00p,REG,@,/cbb/schools/njit/men/2018.html,NJIT,/cbb/conferences/atlantic-sun/men/2018.html,A-Sun,-7.25,L,69,73,2,6,L 3,NJIT Wellness and Events Center,/cbb/schools/long-island-university/men/2018.html,
8,/cbb/boxscores/2017-11-30-19-long-island-university.html,"Thu, Nov 30, 2017",7:00p,REG,,/cbb/schools/hartford/men/2018.html,Hartford,/cbb/conferences/america-east/men/2018.html,AEC,-5.54,W,79,78,3,6,W 1,Steinberg Wellness Center,/cbb/schools/long-island-university/men/2018.html,
9,/cbb/boxscores/2017-12-04-19-long-island-university.html,"Mon, Dec 4, 2017",7:00p,REG,,/cbb/schools/stony-brook/men/2018.html,Stony Brook,/cbb/conferences/america-east/men/2018.html,AEC,-5.08,W,75,71,4,6,W 2,Steinberg Wellness Center,/cbb/schools/long-island-university/men/2018.html,
10,/cbb/boxscores/2017-12-10-15-long-island-university.html,"Sun, Dec 10, 2017",3:30p,REG,,/cbb/schools/fairfield/men/2018.html,Fairfield,/cbb/conferences/maac/men/2018.html,MAAC,-4.98,L,72,76,4,7,L 1,Barclays Center,/cbb/schools/long-island-university/men/2018.html,
11,/cbb/boxscores/2017-12-17-12-long-island-university.html,"Sun, Dec 17, 2017",12:00p,REG,,/cbb/schools/saint-peters/men/2018.html,Saint Peter's,/cbb/conferences/maac/men/2018.html,MAAC,-5.24,L,56,71,4,8,L 2,Steinberg Wellness Center,/cbb/schools/long-island-university/men/2018.html,
12,/cbb/boxscores/2017-12-22-19-binghamton.html,"Fri, Dec 22, 2017",7:00p,REG,@,/cbb/schools/binghamton/men/2018.html,Binghamton,/cbb/conferences/america-east/men/2018.html,AEC,-10.27,W,74,66,5,8,W 1,Binghamton University Events Center,/cbb/schools/long-island-university/men/2018.html,
13,/cbb/boxscores/2017-12-29-16-long-island-university.html,"Fri, Dec 29, 2017",4:30p,REG,,/cbb/schools/fairleigh-dickinson/men/2018.html,FDU,/cbb/conferences/northeast/men/2018.html,NEC,-10.41,L,71,82,5,9,L 1,Steinberg Wellness Center,/cbb/schools/long-island-university/men/2018.html,
14,/cbb/boxscores/2017-12-31-14-long-island-university.html,"Sun, Dec 31, 2017",2:00p,REG,,/cbb/schools/mount-st-marys/men/2018.html,Mount St. Mary's,/cbb/conferences/northeast/men/2018.html,NEC,-8.13,W,71,57,6,9,W 1,Steinberg Wellness Center,/cbb/schools/long-island-university/men/2018.html,
15,/cbb/boxscores/2018-01-04-19-saint-francis-pa.html,"Thu, Jan 4, 2018",7:00p,REG,@,/cbb/schools/saint-francis-pa/men/2018.html,Saint Francis (PA),/cbb/conferences/northeast/men/2018.html,NEC,-6.12,L,68,85,6,10,L 1,DeGol Arena,/cbb/schools/long-island-university/men/2018.html,
16,/cbb/boxscores/2018-01-06-16-robert-morris.html,"Sat, Jan 6, 2018",4:00p,REG,@,/cbb/schools/robert-morris/men/2018.html,Robert Morris,/cbb/conferences/northeast/men/2018.html,NEC,-7.98,L,79,88,6,11,L 2,PPG Paints Arena,/cbb/schools/long-island-university/men/2018.html,
17,/cbb/boxscores/2018-01-11-19-fairleigh-dickinson.html,"Thu, Jan 11, 2018",7:00p,REG,@,/cbb/schools/fairleigh-dickinson/men/2018.html,FDU,/cbb/conferences/northeast/men/2018.html,NEC,-10.41,W,90,85,7,11,W 1,Rothman Center,/cbb/schools/long-island-university/men/2018.html,
18,/cbb/boxscores/2018-01-13-16-long-island-university.html,"Sat, Jan 13, 2018",4:30p,REG,,/cbb/schools/wagner/men/2018.html,Wagner,/cbb/conferences/northeast/men/2018.html,NEC,-3.19,W,69,67,8,11,W 2,Steinberg Wellness Center,/cbb/schools/long-island-university/men/2018.html,
19,/cbb/boxscores/2018-01-18-19-long-island-university.html,"Thu, Jan 18, 2018",7:00p,REG,,/cbb/schools/bryant/men/2018.html,Bryant,/cbb/conferences/northeast/men/2018.html,NEC,-18.75,W,83,79,9,11,W 3,Steinberg Wellness Center,/cbb/schools/long-island-university/men/2018.html,
20,/cbb/boxscores/2018-01-20-15-central-connecticut-state.html,"Sat, Jan 20, 2018",3:30p,REG,@,/cbb/schools/central-connecticut-state/men/2018.html,Central Connecticut State,/cbb/conferences/northeast/men/2018.html,NEC,-11.62,L,63,72,9,12,L 1,Detrick Gymnasium,/cbb/schools/long-island-university/men/2018.html,
21,/cbb/boxscores/2018-01-25-21-mount-st-marys.html,"Thu, Jan 25, 2018",9:00p,REG,@,/cbb/schools/mount-st-marys/men/2018.html,Mount St. Mary's,/cbb/conferences/northeast/men/2018.html,NEC,-8.13,L,80,86,9,13,L 2,Knott Arena,/cbb/schools/long-island-university/men/2018.html,
