,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2017-11-10-20-loyola-il.html,"Fri, Nov 10, 2017",8:00p,REG,/cbb/schools/wright-state/men/2018.html,Wright State,/cbb/conferences/horizon/men/2018.html,Horizon,0.58,W,84,80,1,0,W 1,Joseph J. Gentile Arena,/cbb/schools/loyola-il/men/2018.html,
1,/cbb/boxscores/2017-11-12-15-loyola-il.html,"Sun, Nov 12, 2017",3:00p,REG,,Eureka,,,,W,96,69,2,0,W 2,Joseph J. Gentile Arena,/cbb/schools/loyola-il/men/2018.html,
2,/cbb/boxscores/2017-11-16-20-missouri-kansas-city.html,"Thu, Nov 16, 2017",8:00p,REG,/cbb/schools/missouri-kansas-city/men/2018.html,Kansas City,/cbb/conferences/wac/men/2018.html,WAC,-10.19,W,66,56,3,0,W 3,Municipal Auditorium,/cbb/schools/loyola-il/men/2018.html,@
3,/cbb/boxscores/2017-11-19-15-loyola-il.html,"Sun, Nov 19, 2017",3:00p,REG,/cbb/schools/samford/men/2018.html,Samford,/cbb/conferences/southern/men/2018.html,Southern,-11.10,W,88,67,4,0,W 4,Joseph J. Gentile Arena,/cbb/schools/loyola-il/men/2018.html,
4,/cbb/boxscores/2017-11-21-20-loyola-il.html,"Tue, Nov 21, 2017",8:00p,REG,/cbb/schools/mississippi-valley-state/men/2018.html,Mississippi Valley State,/cbb/conferences/swac/men/2018.html,SWAC,-21.41,W,63,50,5,0,W 5,Joseph J. Gentile Arena,/cbb/schools/loyola-il/men/2018.html,
5,/cbb/boxscores/2017-11-24-17-north-carolina-wilmington.html,"Fri, Nov 24, 2017",5:00p,REG,/cbb/schools/north-carolina-wilmington/men/2018.html,UNC Wilmington,/cbb/conferences/colonial/men/2018.html,CAA,-7.52,W,102,78,6,0,W 6,Savannah Civic Center,/cbb/schools/loyola-il/men/2018.html,N
6,/cbb/boxscores/2017-11-25-17-kent-state.html,"Sat, Nov 25, 2017",5:00p,REG,/cbb/schools/kent-state/men/2018.html,Kent State,/cbb/conferences/mac/men/2018.html,MAC,-3.73,W,75,60,7,0,W 7,Savannah Civic Center,/cbb/schools/loyola-il/men/2018.html,N
7,/cbb/boxscores/2017-11-28-21-boise-state.html,"Tue, Nov 28, 2017",9:00p,REG,/cbb/schools/boise-state/men/2018.html,Boise State,/cbb/conferences/mwc/men/2018.html,MWC,11.21,L,53,87,7,1,L 1,Taco Bell Arena,/cbb/schools/loyola-il/men/2018.html,@
8,/cbb/boxscores/2017-12-02-16-loyola-il.html,"Sat, Dec 2, 2017",4:00p,REG,/cbb/schools/illinois-chicago/men/2018.html,Illinois-Chicago,/cbb/conferences/horizon/men/2018.html,Horizon,-2.91,W,85,61,8,1,W 1,Joseph J. Gentile Arena,/cbb/schools/loyola-il/men/2018.html,
9,/cbb/boxscores/2017-12-06-20-florida.html,"Wed, Dec 6, 2017",8:00p,REG,/cbb/schools/florida/men/2018.html,Florida,/cbb/conferences/sec/men/2018.html,SEC,16.66,W,65,59,9,1,W 2,Stephen C. O''Connell Center,/cbb/schools/loyola-il/men/2018.html,@
10,/cbb/boxscores/2017-12-09-16-loyola-il.html,"Sat, Dec 9, 2017",4:00p,REG,/cbb/schools/norfolk-state/men/2018.html,Norfolk State,/cbb/conferences/meac/men/2018.html,MEAC,-12.99,W,80,52,10,1,W 3,Joseph J. Gentile Arena,/cbb/schools/loyola-il/men/2018.html,
11,/cbb/boxscores/2017-12-16-14-milwaukee.html,"Sat, Dec 16, 2017",2:00p,REG,/cbb/schools/milwaukee/men/2018.html,Milwaukee,/cbb/conferences/horizon/men/2018.html,Horizon,-4.15,L,56,73,10,2,L 1,UW-Milwaukee Panther Arena,/cbb/schools/loyola-il/men/2018.html,@
12,/cbb/boxscores/2017-12-22-21-missouri-state.html,"Fri, Dec 22, 2017",9:00p,REG,/cbb/schools/missouri-state/men/2018.html,Missouri State,/cbb/conferences/mvc/men/2018.html,MVC,3.06,L,59,64,10,3,L 2,JQH Arena,/cbb/schools/loyola-il/men/2018.html,@
13,/cbb/boxscores/2017-12-30-16-loyola-il.html,"Sat, Dec 30, 2017",4:00p,REG,/cbb/schools/evansville/men/2018.html,Evansville,/cbb/conferences/mvc/men/2018.html,MVC,0.68,W,66,59,11,3,W 1,Joseph J. Gentile Arena,/cbb/schools/loyola-il/men/2018.html,
14,/cbb/boxscores/2018-01-03-20-loyola-il.html,"Wed, Jan 3, 2018",8:00p,REG,/cbb/schools/indiana-state/men/2018.html,Indiana State,/cbb/conferences/mvc/men/2018.html,MVC,1.53,L,57,61,11,4,L 1,Joseph J. Gentile Arena,/cbb/schools/loyola-il/men/2018.html,
15,/cbb/boxscores/2018-01-07-16-northern-iowa.html,"Sun, Jan 7, 2018",4:00p,REG,/cbb/schools/northern-iowa/men/2018.html,Northern Iowa,/cbb/conferences/mvc/men/2018.html,MVC,4.00,W,56,50,12,4,W 1,McLeod Center,/cbb/schools/loyola-il/men/2018.html,@
16,/cbb/boxscores/2018-01-10-20-illinois-state.html,"Wed, Jan 10, 2018",8:00p,REG,/cbb/schools/illinois-state/men/2018.html,Illinois State,/cbb/conferences/mvc/men/2018.html,MVC,1.07,W,68,61,13,4,W 2,Redbird Arena,/cbb/schools/loyola-il/men/2018.html,@
17,/cbb/boxscores/2018-01-13-16-loyola-il.html,"Sat, Jan 13, 2018",4:00p,REG,/cbb/schools/bradley/men/2018.html,Bradley,/cbb/conferences/mvc/men/2018.html,MVC,2.07,W,81,65,14,4,W 3,Joseph J. Gentile Arena,/cbb/schools/loyola-il/men/2018.html,
18,/cbb/boxscores/2018-01-17-20-loyola-il.html,"Wed, Jan 17, 2018",8:00p,REG,/cbb/schools/southern-illinois/men/2018.html,Southern Illinois,/cbb/conferences/mvc/men/2018.html,MVC,1.37,W,79,65,15,4,W 4,Joseph J. Gentile Arena,/cbb/schools/loyola-il/men/2018.html,
19,/cbb/boxscores/2018-01-21-16-valparaiso.html,"Sun, Jan 21, 2018",4:00p,REG,/cbb/schools/valparaiso/men/2018.html,Valparaiso,/cbb/conferences/mvc/men/2018.html,MVC,0.63,W,70,54,16,4,W 5,Athletics-Recreation Center,/cbb/schools/loyola-il/men/2018.html,@
20,/cbb/boxscores/2018-01-24-20-drake.html,"Wed, Jan 24, 2018",8:00p,REG,/cbb/schools/drake/men/2018.html,Drake,/cbb/conferences/mvc/men/2018.html,MVC,-0.51,W,80,57,17,4,W 6,Knapp Center,/cbb/schools/loyola-il/men/2018.html,@
21,/cbb/boxscores/2018-01-28-16-loyola-il.html,"Sun, Jan 28, 2018",4:00p,REG,/cbb/schools/northern-iowa/men/2018.html,Northern Iowa,/cbb/conferences/mvc/men/2018.html,MVC,4.00,W,70,47,18,4,W 7,Joseph J. Gentile Arena,/cbb/schools/loyola-il/men/2018.html,
22,/cbb/boxscores/2018-01-31-20-bradley.html,"Wed, Jan 31, 2018",8:00p,REG,/cbb/schools/bradley/men/2018.html,Bradley,/cbb/conferences/mvc/men/2018.html,MVC,2.07,L,67,69,18,5,L 1,Carver Arena,/cbb/schools/loyola-il/men/2018.html,@
23,/cbb/boxscores/2018-02-03-14-loyola-il.html,"Sat, Feb 3, 2018",2:00p,REG,/cbb/schools/missouri-state/men/2018.html,Missouri State,/cbb/conferences/mvc/men/2018.html,MVC,3.06,W,97,75,19,5,W 1,Joseph J. Gentile Arena,/cbb/schools/loyola-il/men/2018.html,
24,/cbb/boxscores/2018-02-07-20-loyola-il.html,"Wed, Feb 7, 2018",8:00p,REG,/cbb/schools/drake/men/2018.html,Drake,/cbb/conferences/mvc/men/2018.html,MVC,-0.51,W,72,57,20,5,W 2,Joseph J. Gentile Arena,/cbb/schools/loyola-il/men/2018.html,
25,/cbb/boxscores/2018-02-10-14-indiana-state.html,"Sat, Feb 10, 2018",2:00p,REG,/cbb/schools/indiana-state/men/2018.html,Indiana State,/cbb/conferences/mvc/men/2018.html,MVC,1.53,W,75,71,21,5,W 3,Hulman Center,/cbb/schools/loyola-il/men/2018.html,@
26,/cbb/boxscores/2018-02-14-20-loyola-il.html,"Wed, Feb 14, 2018",8:00p,REG,/cbb/schools/valparaiso/men/2018.html,Valparaiso,/cbb/conferences/mvc/men/2018.html,MVC,0.63,W,80,71,22,5,W 4,Joseph J. Gentile Arena,/cbb/schools/loyola-il/men/2018.html,
27,/cbb/boxscores/2018-02-18-16-evansville.html,"Sun, Feb 18, 2018",4:00p,REG,/cbb/schools/evansville/men/2018.html,Evansville,/cbb/conferences/mvc/men/2018.html,MVC,0.68,W,76,66,23,5,W 5,Ford Center,/cbb/schools/loyola-il/men/2018.html,@
28,/cbb/boxscores/2018-02-21-20-southern-illinois.html,"Wed, Feb 21, 2018",8:00p,REG,/cbb/schools/southern-illinois/men/2018.html,Southern Illinois,/cbb/conferences/mvc/men/2018.html,MVC,1.37,W,75,56,24,5,W 6,SIU Arena,/cbb/schools/loyola-il/men/2018.html,@
29,/cbb/boxscores/2018-02-24-14-loyola-il.html,"Sat, Feb 24, 2018",2:00p,REG,/cbb/schools/illinois-state/men/2018.html,Illinois State,/cbb/conferences/mvc/men/2018.html,MVC,1.07,W,68,61,25,5,W 7,Joseph J. Gentile Arena,/cbb/schools/loyola-il/men/2018.html,
30,/cbb/boxscores/2018-03-02-13-loyola-il.html,"Fri, Mar 2, 2018",1:00p,CTOURN,/cbb/schools/northern-iowa/men/2018.html,Northern Iowa,/cbb/conferences/mvc/men/2018.html,MVC,4.00,W,54,50,26,5,W 8,Scottrade Center,/cbb/schools/loyola-il/men/2018.html,N
31,/cbb/boxscores/2018-03-03-15-loyola-il.html,"Sat, Mar 3, 2018",3:35p,CTOURN,/cbb/schools/bradley/men/2018.html,Bradley,/cbb/conferences/mvc/men/2018.html,MVC,2.07,W,62,54,27,5,W 9,Scottrade Center,/cbb/schools/loyola-il/men/2018.html,N
32,/cbb/boxscores/2018-03-04-14-loyola-il.html,"Sun, Mar 4, 2018",2:05p,CTOURN,/cbb/schools/illinois-state/men/2018.html,Illinois State,/cbb/conferences/mvc/men/2018.html,MVC,1.07,W,65,49,28,5,W 10,Scottrade Center,/cbb/schools/loyola-il/men/2018.html,N
33,/cbb/boxscores/2018-03-15-15-miami-fl.html,"Thu, Mar 15, 2018",3:10p,NCAA,/cbb/schools/miami-fl/men/2018.html,Miami (FL),/cbb/conferences/acc/men/2018.html,ACC,12.83,W,64,62,29,5,W 11,American Airlines Center,/cbb/schools/loyola-il/men/2018.html,N
34,/cbb/boxscores/2018-03-17-18-tennessee.html,"Sat, Mar 17, 2018",6:10p,NCAA,/cbb/schools/tennessee/men/2018.html,Tennessee,/cbb/conferences/sec/men/2018.html,SEC,18.20,W,63,62,30,5,W 12,American Airlines Center,/cbb/schools/loyola-il/men/2018.html,N
35,/cbb/boxscores/2018-03-22-19-nevada.html,"Thu, Mar 22, 2018",7:07p,NCAA,/cbb/schools/nevada/men/2018.html,Nevada,/cbb/conferences/mwc/men/2018.html,MWC,14.44,W,69,68,31,5,W 13,State Farm Arena,/cbb/schools/loyola-il/men/2018.html,N
