,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2017-11-10-20-miami-fl.html,"Fri, Nov 10, 2017",8:00p,REG,/cbb/schools/gardner-webb/men/2018.html,Gardner-Webb,/cbb/conferences/big-south/men/2018.html,Big South,-9.70,W,77,45,1,0,W 1,Watsco Center,/cbb/schools/miami-fl/men/2018.html,,
1,/cbb/boxscores/2017-11-12-16-miami-fl.html,"Sun, Nov 12, 2017",4:00p,REG,/cbb/schools/navy/men/2018.html,Navy,/cbb/conferences/patriot/men/2018.html,Patriot,-6.91,W,89,55,2,0,W 2,Watsco Center,/cbb/schools/miami-fl/men/2018.html,,
2,/cbb/boxscores/2017-11-16-19-miami-fl.html,"Thu, Nov 16, 2017",7:00p,REG,/cbb/schools/florida-am/men/2018.html,Florida A&M,/cbb/conferences/meac/men/2018.html,MEAC,-19.21,W,90,59,3,0,W 3,Watsco Center,/cbb/schools/miami-fl/men/2018.html,,
3,/cbb/boxscores/2017-11-22-18-miami-fl.html,"Wed, Nov 22, 2017",6:00p,REG,/cbb/schools/la-salle/men/2018.html,La Salle,/cbb/conferences/atlantic-10/men/2018.html,A-10,1.70,W,57,46,4,0,W 4,Santander Arena,/cbb/schools/miami-fl/men/2018.html,N,
4,/cbb/boxscores/2017-11-25-16-miami-fl.html,"Sat, Nov 25, 2017",4:00p,REG,/cbb/schools/north-florida/men/2018.html,North Florida,/cbb/conferences/atlantic-sun/men/2018.html,A-Sun,-11.40,W,86,65,5,0,W 5,Watsco Center,/cbb/schools/miami-fl/men/2018.html,,
5,/cbb/boxscores/2017-11-29-21-minnesota.html,"Wed, Nov 29, 2017",9:15p,REG,/cbb/schools/minnesota/men/2018.html,Minnesota,/cbb/conferences/big-ten/men/2018.html,Big Ten,7.00,W,86,81,6,0,W 6,Williams Arena,/cbb/schools/miami-fl/men/2018.html,@,
6,/cbb/boxscores/2017-12-02-20-miami-fl.html,"Sat, Dec 2, 2017",8:00p,REG,/cbb/schools/princeton/men/2018.html,Princeton,/cbb/conferences/ivy/men/2018.html,Ivy,-2.44,W,80,52,7,0,W 7,American Airlines Arena,/cbb/schools/miami-fl/men/2018.html,N,
7,/cbb/boxscores/2017-12-05-19-miami-fl.html,"Tue, Dec 5, 2017",7:00p,REG,/cbb/schools/boston-university/men/2018.html,Boston University,/cbb/conferences/patriot/men/2018.html,Patriot,-8.33,W,69,54,8,0,W 8,Watsco Center,/cbb/schools/miami-fl/men/2018.html,,
8,/cbb/boxscores/2017-12-16-12-george-washington.html,"Sat, Dec 16, 2017",12:00p,REG,/cbb/schools/george-washington/men/2018.html,George Washington,/cbb/conferences/atlantic-10/men/2018.html,A-10,-0.72,W,59,50,9,0,W 9,Charles E. Smith Center,/cbb/schools/miami-fl/men/2018.html,@,
9,/cbb/boxscores/2017-12-23-01-hawaii.html,"Sat, Dec 23, 2017",1:00a,REG,/cbb/schools/hawaii/men/2018.html,Hawaii,/cbb/conferences/big-west/men/2018.html,Big West,-2.33,W,75,57,10,0,W 10,Stan Sheriff Center,/cbb/schools/miami-fl/men/2018.html,@,
10,/cbb/boxscores/2017-12-23-22-miami-fl.html,"Sat, Dec 23, 2017",10:00p,REG,/cbb/schools/new-mexico-state/men/2018.html,New Mexico State,/cbb/conferences/wac/men/2018.html,WAC,9.06,L,54,63,10,1,L 1,Stan Sheriff Center,/cbb/schools/miami-fl/men/2018.html,N,
11,/cbb/boxscores/2017-12-25-20-miami-fl.html,"Mon, Dec 25, 2017",8:30p,REG,/cbb/schools/middle-tennessee/men/2018.html,Middle Tennessee,/cbb/conferences/cusa/men/2018.html,CUSA,10.29,W,84,81,11,1,W 1,Stan Sheriff Center,/cbb/schools/miami-fl/men/2018.html,N,
12,/cbb/boxscores/2017-12-30-16-pittsburgh.html,"Sat, Dec 30, 2017",4:00p,REG,/cbb/schools/pittsburgh/men/2018.html,Pittsburgh,/cbb/conferences/acc/men/2018.html,ACC,-1.87,W,67,53,12,1,W 2,Petersen Events Center,/cbb/schools/miami-fl/men/2018.html,@,
13,/cbb/boxscores/2018-01-03-21-georgia-tech.html,"Wed, Jan 3, 2018",9:00p,REG,/cbb/schools/georgia-tech/men/2018.html,Georgia Tech,/cbb/conferences/acc/men/2018.html,ACC,5.25,L,54,64,12,2,L 1,McCamish Pavilion,/cbb/schools/miami-fl/men/2018.html,@,
14,/cbb/boxscores/2018-01-07-18-miami-fl.html,"Sun, Jan 7, 2018",6:00p,REG,/cbb/schools/florida-state/men/2018.html,Florida State,/cbb/conferences/acc/men/2018.html,ACC,15.78,W,80,74,13,2,W 1,Watsco Center,/cbb/schools/miami-fl/men/2018.html,,
15,/cbb/boxscores/2018-01-13-15-clemson.html,"Sat, Jan 13, 2018",3:00p,REG,/cbb/schools/clemson/men/2018.html,Clemson,/cbb/conferences/acc/men/2018.html,ACC,17.16,L,63,72,13,3,L 1,Littlejohn Coliseum,/cbb/schools/miami-fl/men/2018.html,@,
16,/cbb/boxscores/2018-01-15-19-miami-fl.html,"Mon, Jan 15, 2018",7:00p,REG,/cbb/schools/duke/men/2018.html,Duke,/cbb/conferences/acc/men/2018.html,ACC,24.43,L,75,83,13,4,L 2,Watsco Center,/cbb/schools/miami-fl/men/2018.html,,
