,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2017-11-10-21-new-mexico-state.html,"Fri, Nov 10, 2017",9:00p,REG,East Central,,W,81,55,1,0,W 1,Pan American Center,/cbb/schools/new-mexico-state/men/2018.html,,,,,
1,/cbb/boxscores/2017-11-13-22-saint-marys-ca.html,"Mon, Nov 13, 2017",10:00p,REG,Saint Mary's (CA),WCC,L,74,92,1,1,L 1,McKeon Pavilion,/cbb/schools/new-mexico-state/men/2018.html,@,/cbb/schools/saint-marys-ca/men/2018.html,/cbb/conferences/wcc/men/2018.html,12.86,
2,/cbb/boxscores/2017-11-17-21-new-mexico-state.html,"Fri, Nov 17, 2017",9:00p,REG,New Mexico,MWC,W,75,56,2,1,W 1,Pan American Center,/cbb/schools/new-mexico-state/men/2018.html,,/cbb/schools/new-mexico/men/2018.html,/cbb/conferences/mwc/men/2018.html,5.81,
3,/cbb/boxscores/2017-11-22-21-new-mexico-state.html,"Wed, Nov 22, 2017",9:00p,REG,Colorado State,MWC,W,89,76,3,1,W 2,Pan American Center,/cbb/schools/new-mexico-state/men/2018.html,,/cbb/schools/colorado-state/men/2018.html,/cbb/conferences/mwc/men/2018.html,-3.86,
4,/cbb/boxscores/2017-11-25-21-new-mexico-state.html,"Sat, Nov 25, 2017",9:00p,REG,UTEP,CUSA,W,72,63,4,1,W 3,Pan American Center,/cbb/schools/new-mexico-state/men/2018.html,,/cbb/schools/texas-el-paso/men/2018.html,/cbb/conferences/cusa/men/2018.html,-5.31,
5,/cbb/boxscores/2017-11-30-22-texas-el-paso.html,"Thu, Nov 30, 2017",10:00p,REG,UTEP,CUSA,W,80,60,5,1,W 4,Don Haskins Center,/cbb/schools/new-mexico-state/men/2018.html,@,/cbb/schools/texas-el-paso/men/2018.html,/cbb/conferences/cusa/men/2018.html,-5.31,
6,/cbb/boxscores/2017-12-03-18-new-mexico-state.html,"Sun, Dec 3, 2017",6:00p,REG,Prairie View,SWAC,W,69,57,6,1,W 5,Pan American Center,/cbb/schools/new-mexico-state/men/2018.html,,/cbb/schools/prairie-view/men/2018.html,/cbb/conferences/swac/men/2018.html,-10.13,
7,/cbb/boxscores/2017-12-06-21-new-mexico-state.html,"Wed, Dec 6, 2017",9:00p,REG,San Diego,WCC,L,60,65,6,2,L 1,Pan American Center,/cbb/schools/new-mexico-state/men/2018.html,,/cbb/schools/san-diego/men/2018.html,/cbb/conferences/wcc/men/2018.html,2.86,
8,/cbb/boxscores/2017-12-09-21-new-mexico.html,"Sat, Dec 9, 2017",9:00p,REG,New Mexico,MWC,W,65,62,7,2,W 1,Dreamstyle Arena,/cbb/schools/new-mexico-state/men/2018.html,@,/cbb/schools/new-mexico/men/2018.html,/cbb/conferences/mwc/men/2018.html,5.81,
9,/cbb/boxscores/2017-12-12-21-new-mexico-state.html,"Tue, Dec 12, 2017",9:00p,REG,Eastern New Mexico,,W,84,62,8,2,W 2,Pan American Center,/cbb/schools/new-mexico-state/men/2018.html,,,,,
10,/cbb/boxscores/2017-12-16-20-illinois.html,"Sat, Dec 16, 2017",8:00p,REG,Illinois,Big Ten,W,74,69,9,2,W 3,United Center,/cbb/schools/new-mexico-state/men/2018.html,N,/cbb/schools/illinois/men/2018.html,/cbb/conferences/big-ten/men/2018.html,8.50,
11,/cbb/boxscores/2017-12-22-23-new-mexico-state.html,"Fri, Dec 22, 2017",11:00p,REG,Davidson,A-10,W,69,68,10,2,W 4,Stan Sheriff Center,/cbb/schools/new-mexico-state/men/2018.html,N,/cbb/schools/davidson/men/2018.html,/cbb/conferences/atlantic-10/men/2018.html,11.02,
12,/cbb/boxscores/2017-12-23-22-miami-fl.html,"Sat, Dec 23, 2017",10:00p,REG,Miami (FL),ACC,W,63,54,11,2,W 5,Stan Sheriff Center,/cbb/schools/new-mexico-state/men/2018.html,N,/cbb/schools/miami-fl/men/2018.html,/cbb/conferences/acc/men/2018.html,12.83,
13,/cbb/boxscores/2017-12-25-18-new-mexico-state.html,"Mon, Dec 25, 2017",6:00p,REG,Southern California,Pac-12,L,72,77,11,3,L 1,Stan Sheriff Center,/cbb/schools/new-mexico-state/men/2018.html,N,/cbb/schools/southern-california/men/2018.html,/cbb/conferences/pac-12/men/2018.html,12.81,
14,/cbb/boxscores/2017-12-28-22-california-irvine.html,"Thu, Dec 28, 2017",10:00p,REG,UC Irvine,Big West,W,65,60,12,3,W 1,Bren Events Center,/cbb/schools/new-mexico-state/men/2018.html,@,/cbb/schools/california-irvine/men/2018.html,/cbb/conferences/big-west/men/2018.html,-0.22,
15,/cbb/boxscores/2018-01-06-15-chicago-state.html,"Sat, Jan 6, 2018",3:05p,REG,Chicago State,WAC,W,97,60,13,3,W 2,Emil and Patricia Jones Convocation Center,/cbb/schools/new-mexico-state/men/2018.html,@,/cbb/schools/chicago-state/men/2018.html,/cbb/conferences/wac/men/2018.html,-21.53,
