,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2017-11-12-15-oklahoma.html,"Sun, Nov 12, 2017",3:00p,REG,/cbb/schools/nebraska-omaha/men/2018.html,Omaha,/cbb/conferences/summit/men/2018.html,Summit,-9.88,W,108,89,1,0,W 1,Lloyd Noble Center,/cbb/schools/oklahoma/men/2018.html,,
1,/cbb/boxscores/2017-11-15-20-oklahoma.html,"Wed, Nov 15, 2017",8:00p,REG,/cbb/schools/ball-state/men/2018.html,Ball State,/cbb/conferences/mac/men/2018.html,MAC,-1.22,W,108,69,2,0,W 2,Lloyd Noble Center,/cbb/schools/oklahoma/men/2018.html,,
2,/cbb/boxscores/2017-11-23-17-oklahoma.html,"Thu, Nov 23, 2017",5:00p,REG,/cbb/schools/arkansas/men/2018.html,Arkansas,/cbb/conferences/sec/men/2018.html,SEC,14.76,L,83,92,2,1,L 1,Moda Center,/cbb/schools/oklahoma/men/2018.html,N,
3,/cbb/boxscores/2017-11-24-18-oklahoma.html,"Fri, Nov 24, 2017",6:00p,REG,/cbb/schools/portland/men/2018.html,Portland,/cbb/conferences/wcc/men/2018.html,WCC,-6.60,W,93,71,3,1,W 1,Memorial Coliseum,/cbb/schools/oklahoma/men/2018.html,N,
4,/cbb/boxscores/2017-11-26-13-oregon.html,"Sun, Nov 26, 2017",1:00p,REG,/cbb/schools/oregon/men/2018.html,Oregon,/cbb/conferences/pac-12/men/2018.html,Pac-12,10.70,W,90,80,4,1,W 2,Memorial Coliseum,/cbb/schools/oklahoma/men/2018.html,N,
5,/cbb/boxscores/2017-11-30-20-oklahoma.html,"Thu, Nov 30, 2017",8:00p,REG,/cbb/schools/north-texas/men/2018.html,North Texas,/cbb/conferences/cusa/men/2018.html,CUSA,1.16,W,82,72,5,1,W 3,Lloyd Noble Center,/cbb/schools/oklahoma/men/2018.html,,
6,/cbb/boxscores/2017-12-04-20-oklahoma.html,"Mon, Dec 4, 2017",8:00p,REG,/cbb/schools/texas-san-antonio/men/2018.html,UTSA,/cbb/conferences/cusa/men/2018.html,CUSA,-1.24,W,97,85,6,1,W 4,Lloyd Noble Center,/cbb/schools/oklahoma/men/2018.html,,
7,/cbb/boxscores/2017-12-08-22-southern-california.html,"Fri, Dec 8, 2017",10:30p,REG,/cbb/schools/southern-california/men/2018.html,Southern California,/cbb/conferences/pac-12/men/2018.html,Pac-12,12.81,W,85,83,7,1,W 5,Staples Center,/cbb/schools/oklahoma/men/2018.html,N,
8,/cbb/boxscores/2017-12-16-16-wichita-state.html,"Sat, Dec 16, 2017",4:00p,REG,/cbb/schools/wichita-state/men/2018.html,Wichita State,/cbb/conferences/aac/men/2018.html,AAC,16.58,W,91,83,8,1,W 6,Charles Koch Arena,/cbb/schools/oklahoma/men/2018.html,@,
9,/cbb/boxscores/2017-12-19-19-oklahoma.html,"Tue, Dec 19, 2017",7:00p,REG,/cbb/schools/northwestern-state/men/2018.html,Northwestern State,/cbb/conferences/southland/men/2018.html,Southland,-21.02,W,105,68,9,1,W 7,Lloyd Noble Center,/cbb/schools/oklahoma/men/2018.html,,
10,/cbb/boxscores/2017-12-22-19-oklahoma.html,"Fri, Dec 22, 2017",7:00p,REG,/cbb/schools/northwestern/men/2018.html,Northwestern,/cbb/conferences/big-ten/men/2018.html,Big Ten,9.63,W,104,78,10,1,W 8,Lloyd Noble Center,/cbb/schools/oklahoma/men/2018.html,,
11,/cbb/boxscores/2017-12-30-14-texas-christian.html,"Sat, Dec 30, 2017",2:00p,REG,/cbb/schools/texas-christian/men/2018.html,TCU,/cbb/conferences/big-12/men/2018.html,Big 12,16.38,W,90,89,11,1,W 9,Ed & Rae Schollmaier Arena,/cbb/schools/oklahoma/men/2018.html,@,
12,/cbb/boxscores/2018-01-03-21-oklahoma.html,"Wed, Jan 3, 2018",9:00p,REG,/cbb/schools/oklahoma-state/men/2018.html,Oklahoma State,/cbb/conferences/big-12/men/2018.html,Big 12,12.45,W,109,89,12,1,W 10,Lloyd Noble Center,/cbb/schools/oklahoma/men/2018.html,,
13,/cbb/boxscores/2018-01-06-19-west-virginia.html,"Sat, Jan 6, 2018",7:15p,REG,/cbb/schools/west-virginia/men/2018.html,West Virginia,/cbb/conferences/big-12/men/2018.html,Big 12,19.89,L,76,89,12,2,L 1,WVU Coliseum,/cbb/schools/oklahoma/men/2018.html,@,
14,/cbb/boxscores/2018-01-09-19-oklahoma.html,"Tue, Jan 9, 2018",7:00p,REG,/cbb/schools/texas-tech/men/2018.html,Texas Tech,/cbb/conferences/big-12/men/2018.html,Big 12,19.38,W,75,65,13,2,W 1,Lloyd Noble Center,/cbb/schools/oklahoma/men/2018.html,,
15,/cbb/boxscores/2018-01-13-13-oklahoma.html,"Sat, Jan 13, 2018",1:00p,REG,/cbb/schools/texas-christian/men/2018.html,TCU,/cbb/conferences/big-12/men/2018.html,Big 12,16.38,W,102,97,14,2,W 2,Lloyd Noble Center,/cbb/schools/oklahoma/men/2018.html,,OT
16,/cbb/boxscores/2018-01-16-21-kansas-state.html,"Tue, Jan 16, 2018",9:00p,REG,/cbb/schools/kansas-state/men/2018.html,Kansas State,/cbb/conferences/big-12/men/2018.html,Big 12,12.85,L,69,87,14,3,L 1,Bramlage Coliseum,/cbb/schools/oklahoma/men/2018.html,@,
17,/cbb/boxscores/2018-01-20-14-oklahoma-state.html,"Sat, Jan 20, 2018",2:00p,REG,/cbb/schools/oklahoma-state/men/2018.html,Oklahoma State,/cbb/conferences/big-12/men/2018.html,Big 12,12.45,L,81,83,14,4,L 2,Gallagher-Iba Arena,/cbb/schools/oklahoma/men/2018.html,@,OT
18,/cbb/boxscores/2018-01-23-19-oklahoma.html,"Tue, Jan 23, 2018",7:00p,REG,/cbb/schools/kansas/men/2018.html,Kansas,/cbb/conferences/big-12/men/2018.html,Big 12,21.39,W,85,80,15,4,W 1,Lloyd Noble Center,/cbb/schools/oklahoma/men/2018.html,,
19,/cbb/boxscores/2018-01-27-14-alabama.html,"Sat, Jan 27, 2018",2:15p,REG,/cbb/schools/alabama/men/2018.html,Alabama,/cbb/conferences/sec/men/2018.html,SEC,12.34,L,73,80,15,5,L 1,Coleman Coliseum,/cbb/schools/oklahoma/men/2018.html,@,
20,/cbb/boxscores/2018-01-30-21-oklahoma.html,"Tue, Jan 30, 2018",9:00p,REG,/cbb/schools/baylor/men/2018.html,Baylor,/cbb/conferences/big-12/men/2018.html,Big 12,14.60,W,98,96,16,5,W 1,Lloyd Noble Center,/cbb/schools/oklahoma/men/2018.html,,
21,/cbb/boxscores/2018-02-03-18-texas.html,"Sat, Feb 3, 2018",6:15p,REG,/cbb/schools/texas/men/2018.html,Texas,/cbb/conferences/big-12/men/2018.html,Big 12,13.96,L,74,79,16,6,L 1,Frank Erwin Center,/cbb/schools/oklahoma/men/2018.html,@,
22,/cbb/boxscores/2018-02-05-21-oklahoma.html,"Mon, Feb 5, 2018",9:00p,REG,/cbb/schools/west-virginia/men/2018.html,West Virginia,/cbb/conferences/big-12/men/2018.html,Big 12,19.89,L,73,75,16,7,L 2,Lloyd Noble Center,/cbb/schools/oklahoma/men/2018.html,,
23,/cbb/boxscores/2018-02-10-14-iowa-state.html,"Sat, Feb 10, 2018",2:00p,REG,/cbb/schools/iowa-state/men/2018.html,Iowa State,/cbb/conferences/big-12/men/2018.html,Big 12,6.88,L,80,88,16,8,L 3,James H. Hilton Coliseum,/cbb/schools/oklahoma/men/2018.html,@,
24,/cbb/boxscores/2018-02-13-19-texas-tech.html,"Tue, Feb 13, 2018",7:00p,REG,/cbb/schools/texas-tech/men/2018.html,Texas Tech,/cbb/conferences/big-12/men/2018.html,Big 12,19.38,L,78,88,16,9,L 4,United Supermarkets Arena,/cbb/schools/oklahoma/men/2018.html,@,
25,/cbb/boxscores/2018-02-17-12-oklahoma.html,"Sat, Feb 17, 2018",12:00p,REG,/cbb/schools/texas/men/2018.html,Texas,/cbb/conferences/big-12/men/2018.html,Big 12,13.96,L,66,77,16,10,L 5,Lloyd Noble Center,/cbb/schools/oklahoma/men/2018.html,,
26,/cbb/boxscores/2018-02-19-21-kansas.html,"Mon, Feb 19, 2018",9:00p,REG,/cbb/schools/kansas/men/2018.html,Kansas,/cbb/conferences/big-12/men/2018.html,Big 12,21.39,L,74,104,16,11,L 6,Allen Fieldhouse,/cbb/schools/oklahoma/men/2018.html,@,
27,/cbb/boxscores/2018-02-24-18-oklahoma.html,"Sat, Feb 24, 2018",6:00p,REG,/cbb/schools/kansas-state/men/2018.html,Kansas State,/cbb/conferences/big-12/men/2018.html,Big 12,12.85,W,86,77,17,11,W 1,Lloyd Noble Center,/cbb/schools/oklahoma/men/2018.html,,
28,/cbb/boxscores/2018-02-27-21-baylor.html,"Tue, Feb 27, 2018",9:00p,REG,/cbb/schools/baylor/men/2018.html,Baylor,/cbb/conferences/big-12/men/2018.html,Big 12,14.60,L,64,87,17,12,L 1,Ferrell Center,/cbb/schools/oklahoma/men/2018.html,@,
29,/cbb/boxscores/2018-03-02-21-oklahoma.html,"Fri, Mar 2, 2018",9:00p,REG,/cbb/schools/iowa-state/men/2018.html,Iowa State,/cbb/conferences/big-12/men/2018.html,Big 12,6.88,W,81,60,18,12,W 1,Lloyd Noble Center,/cbb/schools/oklahoma/men/2018.html,,
30,/cbb/boxscores/2018-03-07-19-oklahoma-state.html,"Wed, Mar 7, 2018",7:00p,CTOURN,/cbb/schools/oklahoma-state/men/2018.html,Oklahoma State,/cbb/conferences/big-12/men/2018.html,Big 12,12.45,L,60,71,18,13,L 1,Sprint Center,/cbb/schools/oklahoma/men/2018.html,N,
31,/cbb/boxscores/2018-03-15-12-rhode-island.html,"Thu, Mar 15, 2018",12:15p,NCAA,/cbb/schools/rhode-island/men/2018.html,Rhode Island,/cbb/conferences/atlantic-10/men/2018.html,A-10,11.81,L,78,83,18,14,L 2,PPG Paints Arena,/cbb/schools/oklahoma/men/2018.html,N,OT
