,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2017-11-11-13-fairfield.html,"Sat, Nov 11, 2017",1:00p,REG,@,/cbb/schools/fairfield/men/2018.html,Fairfield,/cbb/conferences/maac/men/2018.html,MAAC,-4.98,L,72,80,0,1,L 1,Webster Bank Arena,/cbb/schools/pennsylvania/men/2018.html,
1,/cbb/boxscores/2017-11-13-19-pennsylvania.html,"Mon, Nov 13, 2017",7:00p,REG,,/cbb/schools/la-salle/men/2018.html,La Salle,/cbb/conferences/atlantic-10/men/2018.html,A-10,1.70,L,71,75,0,2,L 2,The Palestra,/cbb/schools/pennsylvania/men/2018.html,2OT
2,/cbb/boxscores/2017-11-15-19-pennsylvania.html,"Wed, Nov 15, 2017",7:00p,REG,,/cbb/schools/navy/men/2018.html,Navy,/cbb/conferences/patriot/men/2018.html,Patriot,-6.91,W,66,45,1,2,W 1,The Palestra,/cbb/schools/pennsylvania/men/2018.html,
3,/cbb/boxscores/2017-11-18-11-pennsylvania.html,"Sat, Nov 18, 2017",11:30a,REG,,,Penn St. - Brandywine,,,,W,99,40,2,2,W 2,The Palestra,/cbb/schools/pennsylvania/men/2018.html,
4,/cbb/boxscores/2017-11-20-17-northern-illinois.html,"Mon, Nov 20, 2017",5:00p,REG,N,/cbb/schools/northern-illinois/men/2018.html,Northern Illinois,/cbb/conferences/mac/men/2018.html,MAC,-6.71,W,93,80,3,2,W 3,Hertz Arena,/cbb/schools/pennsylvania/men/2018.html,
5,/cbb/boxscores/2017-11-21-19-towson.html,"Tue, Nov 21, 2017",7:30p,REG,N,/cbb/schools/towson/men/2018.html,Towson,/cbb/conferences/colonial/men/2018.html,CAA,-0.12,L,71,79,3,3,L 1,Hertz Arena,/cbb/schools/pennsylvania/men/2018.html,
6,/cbb/boxscores/2017-11-22-17-missouri-kansas-city.html,"Wed, Nov 22, 2017",5:00p,REG,N,/cbb/schools/missouri-kansas-city/men/2018.html,Kansas City,/cbb/conferences/wac/men/2018.html,WAC,-10.19,W,68,65,4,3,W 1,Hertz Arena,/cbb/schools/pennsylvania/men/2018.html,
7,/cbb/boxscores/2017-11-25-19-monmouth.html,"Sat, Nov 25, 2017",7:00p,REG,@,/cbb/schools/monmouth/men/2018.html,Monmouth,/cbb/conferences/maac/men/2018.html,MAAC,-2.41,W,101,96,5,3,W 2,OceanFirst Bank Center,/cbb/schools/pennsylvania/men/2018.html,4OT
8,/cbb/boxscores/2017-11-29-19-villanova.html,"Wed, Nov 29, 2017",7:00p,REG,@,/cbb/schools/villanova/men/2018.html,Villanova,/cbb/conferences/big-east/men/2018.html,Big East,26.64,L,62,90,5,4,L 1,Jake Nevin Field House,/cbb/schools/pennsylvania/men/2018.html,
9,/cbb/boxscores/2017-12-04-19-howard.html,"Mon, Dec 4, 2017",7:00p,REG,@,/cbb/schools/howard/men/2018.html,Howard,/cbb/conferences/meac/men/2018.html,MEAC,-17.26,W,81,68,6,4,W 1,Burr Gymnasium,/cbb/schools/pennsylvania/men/2018.html,
10,/cbb/boxscores/2017-12-06-20-lafayette.html,"Wed, Dec 6, 2017",8:00p,REG,@,/cbb/schools/lafayette/men/2018.html,Lafayette,/cbb/conferences/patriot/men/2018.html,Patriot,-9.77,W,73,68,7,4,W 2,Kirby Sports Center,/cbb/schools/pennsylvania/men/2018.html,
11,/cbb/boxscores/2017-12-09-15-dayton.html,"Sat, Dec 9, 2017",3:00p,REG,@,/cbb/schools/dayton/men/2018.html,Dayton,/cbb/conferences/atlantic-10/men/2018.html,A-10,1.64,W,78,70,8,4,W 3,University of Dayton Arena,/cbb/schools/pennsylvania/men/2018.html,
12,/cbb/boxscores/2017-12-27-19-pennsylvania.html,"Wed, Dec 27, 2017",7:00p,REG,,/cbb/schools/delaware-state/men/2018.html,Delaware State,/cbb/conferences/meac/men/2018.html,MEAC,-24.57,W,105,52,9,4,W 4,The Palestra,/cbb/schools/pennsylvania/men/2018.html,
13,/cbb/boxscores/2017-12-29-16-pennsylvania.html,"Fri, Dec 29, 2017",4:00p,REG,,/cbb/schools/toledo/men/2018.html,Toledo,/cbb/conferences/mac/men/2018.html,MAC,2.65,L,72,85,9,5,L 1,The Palestra,/cbb/schools/pennsylvania/men/2018.html,
14,/cbb/boxscores/2018-01-06-16-pennsylvania.html,"Sat, Jan 6, 2018",4:00p,REG,,/cbb/schools/princeton/men/2018.html,Princeton,/cbb/conferences/ivy/men/2018.html,Ivy,-2.44,W,76,70,10,5,W 1,The Palestra,/cbb/schools/pennsylvania/men/2018.html,
15,/cbb/boxscores/2018-01-12-20-pennsylvania.html,"Fri, Jan 12, 2018",8:00p,REG,,/cbb/schools/cornell/men/2018.html,Cornell,/cbb/conferences/ivy/men/2018.html,Ivy,-8.80,W,69,61,11,5,W 2,The Palestra,/cbb/schools/pennsylvania/men/2018.html,
16,/cbb/boxscores/2018-01-13-19-pennsylvania.html,"Sat, Jan 13, 2018",7:00p,REG,,/cbb/schools/columbia/men/2018.html,Columbia,/cbb/conferences/ivy/men/2018.html,Ivy,-5.63,W,77,71,12,5,W 3,The Palestra,/cbb/schools/pennsylvania/men/2018.html,
17,/cbb/boxscores/2018-01-20-14-pennsylvania.html,"Sat, Jan 20, 2018",2:00p,REG,,/cbb/schools/temple/men/2018.html,Temple,/cbb/conferences/aac/men/2018.html,AAC,7.25,L,51,60,12,6,L 1,The Palestra,/cbb/schools/pennsylvania/men/2018.html,
18,/cbb/boxscores/2018-01-27-19-pennsylvania.html,"Sat, Jan 27, 2018",7:00p,REG,,/cbb/schools/saint-josephs/men/2018.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2018.html,A-10,3.78,W,67,56,13,6,W 1,The Palestra,/cbb/schools/pennsylvania/men/2018.html,
19,/cbb/boxscores/2018-02-02-19-pennsylvania.html,"Fri, Feb 2, 2018",7:00p,REG,,/cbb/schools/brown/men/2018.html,Brown,/cbb/conferences/ivy/men/2018.html,Ivy,-7.78,W,95,90,14,6,W 2,The Palestra,/cbb/schools/pennsylvania/men/2018.html,OT
20,/cbb/boxscores/2018-02-03-19-pennsylvania.html,"Sat, Feb 3, 2018",7:00p,REG,,/cbb/schools/yale/men/2018.html,Yale,/cbb/conferences/ivy/men/2018.html,Ivy,-4.19,W,59,50,15,6,W 3,The Palestra,/cbb/schools/pennsylvania/men/2018.html,
21,/cbb/boxscores/2018-02-06-18-princeton.html,"Tue, Feb 6, 2018",6:00p,REG,@,/cbb/schools/princeton/men/2018.html,Princeton,/cbb/conferences/ivy/men/2018.html,Ivy,-2.44,W,82,65,16,6,W 4,Jadwin Gymnasium,/cbb/schools/pennsylvania/men/2018.html,
22,/cbb/boxscores/2018-02-09-19-dartmouth.html,"Fri, Feb 9, 2018",7:00p,REG,@,/cbb/schools/dartmouth/men/2018.html,Dartmouth,/cbb/conferences/ivy/men/2018.html,Ivy,-10.31,W,64,61,17,6,W 5,Leede Arena,/cbb/schools/pennsylvania/men/2018.html,
23,/cbb/boxscores/2018-02-10-16-harvard.html,"Sat, Feb 10, 2018",4:00p,REG,@,/cbb/schools/harvard/men/2018.html,Harvard,/cbb/conferences/ivy/men/2018.html,Ivy,-0.28,L,67,76,17,7,L 1,Lavietes Pavilion,/cbb/schools/pennsylvania/men/2018.html,
24,/cbb/boxscores/2018-02-16-19-columbia.html,"Fri, Feb 16, 2018",7:00p,REG,@,/cbb/schools/columbia/men/2018.html,Columbia,/cbb/conferences/ivy/men/2018.html,Ivy,-5.63,W,74,62,18,7,W 1,Levien Gymnasium,/cbb/schools/pennsylvania/men/2018.html,
25,/cbb/boxscores/2018-02-17-18-cornell.html,"Sat, Feb 17, 2018",6:30p,REG,@,/cbb/schools/cornell/men/2018.html,Cornell,/cbb/conferences/ivy/men/2018.html,Ivy,-8.80,W,79,71,19,7,W 2,Newman Arena,/cbb/schools/pennsylvania/men/2018.html,
26,/cbb/boxscores/2018-02-23-19-pennsylvania.html,"Fri, Feb 23, 2018",7:00p,REG,,/cbb/schools/dartmouth/men/2018.html,Dartmouth,/cbb/conferences/ivy/men/2018.html,Ivy,-10.31,W,74,46,20,7,W 3,The Palestra,/cbb/schools/pennsylvania/men/2018.html,
27,/cbb/boxscores/2018-02-24-19-pennsylvania.html,"Sat, Feb 24, 2018",7:00p,REG,,/cbb/schools/harvard/men/2018.html,Harvard,/cbb/conferences/ivy/men/2018.html,Ivy,-0.28,W,74,71,21,7,W 4,The Palestra,/cbb/schools/pennsylvania/men/2018.html,
28,/cbb/boxscores/2018-03-02-19-yale.html,"Fri, Mar 2, 2018",7:00p,REG,@,/cbb/schools/yale/men/2018.html,Yale,/cbb/conferences/ivy/men/2018.html,Ivy,-4.19,L,79,80,21,8,L 1,John J. Lee Amphitheater,/cbb/schools/pennsylvania/men/2018.html,
29,/cbb/boxscores/2018-03-03-18-brown.html,"Sat, Mar 3, 2018",6:00p,REG,@,/cbb/schools/brown/men/2018.html,Brown,/cbb/conferences/ivy/men/2018.html,Ivy,-7.78,W,99,93,22,8,W 1,Pizzitola Sports Center,/cbb/schools/pennsylvania/men/2018.html,
30,/cbb/boxscores/2018-03-10-15-pennsylvania.html,"Sat, Mar 10, 2018",3:00p,CTOURN,N,/cbb/schools/yale/men/2018.html,Yale,/cbb/conferences/ivy/men/2018.html,Ivy,-4.19,W,80,57,23,8,W 2,The Palestra,/cbb/schools/pennsylvania/men/2018.html,
31,/cbb/boxscores/2018-03-11-12-harvard.html,"Sun, Mar 11, 2018",12:00p,CTOURN,N,/cbb/schools/harvard/men/2018.html,Harvard,/cbb/conferences/ivy/men/2018.html,Ivy,-0.28,W,68,65,24,8,W 3,The Palestra,/cbb/schools/pennsylvania/men/2018.html,
32,/cbb/boxscores/2018-03-15-14-kansas.html,"Thu, Mar 15, 2018",2:00p,NCAA,N,/cbb/schools/kansas/men/2018.html,Kansas,/cbb/conferences/big-12/men/2018.html,Big 12,21.39,L,60,76,24,9,L 1,Intrust Bank Arena,/cbb/schools/pennsylvania/men/2018.html,
