,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2017-11-10-19-rhode-island.html,"Fri, Nov 10, 2017",7:30p,REG,/cbb/schools/north-carolina-asheville/men/2018.html,UNC Asheville,/cbb/conferences/big-south/men/2018.html,Big South,-3.92,W,84,60,1,0,W 1,Ryan Center,/cbb/schools/rhode-island/men/2018.html,,
1,/cbb/boxscores/2017-11-13-23-nevada.html,"Mon, Nov 13, 2017",11:30p,REG,/cbb/schools/nevada/men/2018.html,Nevada,/cbb/conferences/mwc/men/2018.html,MWC,14.44,L,81,88,1,1,L 1,Lawlor Events Center,/cbb/schools/rhode-island/men/2018.html,@,
2,/cbb/boxscores/2017-11-19-13-rhode-island.html,"Sun, Nov 19, 2017",1:00p,REG,/cbb/schools/holy-cross/men/2018.html,Holy Cross,/cbb/conferences/patriot/men/2018.html,Patriot,-9.92,W,88,66,2,1,W 1,Ryan Center,/cbb/schools/rhode-island/men/2018.html,,
3,/cbb/boxscores/2017-11-23-18-seton-hall.html,"Thu, Nov 23, 2017",6:00p,REG,/cbb/schools/seton-hall/men/2018.html,Seton Hall,/cbb/conferences/big-east/men/2018.html,Big East,15.67,W,75,74,3,1,W 2,Barclays Center,/cbb/schools/rhode-island/men/2018.html,N,
4,/cbb/boxscores/2017-11-24-19-rhode-island.html,"Fri, Nov 24, 2017",7:30p,REG,/cbb/schools/virginia/men/2018.html,Virginia,/cbb/conferences/acc/men/2018.html,ACC,22.20,L,55,70,3,2,L 1,Barclays Center,/cbb/schools/rhode-island/men/2018.html,N,
5,/cbb/boxscores/2017-11-28-19-rhode-island.html,"Tue, Nov 28, 2017",7:00p,REG,/cbb/schools/brown/men/2018.html,Brown,/cbb/conferences/ivy/men/2018.html,Ivy,-7.78,W,86,62,4,2,W 1,Ryan Center,/cbb/schools/rhode-island/men/2018.html,,
6,/cbb/boxscores/2017-12-02-17-rhode-island.html,"Sat, Dec 2, 2017",5:00p,REG,/cbb/schools/providence/men/2018.html,Providence,/cbb/conferences/big-east/men/2018.html,Big East,11.12,W,75,68,5,2,W 2,Ryan Center,/cbb/schools/rhode-island/men/2018.html,,
7,/cbb/boxscores/2017-12-06-20-alabama.html,"Wed, Dec 6, 2017",8:00p,REG,/cbb/schools/alabama/men/2018.html,Alabama,/cbb/conferences/sec/men/2018.html,SEC,12.34,L,64,68,5,3,L 1,Coleman Coliseum,/cbb/schools/rhode-island/men/2018.html,@,
8,/cbb/boxscores/2017-12-16-16-rhode-island.html,"Sat, Dec 16, 2017",4:00p,REG,/cbb/schools/college-of-charleston/men/2018.html,College of Charleston,/cbb/conferences/colonial/men/2018.html,CAA,1.83,W,68,62,6,3,W 1,Ryan Center,/cbb/schools/rhode-island/men/2018.html,,
9,/cbb/boxscores/2017-12-21-19-rhode-island.html,"Thu, Dec 21, 2017",7:00p,REG,/cbb/schools/iona/men/2018.html,Iona,/cbb/conferences/maac/men/2018.html,MAAC,0.75,W,80,74,7,3,W 2,Ryan Center,/cbb/schools/rhode-island/men/2018.html,,
10,/cbb/boxscores/2017-12-27-19-rhode-island.html,"Wed, Dec 27, 2017",7:00p,REG,/cbb/schools/florida-gulf-coast/men/2018.html,Florida Gulf Coast,/cbb/conferences/atlantic-sun/men/2018.html,A-Sun,1.94,W,80,60,8,3,W 3,Ryan Center,/cbb/schools/rhode-island/men/2018.html,,
11,/cbb/boxscores/2017-12-30-16-rhode-island.html,"Sat, Dec 30, 2017",4:00p,REG,/cbb/schools/george-mason/men/2018.html,George Mason,/cbb/conferences/atlantic-10/men/2018.html,A-10,-2.97,W,83,64,9,3,W 4,Ryan Center,/cbb/schools/rhode-island/men/2018.html,,
12,/cbb/boxscores/2018-01-03-19-rhode-island.html,"Wed, Jan 3, 2018",7:00p,REG,/cbb/schools/la-salle/men/2018.html,La Salle,/cbb/conferences/atlantic-10/men/2018.html,A-10,1.70,W,74,62,10,3,W 5,Ryan Center,/cbb/schools/rhode-island/men/2018.html,,
13,/cbb/boxscores/2018-01-06-16-george-washington.html,"Sat, Jan 6, 2018",4:00p,REG,/cbb/schools/george-washington/men/2018.html,George Washington,/cbb/conferences/atlantic-10/men/2018.html,A-10,-0.72,W,81,60,11,3,W 6,Charles E. Smith Center,/cbb/schools/rhode-island/men/2018.html,@,
14,/cbb/boxscores/2018-01-09-19-saint-louis.html,"Tue, Jan 9, 2018",7:00p,REG,/cbb/schools/saint-louis/men/2018.html,Saint Louis,/cbb/conferences/atlantic-10/men/2018.html,A-10,2.58,W,72,65,12,3,W 7,Chaifetz Arena,/cbb/schools/rhode-island/men/2018.html,@,
15,/cbb/boxscores/2018-01-13-11-rhode-island.html,"Sat, Jan 13, 2018",11:00a,REG,/cbb/schools/st-bonaventure/men/2018.html,St. Bonaventure,/cbb/conferences/atlantic-10/men/2018.html,A-10,8.87,W,87,73,13,3,W 8,Ryan Center,/cbb/schools/rhode-island/men/2018.html,,
16,/cbb/boxscores/2018-01-17-19-rhode-island.html,"Wed, Jan 17, 2018",7:00p,REG,/cbb/schools/massachusetts/men/2018.html,Massachusetts,/cbb/conferences/atlantic-10/men/2018.html,A-10,-1.65,W,73,51,14,3,W 9,Ryan Center,/cbb/schools/rhode-island/men/2018.html,,
17,/cbb/boxscores/2018-01-20-13-dayton.html,"Sat, Jan 20, 2018",1:00p,REG,/cbb/schools/dayton/men/2018.html,Dayton,/cbb/conferences/atlantic-10/men/2018.html,A-10,1.64,W,88,74,15,3,W 10,University of Dayton Arena,/cbb/schools/rhode-island/men/2018.html,@,
18,/cbb/boxscores/2018-01-24-19-fordham.html,"Wed, Jan 24, 2018",7:00p,REG,/cbb/schools/fordham/men/2018.html,Fordham,/cbb/conferences/atlantic-10/men/2018.html,A-10,-6.74,W,78,58,16,3,W 11,Rose Hill Gymnasium,/cbb/schools/rhode-island/men/2018.html,@,
