,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2017-11-10-18-seton-hall.html,"Fri, Nov 10, 2017",6:30p,REG,/cbb/schools/fairleigh-dickinson/men/2018.html,FDU,/cbb/conferences/northeast/men/2018.html,NEC,-10.41,W,90,68,1,0,W 1,Prudential Center,/cbb/schools/seton-hall/men/2018.html,,
1,/cbb/boxscores/2017-11-12-13-seton-hall.html,"Sun, Nov 12, 2017",1:30p,REG,/cbb/schools/monmouth/men/2018.html,Monmouth,/cbb/conferences/maac/men/2018.html,MAAC,-2.41,W,75,65,2,0,W 2,Prudential Center,/cbb/schools/seton-hall/men/2018.html,,
2,/cbb/boxscores/2017-11-15-18-seton-hall.html,"Wed, Nov 15, 2017",6:30p,REG,/cbb/schools/indiana/men/2018.html,Indiana,/cbb/conferences/big-ten/men/2018.html,Big Ten,9.89,W,84,68,3,0,W 3,Prudential Center,/cbb/schools/seton-hall/men/2018.html,,
3,/cbb/boxscores/2017-11-18-16-seton-hall.html,"Sat, Nov 18, 2017",4:00p,REG,/cbb/schools/njit/men/2018.html,NJIT,/cbb/conferences/atlantic-sun/men/2018.html,A-Sun,-7.25,W,82,53,4,0,W 4,Prudential Center,/cbb/schools/seton-hall/men/2018.html,,
4,/cbb/boxscores/2017-11-23-18-seton-hall.html,"Thu, Nov 23, 2017",6:00p,REG,/cbb/schools/rhode-island/men/2018.html,Rhode Island,/cbb/conferences/atlantic-10/men/2018.html,A-10,11.81,L,74,75,4,1,L 1,Barclays Center,/cbb/schools/seton-hall/men/2018.html,N,
5,/cbb/boxscores/2017-11-24-21-seton-hall.html,"Fri, Nov 24, 2017",9:45p,REG,/cbb/schools/vanderbilt/men/2018.html,Vanderbilt,/cbb/conferences/sec/men/2018.html,SEC,8.52,W,72,59,5,1,W 1,Barclays Center,/cbb/schools/seton-hall/men/2018.html,N,
6,/cbb/boxscores/2017-11-30-18-texas-tech.html,"Thu, Nov 30, 2017",6:30p,REG,/cbb/schools/texas-tech/men/2018.html,Texas Tech,/cbb/conferences/big-12/men/2018.html,Big 12,19.38,W,89,79,6,1,W 2,Madison Square Garden (IV),/cbb/schools/seton-hall/men/2018.html,N,
7,/cbb/boxscores/2017-12-03-16-louisville.html,"Sun, Dec 3, 2017",4:00p,REG,/cbb/schools/louisville/men/2018.html,Louisville,/cbb/conferences/acc/men/2018.html,ACC,14.30,W,79,77,7,1,W 3,KFC Yum! Center,/cbb/schools/seton-hall/men/2018.html,@,
8,/cbb/boxscores/2017-12-09-15-seton-hall.html,"Sat, Dec 9, 2017",3:00p,REG,/cbb/schools/virginia-commonwealth/men/2018.html,Virginia Commonwealth,/cbb/conferences/atlantic-10/men/2018.html,A-10,3.55,W,90,67,8,1,W 4,Prudential Center,/cbb/schools/seton-hall/men/2018.html,,
9,/cbb/boxscores/2017-12-12-19-seton-hall.html,"Tue, Dec 12, 2017",7:00p,REG,/cbb/schools/saint-peters/men/2018.html,Saint Peter's,/cbb/conferences/maac/men/2018.html,MAAC,-5.24,W,84,61,9,1,W 5,Walsh Gymnasium,/cbb/schools/seton-hall/men/2018.html,,
