,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2017-11-11-15-longwood.html,"Sat, Nov 11, 2017",3:00p,REG,@,/cbb/schools/longwood/men/2018.html,Longwood,/cbb/conferences/big-south/men/2018.html,Big South,-18.31,W,74,61,1,0,W 1,Willett Hall,/cbb/schools/stephen-f-austin/men/2018.html
1,/cbb/boxscores/2017-11-15-20-stephen-f-austin.html,"Wed, Nov 15, 2017",8:00p,REG,,,St. Edward's,,,,W,89,66,2,0,W 2,William Johnson Coliseum,/cbb/schools/stephen-f-austin/men/2018.html
2,/cbb/boxscores/2017-11-16-20-stephen-f-austin.html,"Thu, Nov 16, 2017",8:00p,REG,,,LeTourneau,,,,W,91,68,3,0,W 3,William Johnson Coliseum,/cbb/schools/stephen-f-austin/men/2018.html
3,/cbb/boxscores/2017-11-18-17-stephen-f-austin.html,"Sat, Nov 18, 2017",5:00p,REG,,,Howard Payne,,,,W,118,64,4,0,W 4,William Johnson Coliseum,/cbb/schools/stephen-f-austin/men/2018.html
4,/cbb/boxscores/2017-11-22-20-mississippi-state.html,"Wed, Nov 22, 2017",8:00p,REG,@,/cbb/schools/mississippi-state/men/2018.html,Mississippi State,/cbb/conferences/sec/men/2018.html,SEC,11.71,L,75,80,4,1,L 1,Humphrey Coliseum,/cbb/schools/stephen-f-austin/men/2018.html
5,/cbb/boxscores/2017-11-26-15-stephen-f-austin.html,"Sun, Nov 26, 2017",3:00p,REG,,/cbb/schools/florida-am/men/2018.html,Florida A&M,/cbb/conferences/meac/men/2018.html,MEAC,-19.21,W,79,63,5,1,W 1,William Johnson Coliseum,/cbb/schools/stephen-f-austin/men/2018.html
6,/cbb/boxscores/2017-11-28-20-stephen-f-austin.html,"Tue, Nov 28, 2017",8:30p,REG,,/cbb/schools/north-dakota-state/men/2018.html,North Dakota State,/cbb/conferences/summit/men/2018.html,Summit,-1.86,W,54,50,6,1,W 2,William Johnson Coliseum,/cbb/schools/stephen-f-austin/men/2018.html
7,/cbb/boxscores/2017-12-02-16-stephen-f-austin.html,"Sat, Dec 2, 2017",4:30p,REG,,/cbb/schools/louisiana-monroe/men/2018.html,Louisiana-Monroe,/cbb/conferences/sun-belt/men/2018.html,Sun Belt,-6.28,W,68,65,7,1,W 3,William Johnson Coliseum,/cbb/schools/stephen-f-austin/men/2018.html
8,/cbb/boxscores/2017-12-06-19-louisiana-tech.html,"Wed, Dec 6, 2017",7:30p,REG,@,/cbb/schools/louisiana-tech/men/2018.html,Louisiana Tech,/cbb/conferences/cusa/men/2018.html,CUSA,1.33,W,85,83,8,1,W 4,Thomas Assembly Center,/cbb/schools/stephen-f-austin/men/2018.html
9,/cbb/boxscores/2017-12-09-15-stephen-f-austin.html,"Sat, Dec 9, 2017",3:00p,REG,,/cbb/schools/rice/men/2018.html,Rice,/cbb/conferences/cusa/men/2018.html,CUSA,-8.63,W,81,62,9,1,W 5,William Johnson Coliseum,/cbb/schools/stephen-f-austin/men/2018.html
10,/cbb/boxscores/2017-12-16-13-louisiana-state.html,"Sat, Dec 16, 2017",1:00p,REG,@,/cbb/schools/louisiana-state/men/2018.html,Louisiana State,/cbb/conferences/sec/men/2018.html,SEC,10.93,W,83,82,10,1,W 6,Maravich Assembly Center,/cbb/schools/stephen-f-austin/men/2018.html
11,/cbb/boxscores/2017-12-19-21-missouri.html,"Tue, Dec 19, 2017",9:00p,REG,@,/cbb/schools/missouri/men/2018.html,Missouri,/cbb/conferences/sec/men/2018.html,SEC,13.81,L,81,82,10,2,L 1,Mizzou Arena,/cbb/schools/stephen-f-austin/men/2018.html
12,/cbb/boxscores/2017-12-21-19-stephen-f-austin.html,"Thu, Dec 21, 2017",7:00p,REG,,,Arlington Baptist,,,,W,116,66,11,2,W 1,William Johnson Coliseum,/cbb/schools/stephen-f-austin/men/2018.html
13,/cbb/boxscores/2017-12-28-20-southeastern-louisiana.html,"Thu, Dec 28, 2017",8:00p,REG,@,/cbb/schools/southeastern-louisiana/men/2018.html,Southeastern Louisiana,/cbb/conferences/southland/men/2018.html,Southland,-6.40,L,62,73,11,3,L 1,University Center,/cbb/schools/stephen-f-austin/men/2018.html
14,/cbb/boxscores/2018-01-03-20-stephen-f-austin.html,"Wed, Jan 3, 2018",8:00p,REG,,/cbb/schools/nicholls-state/men/2018.html,Nicholls State,/cbb/conferences/southland/men/2018.html,Southland,-3.54,W,81,64,12,3,W 1,William Johnson Coliseum,/cbb/schools/stephen-f-austin/men/2018.html
