,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2017-11-10-19-syracuse.html,"Fri, Nov 10, 2017",7:00p,REG,/cbb/schools/cornell/men/2018.html,Cornell,/cbb/conferences/ivy/men/2018.html,Ivy,-8.80,W,77,45,1,0,W 1,Carrier Dome,/cbb/schools/syracuse/men/2018.html,,
1,/cbb/boxscores/2017-11-14-19-syracuse.html,"Tue, Nov 14, 2017",7:00p,REG,/cbb/schools/iona/men/2018.html,Iona,/cbb/conferences/maac/men/2018.html,MAAC,0.75,W,71,62,2,0,W 2,Carrier Dome,/cbb/schools/syracuse/men/2018.html,,
2,/cbb/boxscores/2017-11-18-19-syracuse.html,"Sat, Nov 18, 2017",7:00p,REG,/cbb/schools/texas-southern/men/2018.html,Texas Southern,/cbb/conferences/swac/men/2018.html,SWAC,-7.53,W,80,67,3,0,W 3,Carrier Dome,/cbb/schools/syracuse/men/2018.html,,
3,/cbb/boxscores/2017-11-20-19-syracuse.html,"Mon, Nov 20, 2017",7:00p,REG,/cbb/schools/oakland/men/2018.html,Oakland,/cbb/conferences/horizon/men/2018.html,Horizon,-1.82,W,74,50,4,0,W 4,Carrier Dome,/cbb/schools/syracuse/men/2018.html,,
4,/cbb/boxscores/2017-11-22-19-syracuse.html,"Wed, Nov 22, 2017",7:00p,REG,/cbb/schools/toledo/men/2018.html,Toledo,/cbb/conferences/mac/men/2018.html,MAC,2.65,W,72,64,5,0,W 5,Carrier Dome,/cbb/schools/syracuse/men/2018.html,,
5,/cbb/boxscores/2017-11-27-19-syracuse.html,"Mon, Nov 27, 2017",7:00p,REG,/cbb/schools/maryland/men/2018.html,Maryland,/cbb/conferences/big-ten/men/2018.html,Big Ten,13.78,W,72,70,6,0,W 6,Carrier Dome,/cbb/schools/syracuse/men/2018.html,,
6,/cbb/boxscores/2017-12-02-17-syracuse.html,"Sat, Dec 2, 2017",5:30p,REG,/cbb/schools/kansas/men/2018.html,Kansas,/cbb/conferences/big-12/men/2018.html,Big 12,21.39,L,60,76,6,1,L 1,American Airlines Arena,/cbb/schools/syracuse/men/2018.html,N,
7,/cbb/boxscores/2017-12-05-21-connecticut.html,"Tue, Dec 5, 2017",9:00p,REG,/cbb/schools/connecticut/men/2018.html,Connecticut,/cbb/conferences/aac/men/2018.html,AAC,1.08,W,72,63,7,1,W 1,Madison Square Garden (IV),/cbb/schools/syracuse/men/2018.html,N,
8,/cbb/boxscores/2017-12-09-14-syracuse.html,"Sat, Dec 9, 2017",2:00p,REG,/cbb/schools/colgate/men/2018.html,Colgate,/cbb/conferences/patriot/men/2018.html,Patriot,-4.85,W,72,58,8,1,W 2,Carrier Dome,/cbb/schools/syracuse/men/2018.html,,
9,/cbb/boxscores/2017-12-16-12-georgetown.html,"Sat, Dec 16, 2017",12:30p,REG,/cbb/schools/georgetown/men/2018.html,Georgetown,/cbb/conferences/big-east/men/2018.html,Big East,7.16,W,86,79,9,1,W 3,Capital One Arena,/cbb/schools/syracuse/men/2018.html,@,OT
10,/cbb/boxscores/2017-12-19-19-syracuse.html,"Tue, Dec 19, 2017",7:00p,REG,/cbb/schools/buffalo/men/2018.html,Buffalo,/cbb/conferences/mac/men/2018.html,MAC,7.99,W,81,74,10,1,W 4,Carrier Dome,/cbb/schools/syracuse/men/2018.html,,
